reconciliation_status,match_id,tournament_id,season,match_date,home_team,away_team,score_source,matches_status,events_status,events_normal_home,events_normal_away
matched,8824223,55,20/21,2021-02-20,ayr-united,inverness-caledonian-thistle,events_raw_normaltime,finished,finished,0.0,2.0
matched,8824224,55,20/21,2021-02-20,heart-of-midlothian,greenock-morton,events_raw_normaltime,finished,finished,1.0,1.0
matched,8824226,55,20/21,2021-02-27,greenock-morton,dundee-fc,events_raw_normaltime,finished,finished,2.0,2.0
matched,8824227,55,20/21,2021-02-20,dunfermline-athletic,alloa-athletic,events_raw_normaltime,finished,finished,2.0,1.0
matched,8824228,55,20/21,2021-02-26,inverness-caledonian-thistle,heart-of-midlothian,events_raw_normaltime,finished,finished,1.0,1.0
matched,8824229,55,20/21,2021-02-20,dundee-fc,queen-of-the-south,events_raw_normaltime,finished,finished,2.0,3.0
matched,8824230,55,20/21,2021-02-27,raith-rovers,alloa-athletic,events_raw_normaltime,finished,finished,3.0,1.0
matched,8824231,55,20/21,2021-02-27,ayr-united,arbroath,events_raw_normaltime,finished,finished,0.0,1.0
matched,8824233,55,20/21,2021-02-12,queen-of-the-south,heart-of-midlothian,events_raw_normaltime,finished,finished,1.0,1.0
matched,8824235,55,20/21,2021-02-27,queen-of-the-south,dunfermline-athletic,events_raw_normaltime,finished,finished,1.0,0.0
matched,8824236,55,20/21,2021-02-13,alloa-athletic,arbroath,events_raw_normaltime,finished,finished,1.0,1.0
matched,8824240,55,20/21,2021-02-06,greenock-morton,raith-rovers,events_raw_normaltime,finished,finished,0.0,1.0
matched,8824260,55,20/21,2021-04-30,inverness-caledonian-thistle,ayr-united,events_raw_normaltime,finished,finished,2.0,2.0
matched,8824266,55,20/21,2021-04-30,arbroath,greenock-morton,events_raw_normaltime,finished,finished,0.0,0.0
matched,8824273,55,20/21,2021-04-24,greenock-morton,alloa-athletic,events_raw_normaltime,finished,finished,1.0,1.0
matched,8824274,55,20/21,2021-04-17,dunfermline-athletic,queen-of-the-south,events_raw_normaltime,finished,finished,3.0,1.0
matched,8824276,55,20/21,2021-04-24,dundee-fc,raith-rovers,events_raw_normaltime,finished,finished,2.0,1.0
matched,8824277,55,20/21,2021-04-20,inverness-caledonian-thistle,dundee-fc,events_raw_normaltime,finished,finished,1.0,1.0
matched,8824284,55,20/21,2021-04-17,arbroath,ayr-united,events_raw_normaltime,finished,finished,4.0,0.0
matched,8824288,55,20/21,2021-04-10,ayr-united,dunfermline-athletic,events_raw_normaltime,finished,finished,1.0,1.0
matched,8824294,55,20/21,2021-03-13,queen-of-the-south,alloa-athletic,events_raw_normaltime,finished,finished,2.0,3.0
matched,8824295,55,20/21,2021-03-27,dundee-fc,dunfermline-athletic,events_raw_normaltime,finished,finished,3.0,2.0
matched,8824299,55,20/21,2021-04-17,alloa-athletic,raith-rovers,events_raw_normaltime,finished,finished,1.0,2.0
matched,8824302,55,20/21,2021-03-13,heart-of-midlothian,ayr-united,events_raw_normaltime,finished,finished,2.0,0.0
matched,8824311,55,20/21,2021-04-13,queen-of-the-south,raith-rovers,events_raw_normaltime,finished,finished,0.0,1.0
matched,8824317,55,20/21,2021-03-27,alloa-athletic,ayr-united,events_raw_normaltime,finished,finished,2.0,2.0
matched,8824324,55,20/21,2021-04-06,greenock-morton,inverness-caledonian-thistle,events_raw_normaltime,finished,finished,1.0,4.0
matched,8824325,55,20/21,2021-03-20,greenock-morton,queen-of-the-south,events_raw_normaltime,finished,finished,2.0,1.0
matched,8824326,55,20/21,2021-03-20,dunfermline-athletic,inverness-caledonian-thistle,events_raw_normaltime,finished,finished,0.0,1.0
matched,8824327,55,20/21,2021-04-03,dunfermline-athletic,heart-of-midlothian,events_raw_normaltime,finished,finished,0.0,0.0
matched,8824339,55,20/21,2021-04-06,ayr-united,dundee-fc,events_raw_normaltime,finished,finished,0.0,3.0
matched,8824341,55,20/21,2021-03-06,heart-of-midlothian,dundee-fc,events_raw_normaltime,finished,finished,2.0,1.0
matched,8824344,55,20/21,2021-03-27,inverness-caledonian-thistle,arbroath,events_raw_normaltime,finished,finished,1.0,0.0
matched,8824346,55,20/21,2021-03-27,raith-rovers,greenock-morton,events_raw_normaltime,finished,finished,1.0,0.0
matched,8824348,55,20/21,2021-03-06,alloa-athletic,inverness-caledonian-thistle,events_raw_normaltime,finished,finished,1.0,1.0
matched,8824354,55,20/21,2021-02-20,arbroath,raith-rovers,events_raw_normaltime,finished,finished,1.0,0.0
matched,8824355,55,20/21,2021-04-24,ayr-united,queen-of-the-south,events_raw_normaltime,finished,finished,0.0,0.0
matched,8824360,55,20/21,2021-04-30,alloa-athletic,dunfermline-athletic,events_raw_normaltime,finished,finished,1.0,0.0
matched,8824361,55,20/21,2021-03-20,ayr-united,raith-rovers,events_raw_normaltime,finished,finished,1.0,1.0
matched,8824364,55,20/21,2021-03-13,dunfermline-athletic,greenock-morton,events_raw_normaltime,finished,finished,1.0,0.0
matched,8824365,55,20/21,2021-04-10,queen-of-the-south,inverness-caledonian-thistle,events_raw_normaltime,finished,finished,1.0,1.0
