club,match_id,match_date,season,current_tier,previous_observed_tier,home_entry_match_number,window,home_score,away_score,goal_difference,method_note
hamilton-academical,14035541,2025-11-08,25/26,56,56,7,6-10,3.0,0.0,3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,14035551,2025-11-22,25/26,56,56,8,6-10,3.0,1.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,14035568,2025-12-20,25/26,56,56,9,6-10,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,14035591,2026-01-24,25/26,56,56,10,6-10,2.0,0.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,14035603,2026-02-14,25/26,56,56,11,11-20,0.0,1.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,15368752,2026-02-17,25/26,56,56,12,11-20,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,14035613,2026-02-28,25/26,56,56,13,11-20,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,15490775,2026-03-03,25/26,56,56,14,11-20,0.0,1.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,14035622,2026-03-14,25/26,56,56,15,11-20,1.0,3.0,-2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,14035633,2026-03-28,25/26,56,56,16,11-20,1.0,2.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,14035640,2026-04-11,25/26,56,56,17,11-20,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,14035655,2026-04-25,25/26,56,56,18,11-20,3.0,1.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,16362410,2026-08-08,26/27,56,56,19,11-20,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
hamilton-academical,16362417,2026-08-15,26/27,56,56,20,11-20,4.0,0.0,4.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,8736156,2021-01-02,20/21,54,,1,1-5,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,8736342,2021-01-23,20/21,54,54,2,1-5,5.0,0.0,5.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
