club,season,previous_observed_season,previous_tier,current_tier,movement_direction,match_id,match_date,opponent,is_home,new_season_match_number,window,matches_observed_in_new_season,tier_season_observed_fixtures,tier_season_expected_fixtures,tier_season_fixture_coverage,tier_season_archive_complete,has_complete_20_match_window,goals_for,goals_against,goal_difference,win,market_team_probability,bbc_shot_difference,bbc_proxy_xg_difference,transition_definition
hamilton-academical,23/24,22/23,55,56,downward_tier_move,11395579,2023-12-30,edinburgh-city-fc,0,19,11-20,36,179,180,0.994,0,1,5.0,2.0,3.0,1,0.927767,18.000,2.529,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,23/24,22/23,55,56,downward_tier_move,11395565,2024-01-13,cove-rangers,1,20,11-20,36,179,180,0.994,0,1,2.0,0.0,2.0,1,0.649032,-7.000,-0.386,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12477138,2024-08-03,ayr-united,1,1,1-5,36,179,180,0.994,0,1,0.0,2.0,-2.0,0,,-4.000,-0.221,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12476944,2024-08-10,greenock-morton,0,2,1-5,36,179,180,0.994,0,1,0.0,0.0,0.0,0,,-2.000,-0.008,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12473119,2024-08-17,ayr-united,0,3,1-5,36,179,180,0.994,0,1,2.0,3.0,-1.0,0,,-6.000,-0.485,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12476938,2024-08-24,dunfermline-athletic,1,4,1-5,36,179,180,0.994,0,1,1.0,0.0,1.0,1,,0.000,0.281,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12476935,2024-08-31,airdrieonians,1,5,1-5,36,179,180,0.994,0,1,2.0,2.0,0.0,0,,-2.000,0.071,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12476927,2024-09-14,livingston,0,6,6-10,36,179,180,0.994,0,1,0.0,3.0,-3.0,0,,-12.000,-2.043,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12476921,2024-09-21,raith-rovers,0,7,6-10,36,179,180,0.994,0,1,3.0,3.0,0.0,0,,-6.000,0.184,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12476917,2024-09-28,partick-thistle,1,8,6-10,36,179,180,0.994,0,1,1.0,0.0,1.0,1,0.307173,-1.000,-0.048,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12473103,2024-10-05,queens-park-fc,0,9,6-10,36,179,180,0.994,0,1,0.0,1.0,-1.0,0,,-6.000,-0.237,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12473113,2024-10-18,falkirk-fc,1,10,6-10,36,179,180,0.994,0,1,1.0,3.0,-2.0,0,0.158286,-6.000,-1.545,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12473124,2024-10-26,greenock-morton,1,11,11-20,36,179,180,0.994,0,1,3.0,0.0,3.0,1,0.382394,4.000,0.737,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12476915,2024-11-02,airdrieonians,0,12,11-20,36,179,180,0.994,0,1,4.0,0.0,4.0,1,0.373264,1.000,0.669,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12476910,2024-11-09,livingston,1,13,11-20,36,179,180,0.994,0,1,1.0,3.0,-2.0,0,0.267682,-3.000,-0.267,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12476903,2024-11-16,partick-thistle,0,14,11-20,36,179,180,0.994,0,1,1.0,5.0,-4.0,0,0.161562,-12.000,-2.078,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12476889,2024-12-07,dunfermline-athletic,0,15,11-20,36,179,180,0.994,0,1,2.0,3.0,-1.0,0,0.194583,-3.000,-0.165,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12476891,2024-12-14,queens-park-fc,1,16,11-20,36,179,180,0.994,0,1,2.0,1.0,1.0,1,0.315549,3.000,0.436,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12476884,2024-12-21,falkirk-fc,0,17,11-20,36,179,180,0.994,0,1,0.0,1.0,-1.0,0,0.064738,-8.000,-1.487,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12476878,2024-12-28,airdrieonians,1,18,11-20,36,179,180,0.994,0,1,3.0,2.0,1.0,1,0.524945,7.000,1.330,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12476866,2025-01-10,partick-thistle,1,19,11-20,36,179,180,0.994,0,1,1.0,2.0,-1.0,0,0.300538,-1.000,-0.172,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,24/25,23/24,56,55,upward_tier_move,12476863,2025-01-25,livingston,0,20,11-20,36,179,180,0.994,0,1,0.0,3.0,-3.0,0,0.159308,-7.000,-1.065,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035486,2025-08-02,montrose,1,1,1-5,35,175,180,0.972,0,1,2.0,0.0,2.0,1,0.497812,-2.000,0.579,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035502,2025-08-09,queen-of-the-south,0,2,1-5,35,175,180,0.972,0,1,4.0,1.0,3.0,1,,15.000,1.813,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035484,2025-08-16,east-fife,1,3,1-5,35,175,180,0.972,0,1,1.0,2.0,-1.0,0,0.627273,3.000,-1.101,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035492,2025-08-23,alloa-athletic,0,4,1-5,35,175,180,0.972,0,1,0.0,1.0,-1.0,0,0.431115,1.000,-0.095,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035499,2025-08-30,cove-rangers,1,5,1-5,35,175,180,0.972,0,1,0.0,0.0,0.0,0,0.533729,0.000,0.166,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035511,2025-09-13,peterhead,0,6,6-10,35,175,180,0.972,0,1,2.0,2.0,0.0,0,0.402735,-3.000,0.025,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035515,2025-09-20,kelty-hearts-fc,0,7,6-10,35,175,180,0.972,0,1,4.0,0.0,4.0,1,0.620776,6.000,1.177,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035518,2025-09-27,stenhousemuir,1,8,6-10,35,175,180,0.972,0,1,2.0,0.0,2.0,1,0.489821,0.000,-0.444,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035522,2025-10-04,inverness-caledonian-thistle,1,9,6-10,35,175,180,0.972,0,1,3.0,1.0,2.0,1,0.260399,6.000,0.523,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035530,2025-10-18,montrose,0,10,6-10,35,175,180,0.972,0,1,4.0,0.0,4.0,1,0.443837,1.000,0.263,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035532,2025-10-24,queen-of-the-south,1,11,11-20,35,175,180,0.972,0,1,1.0,2.0,-1.0,0,0.621373,-3.000,-0.324,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035539,2025-11-01,east-fife,0,12,11-20,35,175,180,0.972,0,1,1.0,1.0,0.0,0,0.392495,2.000,0.177,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035541,2025-11-08,peterhead,1,13,11-20,35,175,180,0.972,0,1,3.0,0.0,3.0,1,0.572457,5.000,0.911,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035555,2025-11-15,cove-rangers,0,14,11-20,35,175,180,0.972,0,1,1.0,2.0,-1.0,0,0.559435,5.000,0.253,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035551,2025-11-22,kelty-hearts-fc,1,15,11-20,35,175,180,0.972,0,1,3.0,1.0,2.0,1,0.733855,-3.000,-0.115,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035562,2025-12-06,stenhousemuir,0,16,11-20,35,175,180,0.972,0,1,0.0,0.0,0.0,0,0.411769,-8.000,-0.804,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035564,2025-12-13,inverness-caledonian-thistle,0,17,11-20,35,175,180,0.972,0,1,0.0,4.0,-4.0,0,0.161162,-4.000,-0.150,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035568,2025-12-20,alloa-athletic,1,18,11-20,35,175,180,0.972,0,1,1.0,0.0,1.0,1,0.387810,-4.000,-0.328,consecutive observed seasons changed tier; mechanism unverified
