portfolio_run_id,analysis_side,club,match_id,kickoff_date,movement_direction,window,selection,odds_close,stake_amount,pnl
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stirling-albion,12476622,2024-08-24,downward_tier_move,1-5,home,2.932907058611918,1.7812851945472719,-1.7812851945472719
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,edinburgh-city-fc,12476627,2024-08-24,downward_tier_move,1-5,away,6.880676410538224,13.795311543620603,79.50324790718342
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stenhousemuir,12476786,2024-08-24,upward_tier_move,1-5,home,2.537984562023013,20.06913214579921,30.248695105170185
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,inverness-caledonian-thistle,12476788,2024-08-24,downward_tier_move,1-5,away,3.126252549427679,2.385937127240555,-2.385937127240555
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,arbroath,12476791,2024-08-24,downward_tier_move,1-5,away,3.8516238953268234,1.9440846877540627,-1.9440846877540627
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,edinburgh-city-fc,12476620,2024-08-31,downward_tier_move,1-5,home,6.1945416395054576,18.170108280047664,-18.170108280047664
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stenhousemuir,12476779,2024-08-31,upward_tier_move,1-5,home,2.5371131801353757,18.76665076252335,28.269536909390798
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,arbroath,12476782,2024-08-31,downward_tier_move,1-5,home,2.800140825676794,1.8536420477938376,-1.8536420477938376
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stirling-albion,12476614,2024-09-14,downward_tier_move,6-10,away,5.633862032354386,10.634938262882391,-10.634938262882391
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,edinburgh-city-fc,12476616,2024-09-14,downward_tier_move,6-10,away,11.443491541353382,20.335738700252403,-20.335738700252403
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stenhousemuir,12476776,2024-09-14,upward_tier_move,6-10,away,3.2228629765605676,13.725966283597886,-13.725966283597886
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,inverness-caledonian-thistle,12476780,2024-09-14,downward_tier_move,6-10,away,3.1272841313054967,2.7455328436870245,-2.7455328436870245
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,inverness-caledonian-thistle,12476772,2024-09-21,downward_tier_move,6-10,home,1.9101945521963604,1.4629981653171298,-1.4629981653171298
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,arbroath,12476773,2024-09-21,downward_tier_move,6-10,home,2.185041955989494,0.09158448811047189,0.10636083171015553
