club,opponent,match_id,movement_direction,window,analysis_side,selection,m12_probability,market_probability,m12_minus_market,odds,quarter_kelly_fraction,independent_100_unit_stake,independent_pnl
arbroath,montrose,12476746,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,0.362963,0.2861610089989924,0.0768019910010076,3.5,0.025736974489795922,2.5736974489795923,-2.5736974489795923
arbroath,cove-rangers,12476744,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.304388,0.2313226515865536,0.07306534841344639,4.3,0.02232365429808287,2.232365429808287,-2.232365429808287
arbroath,queen-of-the-south,12476730,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.307874,0.23600950118764846,0.07186449881235152,4.3,0.023464634817563383,2.3464634817563383,-2.3464634817563383
arbroath,kelty-hearts-fc,13179034,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,0.383175,0.30269643374891275,0.08047856625108724,3.25,0.025858942743764175,2.5858942743764173,5.701896875
arbroath,annan-athletic,12476718,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,0.373996,0.2868852459016394,0.08711075409836061,3.45,0.02831740899625157,2.831740899625157,-2.831740899625157
arbroath,montrose,12476714,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.267716,0.22594090964815491,0.041775090351845096,4.4,0.011985722689075653,1.1985722689075653,-1.1985722689075653
arbroath,alloa-athletic,12476711,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.30269,0.22946859903381642,0.0732214009661836,4.4,0.023353322328931583,2.3353322328931583,7.781327000000004
inverness-caledonian-thistle,dumbarton,12477132,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,0.343429,0.23774720550300946,0.10568179449699053,4.2,0.033515811862244886,3.3515811862244886,-3.3515811862244886
inverness-caledonian-thistle,montrose,12476793,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,0.272256,0.2644003777148253,0.007855622285174724,3.8,0.001760793002915446,0.1760793002915446,-0.1760793002915446
inverness-caledonian-thistle,cove-rangers,12476772,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,0.225917,0.19737059699024312,0.028546403009756888,5.1,0.008315798033847691,0.8315798033847691,-0.8315798033847691
inverness-caledonian-thistle,stenhousemuir,12476770,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,0.303874,0.17175091095954406,0.13212308904045592,5.9,0.03972703810912119,3.972703810912119,-3.972703810912119
inverness-caledonian-thistle,annan-athletic,12476758,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,0.239682,0.17792394164075578,0.06175805835924422,5.7,0.01865269713417282,1.8652697134172822,-1.8652697134172822
inverness-caledonian-thistle,kelty-hearts-fc,12476739,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.275967,0.2054054054054054,0.07056159459459463,4.9,0.021632186944008376,2.163218694400838,-2.163218694400838
inverness-caledonian-thistle,alloa-athletic,12476735,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.286591,0.21873070842430176,0.06786029157569823,4.6,0.021094391156462573,2.109439115646257,-2.109439115646257
inverness-caledonian-thistle,montrose,12476727,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,0.305534,0.3003707617631781,0.005163238236821854,3.35,0.000996396222318701,0.0996396222318701,-0.0996396222318701
inverness-caledonian-thistle,arbroath,12476720,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.301799,0.21956708810485204,0.08223191189514795,4.5,0.024560464285714283,2.4560464285714283,8.424239249999998
inverness-caledonian-thistle,cove-rangers,12476713,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.282233,0.18632075471698112,0.0959122452830189,5.4,0.02894374397031541,2.894374397031541,12.480542400000006
inverness-caledonian-thistle,dumbarton,12476708,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.287009,0.19600404653515427,0.09100495346484574,5.1,0.027389942882030862,2.738994288203086,-2.738994288203086
dumbarton,cove-rangers,12476795,upward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,home,0.338184,0.3704018711460769,-0.03221787114607694,2.7,0.0,0.0,-0.0
dumbarton,arbroath,12476791,upward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,0.30006,0.2497403946002077,0.0503196053997923,4.0,0.01549629251700679,1.549629251700679,-1.549629251700679
dumbarton,kelty-hearts-fc,12476784,upward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,0.301262,0.27722772277227725,0.024034277227722722,3.65,0.008051541586445886,0.8051541586445885,-0.8051541586445885
dumbarton,montrose,12476771,upward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,0.269396,0.2726796014682748,-0.003283601468274777,3.65,0.0,0.0,0.0
dumbarton,stenhousemuir,12476759,upward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,0.362047,0.2630691399662732,0.09897786003372683,3.8,0.03238920991253643,3.238920991253643,8.887599199999995
dumbarton,cove-rangers,12476749,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.31614,0.3555966980803764,-0.03945669808037644,2.84,0.0,0.0,0.0
dumbarton,queen-of-the-south,12476737,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.328997,0.30484988452655887,0.024147115473441116,3.3,0.007825669698314108,0.7825669698314108,-0.7825669698314108
dumbarton,annan-athletic,12476725,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.299959,0.2914872474329248,0.008471752567075164,3.45,0.0020991835693461077,0.20991835693461078,0.5040139750000006
dumbarton,kelty-hearts-fc,12476712,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.372788,0.35303532085302153,0.01975267914697848,2.86,0.007173848804037755,0.7173848804037755,-0.7173848804037755
dumbarton,elgin-city,14035672,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,0.418482,0.20240585774058578,0.21607614225941424,5.0,0.06753389285714288,6.753389285714288,-6.753389285714288
dumbarton,edinburgh-city-fc,14035680,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,0.363876,0.32527707304045933,0.03859892695954065,3.1,0.013694461613216698,1.3694461613216697,2.818320199999996
dumbarton,stranraer,14035698,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,0.349486,0.19146986970684038,0.15801613029315964,5.2,0.047860202623906715,4.786020262390672,19.699259400000003
dumbarton,stirling-albion,14035704,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,home,0.39445,0.34724012974851043,0.047209870251489594,2.88,0.0164438612679114,1.64438612679114,-1.64438612679114
dumbarton,annan-athletic,14035718,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.331243,0.284741144414169,0.04650185558583103,3.5,0.014570239795918366,1.4570239795918367,-1.4570239795918367
dumbarton,forfar-athletic,14035727,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.407115,0.3209929153571619,0.0861220846428381,3.15,0.031431692572377795,3.1431692572377794,6.622657625
dumbarton,stirling-albion,14035748,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.325736,0.25171252566735114,0.07402347433264889,3.9,0.022121543983110486,2.2121543983110485,6.2869428
stenhousemuir,cove-rangers,12476786,upward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,0.23554,0.3317370483239007,-0.09619704832390072,3.0,0.0,0.0,-0.0
stenhousemuir,annan-athletic,12476779,upward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,0.252955,0.3385335526458803,-0.08557855264588032,2.94,0.0,0.0,-0.0
stenhousemuir,queen-of-the-south,12476774,upward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,0.311472,0.3317370483239007,-0.020265048323900692,3.0,0.0,0.0,-0.0
stenhousemuir,alloa-athletic,12476756,upward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,0.301649,0.3339971159788505,-0.03234811597885051,3.05,0.0,0.0,0.0
stenhousemuir,kelty-hearts-fc,12476751,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.251614,0.32395701643489255,-0.07234301643489255,3.1,0.0,0.0,-0.0
stenhousemuir,annan-athletic,12476743,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,0.335573,0.33901690354049285,-0.003443903540492843,2.98,0.0,0.0,-0.0
stenhousemuir,dumbarton,12476724,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.277019,0.27306394535429185,0.003955054645708167,3.65,0.0,0.0,-0.0
stenhousemuir,queen-of-the-south,12476723,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,0.307915,0.31833910034602075,-0.01042410034602076,3.15,0.0,0.0,0.0
stenhousemuir,inverness-caledonian-thistle,12476726,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.306848,0.32169036798123446,-0.01484236798123445,3.1,0.0,0.0,0.0
stenhousemuir,annan-athletic,12476706,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.236471,0.19497014046597702,0.041500859534022966,5.1,0.011610968018914876,1.1610968018914876,-1.1610968018914876
stirling-albion,elgin-city,12476633,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,0.338207,0.2690946528537417,0.0691123471462583,3.7,0.022024066704459555,2.2024066704459555,5.827568049999998
stirling-albion,bonnyrigg-rose,12476606,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,0.359381,0.31746031746031744,0.04192068253968256,3.15,0.013834452657807297,1.3834452657807297,2.914919174999997
stirling-albion,edinburgh-city-fc,12476562,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.308554,0.20467836257309943,0.10387563742690056,4.8,0.03072026691729324,3.072026691729324,11.440227400000003
stirling-albion,stranraer,12476550,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.34947,0.3181165966944784,0.03135340330552161,3.15,0.010180741575700033,1.0180741575700032,-1.0180741575700032
