club,analysis_side,match_id,match_date,movement_direction,window,stake_fraction,stake,pnl,counterfactual
inverness-caledonian-thistle,transitioning_team,12477132,2024-08-03,downward_tier_move,1-5,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stirling-albion,transitioning_team,12476614,2024-09-14,downward_tier_move,6-10,0.031630,3.1630,-3.1630,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
edinburgh-city-fc,transitioning_team,12476616,2024-09-14,downward_tier_move,6-10,0.048563,4.8563,-4.8563,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stenhousemuir,transitioning_team,12476776,2024-09-14,upward_tier_move,6-10,0.037540,3.7540,-3.7540,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
arbroath,transitioning_team,12476777,2024-09-14,downward_tier_move,6-10,0.003212,0.3212,-0.3212,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
inverness-caledonian-thistle,transitioning_team,12476780,2024-09-14,downward_tier_move,6-10,0.023039,2.3039,-2.3039,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,12476783,2024-09-14,upward_tier_move,6-10,0.028722,2.8722,-2.8722,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stirling-albion,transitioning_team,12476606,2024-09-21,downward_tier_move,6-10,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,12476771,2024-09-21,upward_tier_move,6-10,0.000876,0.0876,-0.0876,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
inverness-caledonian-thistle,transitioning_team,12476772,2024-09-21,downward_tier_move,6-10,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
arbroath,transitioning_team,12476773,2024-09-21,downward_tier_move,6-10,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stenhousemuir,transitioning_team,12476774,2024-09-21,upward_tier_move,6-10,0.014488,1.4488,-1.4488,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stirling-albion,transitioning_team,12476609,2024-09-28,downward_tier_move,6-10,0.010307,1.0307,2.4242,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,12476767,2024-09-28,upward_tier_move,6-10,0.001035,0.1035,-0.1035,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
arbroath,transitioning_team,12476768,2024-09-28,downward_tier_move,6-10,0.011586,1.1586,2.1573,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
inverness-caledonian-thistle,transitioning_team,12476770,2024-09-28,downward_tier_move,6-10,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stenhousemuir,transitioning_team,12476770,2024-09-28,upward_tier_move,6-10,0.039727,3.9727,-3.9727,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
edinburgh-city-fc,transitioning_team,12476597,2024-10-05,downward_tier_move,6-10,0.009605,0.9605,-0.9605,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stirling-albion,transitioning_team,12476598,2024-10-05,downward_tier_move,6-10,0.009767,0.9767,1.7420,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,12476759,2024-10-05,upward_tier_move,6-10,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stenhousemuir,transitioning_team,12476759,2024-10-05,upward_tier_move,6-10,0.032389,3.2389,8.8875,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
arbroath,transitioning_team,12476761,2024-10-05,downward_tier_move,6-10,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
inverness-caledonian-thistle,transitioning_team,12476761,2024-10-05,downward_tier_move,6-10,0.011987,1.1987,-1.1987,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stirling-albion,transitioning_team,12476594,2024-10-19,downward_tier_move,6-10,0.025946,2.5946,5.4668,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
edinburgh-city-fc,transitioning_team,12476596,2024-10-19,downward_tier_move,6-10,0.026978,2.6978,-2.6978,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stenhousemuir,transitioning_team,12476756,2024-10-19,upward_tier_move,6-10,0.020840,2.0840,-2.0840,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
inverness-caledonian-thistle,transitioning_team,12476758,2024-10-19,downward_tier_move,6-10,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
arbroath,transitioning_team,12476763,2024-10-19,downward_tier_move,6-10,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,12476763,2024-10-19,upward_tier_move,6-10,0.020175,2.0175,5.9314,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stenhousemuir,transitioning_team,12476751,2024-10-26,upward_tier_move,11-20,0.041007,4.1007,5.8673,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
arbroath,transitioning_team,12476755,2024-10-26,downward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
edinburgh-city-fc,transitioning_team,12476589,2024-11-02,downward_tier_move,11-20,0.022086,2.2086,5.7357,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stirling-albion,transitioning_team,12476590,2024-11-02,downward_tier_move,11-20,0.018924,1.8924,-1.8924,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
inverness-caledonian-thistle,transitioning_team,12476739,2024-11-02,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
arbroath,transitioning_team,12476748,2024-11-02,downward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stenhousemuir,transitioning_team,12476748,2024-11-02,upward_tier_move,11-20,0.051811,5.1811,-5.1811,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,12476749,2024-11-02,upward_tier_move,11-20,0.022688,2.2688,-2.2688,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
edinburgh-city-fc,transitioning_team,12476583,2024-11-09,downward_tier_move,11-20,0.047520,4.7520,17.2308,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stirling-albion,transitioning_team,12476586,2024-11-09,downward_tier_move,11-20,0.028704,2.8704,-2.8704,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
inverness-caledonian-thistle,transitioning_team,12476742,2024-11-09,downward_tier_move,11-20,0.024422,2.4422,5.1457,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stenhousemuir,transitioning_team,12476743,2024-11-09,upward_tier_move,11-20,0.008397,0.8397,-0.8397,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
arbroath,transitioning_team,12476746,2024-11-09,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,12476747,2024-11-09,upward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
edinburgh-city-fc,transitioning_team,12476584,2024-11-16,downward_tier_move,11-20,0.031996,3.1996,21.3221,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
inverness-caledonian-thistle,transitioning_team,12476735,2024-11-16,downward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,12476737,2024-11-16,upward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
arbroath,transitioning_team,12476744,2024-11-16,downward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,13171689,2024-12-03,upward_tier_move,11-20,0.006201,0.6201,-0.6201,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stenhousemuir,transitioning_team,13179032,2024-12-03,upward_tier_move,11-20,0.047835,4.7835,11.7196,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stirling-albion,transitioning_team,12476562,2024-12-07,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
edinburgh-city-fc,transitioning_team,12476562,2024-12-07,downward_tier_move,11-20,0.030720,3.0720,11.4401,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,12476724,2024-12-07,upward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stenhousemuir,transitioning_team,12476724,2024-12-07,upward_tier_move,11-20,0.000392,0.0392,0.0423,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
inverness-caledonian-thistle,transitioning_team,12476727,2024-12-07,downward_tier_move,11-20,0.009156,0.9156,1.4177,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
arbroath,transitioning_team,12476730,2024-12-07,downward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stirling-albion,transitioning_team,12476561,2024-12-14,downward_tier_move,11-20,0.024867,2.4867,7.0672,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
arbroath,transitioning_team,12476720,2024-12-14,downward_tier_move,11-20,0.024561,2.4561,8.4244,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
inverness-caledonian-thistle,transitioning_team,12476720,2024-12-14,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stenhousemuir,transitioning_team,12476723,2024-12-14,upward_tier_move,11-20,0.025934,2.5934,-2.5934,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,12476725,2024-12-14,upward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
arbroath,transitioning_team,13179034,2024-12-17,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stirling-albion,transitioning_team,12476550,2024-12-21,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
edinburgh-city-fc,transitioning_team,12476551,2024-12-21,downward_tier_move,11-20,0.027421,2.7421,6.5838,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,12476717,2024-12-21,upward_tier_move,11-20,0.027064,2.7064,6.4981,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
arbroath,transitioning_team,12476718,2024-12-21,downward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
inverness-caledonian-thistle,transitioning_team,12476726,2024-12-21,downward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stenhousemuir,transitioning_team,12476726,2024-12-21,upward_tier_move,11-20,0.016564,1.6564,-1.6564,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stirling-albion,transitioning_team,12476553,2024-12-28,downward_tier_move,11-20,0.028183,2.8183,-2.8183,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,12476712,2024-12-28,upward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
inverness-caledonian-thistle,transitioning_team,12476713,2024-12-28,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
arbroath,transitioning_team,12476714,2024-12-28,downward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stenhousemuir,transitioning_team,12476715,2024-12-28,upward_tier_move,11-20,0.053041,5.3041,14.0346,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
edinburgh-city-fc,transitioning_team,12476539,2025-01-04,downward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
