lambda,fold,sd_rating,sd_rating_exposed,sd_delta_lineup
250.0,34,0.12949319937679662,0.1495690965693209,0.8493963885036395
250.0,35,0.12949319937679662,0.1495690965693209,1.07218328053509
250.0,36,0.12949319937679662,0.1495690965693209,0.7643411954626723
250.0,37,0.12949319937679662,0.1495690965693209,0.9344828535595593
250.0,38,0.12949319937679662,0.1495690965693209,0.6586111173314797
250.0,39,0.12949319937679662,0.1495690965693209,0.8041214904819476
250.0,40,0.12949319937679662,0.1495690965693209,0.9174537992747256
500.0,1,0.085094448333819,0.0980902506456874,0.4637743756964366
500.0,2,0.085094448333819,0.0980902506456874,0.5699754440758322
500.0,3,0.085094448333819,0.0980902506456874,0.3155741224875846
500.0,4,0.085094448333819,0.0980902506456874,0.5356144749258644
500.0,5,0.085094448333819,0.0980902506456874,0.39024112938978545
500.0,6,0.085094448333819,0.0980902506456874,0.3855477022832688
500.0,7,0.085094448333819,0.0980902506456874,0.5087895580705171
500.0,8,0.085094448333819,0.0980902506456874,0.5732825988222978
500.0,9,0.085094448333819,0.0980902506456874,0.5933772286256256
500.0,10,0.085094448333819,0.0980902506456874,0.5369585046802526
500.0,11,0.085094448333819,0.0980902506456874,0.4764163985588644
500.0,12,0.085094448333819,0.0980902506456874,0.5534615297467533
500.0,13,0.085094448333819,0.0980902506456874,0.41676169116012507
500.0,14,0.085094448333819,0.0980902506456874,0.4448408090404562
500.0,15,0.085094448333819,0.0980902506456874,0.41870402485048186
500.0,16,0.085094448333819,0.0980902506456874,0.32694012561212543
500.0,17,0.085094448333819,0.0980902506456874,0.47814381801026734
500.0,18,0.085094448333819,0.0980902506456874,0.5269209653950928
500.0,19,0.085094448333819,0.0980902506456874,0.4076939783212052
500.0,20,0.085094448333819,0.0980902506456874,0.3023619030397084
500.0,21,0.08453011478997909,0.09796322880087345,0.6860455105758814
500.0,22,0.08453011478997909,0.09796322880087345,0.7781946939199512
500.0,23,0.08453011478997909,0.09796322880087345,0.7135496102871138
500.0,24,0.08453011478997909,0.09796322880087345,0.6973804094683005
500.0,25,0.08453011478997909,0.09796322880087345,0.6928041047320664
500.0,26,0.08453011478997909,0.09796322880087345,0.6023288136678987
500.0,27,0.08453011478997909,0.09796322880087345,0.7893943102558637
500.0,28,0.08453011478997909,0.09796322880087345,0.7716914629443999
500.0,29,0.08453011478997909,0.09796322880087345,0.7991760362622683
500.0,30,0.08453011478997909,0.09796322880087345,0.6680140524041178
500.0,31,0.08453011478997909,0.09796322880087345,0.7803308161823973
500.0,32,0.08453011478997909,0.09796322880087345,0.43125127965592225
500.0,33,0.08453011478997909,0.09796322880087345,0.6151277117345569
500.0,34,0.08453011478997909,0.09796322880087345,0.5857693540255197
500.0,35,0.08453011478997909,0.09796322880087345,0.7551048244458972
500.0,36,0.08453011478997909,0.09796322880087345,0.559087959275309
500.0,37,0.08453011478997909,0.09796322880087345,0.672440895660039
500.0,38,0.08453011478997909,0.09796322880087345,0.45989851405452886
500.0,39,0.08453011478997909,0.09796322880087345,0.5681271173257969
500.0,40,0.08453011478997909,0.09796322880087345,0.6548110708153022
1000.0,1,0.0529421725079887,0.061141115545959114,0.30915967350339274
1000.0,2,0.0529421725079887,0.061141115545959114,0.3725766727276147
1000.0,3,0.0529421725079887,0.061141115545959114,0.20486628242074867
1000.0,4,0.0529421725079887,0.061141115545959114,0.34991048799171937
1000.0,5,0.0529421725079887,0.061141115545959114,0.2624819992813993
1000.0,6,0.0529421725079887,0.061141115545959114,0.2541184346808282
1000.0,7,0.0529421725079887,0.061141115545959114,0.3378884444065615
1000.0,8,0.0529421725079887,0.061141115545959114,0.37821269474586783
1000.0,9,0.0529421725079887,0.061141115545959114,0.4041752938446959
1000.0,10,0.0529421725079887,0.061141115545959114,0.3578957556124182
1000.0,11,0.0529421725079887,0.061141115545959114,0.309716773528946
1000.0,12,0.0529421725079887,0.061141115545959114,0.3509128295645573
1000.0,13,0.0529421725079887,0.061141115545959114,0.26580424234460953
1000.0,14,0.0529421725079887,0.061141115545959114,0.28616443191534124
1000.0,15,0.0529421725079887,0.061141115545959114,0.2634669929735445
1000.0,16,0.0529421725079887,0.061141115545959114,0.21163582622425073
1000.0,17,0.0529421725079887,0.061141115545959114,0.31136493927845676
1000.0,18,0.0529421725079887,0.061141115545959114,0.34333023863069706
1000.0,19,0.0529421725079887,0.061141115545959114,0.26376720982118135
1000.0,20,0.0529421725079887,0.061141115545959114,0.20909437664126865
1000.0,21,0.0517781290399914,0.06011780210193651,0.43785236974199815
1000.0,22,0.0517781290399914,0.06011780210193651,0.4988760786440105
1000.0,23,0.0517781290399914,0.06011780210193651,0.47486705043561417
1000.0,24,0.0517781290399914,0.06011780210193651,0.4412954444232007
1000.0,25,0.0517781290399914,0.06011780210193651,0.45192333907914883
1000.0,26,0.0517781290399914,0.06011780210193651,0.3898451483584636
1000.0,27,0.0517781290399914,0.06011780210193651,0.5071920049547487
1000.0,28,0.0517781290399914,0.06011780210193651,0.4984136516242612
1000.0,29,0.0517781290399914,0.06011780210193651,0.5149847835195412
1000.0,30,0.0517781290399914,0.06011780210193651,0.4463891080519125
1000.0,31,0.0517781290399914,0.06011780210193651,0.5077406060511854
1000.0,32,0.0517781290399914,0.06011780210193651,0.2820803028664738
1000.0,33,0.0517781290399914,0.06011780210193651,0.39314047166235744
1000.0,34,0.0517781290399914,0.06011780210193651,0.37082079539250445
1000.0,35,0.0517781290399914,0.06011780210193651,0.4854122685030886
1000.0,36,0.0517781290399914,0.06011780210193651,0.36884895489841374
1000.0,37,0.0517781290399914,0.06011780210193651,0.440239149863453
1000.0,38,0.0517781290399914,0.06011780210193651,0.29576306234805005
1000.0,39,0.0517781290399914,0.06011780210193651,0.36561739865942144
1000.0,40,0.0517781290399914,0.06011780210193651,0.4266618571092097
2000.0,1,0.030554029120796883,0.03531936591577568,0.1821495189580997
2000.0,2,0.030554029120796883,0.03531936591577568,0.2170639451083713
2000.0,3,0.030554029120796883,0.03531936591577568,0.12149742683556616
2000.0,4,0.030554029120796883,0.03531936591577568,0.2060308487173126
2000.0,5,0.030554029120796883,0.03531936591577568,0.1552703918523435
2000.0,6,0.030554029120796883,0.03531936591577568,0.14978143854249343
2000.0,7,0.030554029120796883,0.03531936591577568,0.19897674804365328
2000.0,8,0.030554029120796883,0.03531936591577568,0.2237797170621092
2000.0,9,0.030554029120796883,0.03531936591577568,0.23770387767696233
2000.0,10,0.030554029120796883,0.03531936591577568,0.21262145751351194
2000.0,11,0.030554029120796883,0.03531936591577568,0.1804594041314617
2000.0,12,0.030554029120796883,0.03531936591577568,0.20218135927299724
2000.0,13,0.030554029120796883,0.03531936591577568,0.15394422009759437
2000.0,14,0.030554029120796883,0.03531936591577568,0.1678466421755376
