fold,sigma_a,sigma_d,gamma_ha,w_att,w_att_sd,w_def,w_def_sd,w_lineup_sum,w_wealth,w_wealth_sd,p_w_att_pos
29,0.04177993267719758,0.058187801583988445,0.12278429198098116,0.17739168750273393,0.048337049107316385,0.28719745354864973,0.05270993907869129,0.4645891410513836,0.11661391691205733,0.037370267659572645,1.0
30,0.03839741340020146,0.06251009082936287,0.11181504759562984,0.18027016093642387,0.0497693322678087,0.28111826053189054,0.05386214125435068,0.4613884214683145,0.11050521839992573,0.037079263834205116,0.9996875
31,0.04605497686808338,0.07476164706598652,0.11380108290325903,0.1610587541722152,0.05206561381348261,0.26770952125517544,0.0575436360758213,0.4287682754273907,0.11650026979396264,0.0376481365848779,0.999375
32,0.03986552720099088,0.08163167204424834,0.09990386358618528,0.14604789358454678,0.0512556400810385,0.2504630462127706,0.05846208606556998,0.3965109397973175,0.11718083565336077,0.03738791021186201,0.9965625
33,0.03799116118427938,0.0852150400356211,0.10282960704790778,0.14390068831785574,0.0506877802327133,0.24929882913950024,0.0601891060470871,0.39319951745735593,0.11320437980973537,0.03933015127201116,0.9978125
34,0.04494536331752597,0.08730973380201267,0.09546035584401018,0.15564818835107988,0.05339422025054869,0.25960500767028444,0.06273907499227489,0.4152531960213643,0.11533907805391554,0.03792117344285764,0.9959375
35,0.041573314107019525,0.09071908006963282,0.09095000837665601,0.14924125823857243,0.053725214043072435,0.24643353727798809,0.0657155883111389,0.39567479551656054,0.12167510560465743,0.03890256206113201,0.9975
36,0.0542235399453336,0.08996391037794804,0.08741191161924071,0.14791774669794056,0.05710338745117977,0.24024432051719366,0.06427895160531612,0.3881620672151342,0.12519639686843184,0.03817806962271076,0.9953125
37,0.05576109089822607,0.08685614685793594,0.09159247253916497,0.14533998008698842,0.056258740607039774,0.2567847535292376,0.06418809905989836,0.40212473361622586,0.11814723642088498,0.03941168751506395,0.9928125
38,0.06639138936432926,0.09862166030072363,0.10711635140378392,0.13182646676991586,0.05835173413756689,0.2460275313700264,0.06922049561218553,0.37785399813994225,0.11706868631635933,0.03877969189724741,0.99
39,0.06164157168314288,0.10121915768017355,0.11615247317930358,0.13368256824953403,0.059226304190581315,0.2333693001840895,0.07004874560844115,0.36705186843362353,0.11788493009527584,0.03825831565426931,0.988125
40,0.06740848832023431,0.10780607130868171,0.12094559437422257,0.1254933841023886,0.06028858149421774,0.24028969118565194,0.07028288049922847,0.36578307528804055,0.12964731351361647,0.038305193024510284,0.9821875
