fold,n_segments,n_players,n_players_exposed,sd_raw_pm,sd_raw_pm_exposed,sd_ridge,sd_ridge_exposed,ridge_retention,sd_delta_lineup,sd_sup_lineup,w_lineup_sum,prior_sd_sup_lineup,sd_sup_team,sd_sup_market
18,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.34333023863069706,0.14079016651259774,0.4100721424192366,0.14566268395329687,0.15494329025889425,0.332073349188925
19,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.26376720982118135,0.10627297515254028,0.40290442176109414,0.11190694963152735,0.21485647583089829,0.43959738102061086
20,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.20909437664126865,0.0819223688180047,0.39179613595517326,0.08871123097860906,0.15999196016167466,0.40596520536239106
21,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.43785236974199815,0.20742194224188876,0.4737257499921968,0.18576502788189983,0.0700894699139179,0.3761131466961668
22,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.4988760786440105,0.22302699525126815,0.4470589086120853,0.21165519490855994,0.03893545693764161,0.48924356465855584
23,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.47486705043561417,0.20863039223088556,0.43934484828859083,0.20146902691504623,0.04430603455036893,0.32354798618897407
24,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.4412954444232007,0.19087281358251065,0.43252840244474483,0.18722580075502585,0.04815506310024614,0.3959546783029285
25,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.45192333907914883,0.20111016648935354,0.4450094719585429,0.19173483458360016,0.036168200282275895,0.42653622467381924
26,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.3898451483584636,0.1682114231316157,0.4314826639241508,0.1653972888101672,0.05381969679701944,0.5764326482100964
27,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.5071920049547487,0.22145212668715467,0.43662385156665173,0.2151833436402623,0.04601932630081103,0.3595269259928582
28,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.4984136516242612,0.2221724790780425,0.4457592169757252,0.21145900373967877,0.05301281242390184,0.5227769220845107
29,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.5149847835195412,0.23925633822987644,0.4645891410513836,0.21848953958073228,0.04450165361805141,0.6108051448041831
30,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.4463891080519125,0.20595876592472076,0.4613884214683145,0.1893868592107931,0.04796769577782784,0.3525761923248412
31,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.5077406060511854,0.21770306402102488,0.4287682754273907,0.21541609537353637,0.07069924209857413,0.41171982083727704
32,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.2820803028664738,0.11184792598789745,0.3965109397973175,0.11967653699762323,0.0856977265138841,0.4743115307575408
33,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.39314047166235744,0.1545826437505963,0.39319951745735593,0.1667953760827984,0.054160079474681745,0.5446909006484846
34,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.37082079539250445,0.1539845204379219,0.4152531960213643,0.1573259394162175,0.07809687746528632,0.4643781983383799
35,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.4854122685030886,0.19206540008118933,0.39567479551656054,0.20594298403780747,0.0758288720758374,0.43253098399571566
36,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.36884895489841374,0.1431731728235101,0.3881620672151342,0.15648935834534364,0.1075230536153644,0.45614980597160554
37,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.440239149863453,0.1770310508662748,0.40212473361622586,0.18677765292734902,0.10101354451528118,0.521037593267837
38,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.29576306234805005,0.11175525561032373,0.37785399813994225,0.1254816402064835,0.1041032146187116,0.39756659301964214
39,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.36561739865942144,0.13420054930978165,0.36705186843362353,0.15511832514711735,0.1370120647508386,0.7772668359706167
40,3978,764,561,6.7164808799067455,2.5924008643920273,0.0517781290399914,0.06011780210193651,0.007709115825058421,0.4266618571092097,0.15606568620151326,0.36578307528804055,0.18101729546134077,0.16692861932482375,0.8030446069088962
