match_id,selection,p_model,p_market,y,family,ll_model,ll_market,model
14035739,under_25,0.41909234145894436,0.3694117647058824,1.0,OU2.5,0.8696639979977391,0.9958433635761087,m02_joint_gamma_poisson
14035740,away,0.3746073533975472,0.3566576790798253,1.0,1X2,0.9818768591660236,1.0309788393534023,m02_joint_gamma_poisson
14035740,draw,0.2542380012877797,0.2507449561652683,0.0,1X2,0.2933487662601655,0.2886758409632029,m02_joint_gamma_poisson
14035740,home,0.37115455320952107,0.39259736475490636,0.0,1X2,0.46386976504873234,0.49856338781372694,m02_joint_gamma_poisson
14035740,over_25,0.5202015607950444,0.5756457564575646,1.0,OU2.5,0.6535389255971458,0.5522628136301639,m02_joint_gamma_poisson
14035740,under_25,0.4797983470998037,0.4243542435424354,0.0,OU2.5,0.6535387485404996,0.5522628136301639,m02_joint_gamma_poisson
14035741,away,0.2855341548909769,0.24619415606109063,1.0,1X2,1.2533936251990896,1.4016348020647162,m02_joint_gamma_poisson
14035741,draw,0.2529540407152103,0.25250682672932373,0.0,1X2,0.29162857059493985,0.2910301065072586,m02_joint_gamma_poisson
14035741,home,0.46151165875600514,0.5012990172095857,0.0,1X2,0.6189894330490465,0.6957485957273413,m02_joint_gamma_poisson
14035741,over_25,0.5014378238507411,0.5319949811794229,1.0,OU2.5,0.6902756596237921,0.6311212235582572,m02_joint_gamma_poisson
14035741,under_25,0.49856203051145137,0.4680050188205772,0.0,OU2.5,0.6902753691834235,0.6311212235582574,m02_joint_gamma_poisson
14035742,away,0.28836917028904563,0.18361285746608946,1.0,1X2,1.2435137784219206,1.694925773475988,m02_joint_gamma_poisson
14035742,draw,0.23978291038596974,0.220607467537935,0.0,1X2,0.27415124226131876,0.2492404672601161,m02_joint_gamma_poisson
14035742,home,0.47184748648987573,0.5957796749959755,0.0,1X2,0.6383701856404613,0.9057951907542664,m02_joint_gamma_poisson
14035742,btts_no,0.4237566710546063,0.4067796610169491,0.0,BTTS,0.5512252614057186,0.5221893824163059,m02_joint_gamma_poisson
14035742,btts_yes,0.5762428961102848,0.5932203389830509,1.0,BTTS,0.5512260125385294,0.5221893824163056,m02_joint_gamma_poisson
14035742,over_25,0.5585085665736965,0.6214953271028038,1.0,OU2.5,0.5824853220521157,0.4756268868000977,m02_joint_gamma_poisson
14035742,under_25,0.4414910005911948,0.37850467289719625,0.0,OU2.5,0.5824845470685845,0.4756268868000977,m02_joint_gamma_poisson
14035743,btts_no,0.4272150521486928,0.41888619854721554,0.0,BTTS,0.5572449418735292,0.5428086696190415,m02_joint_gamma_poisson
14035743,btts_yes,0.5727841753819126,0.5811138014527846,1.0,BTTS,0.5572462904947149,0.5428086696190413,m02_joint_gamma_poisson
