model,fixture,lambda_h,lambda_a,r,mass,p_home,p_draw,p_away,d_home,d_over25,d_over35,d_btts,p_over25,p_btts
m05_wealth_grw_negbin,12476800,1.5548454341177296,1.4781515420994515,30.69834287562655,0.9999989684562784,0.39728909762229514,0.23799365033574085,0.36471622049823504,0.0009285757170434117,-0.006056352094623851,-0.00034661073710318124,-0.013676544308791394,0.5771782112560545,0.5930667156764994
m10_lineup_grw_negbin,12477128,1.44411966973882,1.1554553502219083,30.99509132550198,0.9999995298413622,0.43613244620757896,0.25821251476007956,0.30565456887370684,-0.000830339031412386,-0.0035907808101145466,0.0018287240500021729,-0.011621297302488953,0.4767190863966026,0.5078588871901097
m10_lineup_grw_negbin,12477134,1.6548909767421882,1.21383078279231,30.99509132550198,0.9999980043024904,0.47483805063716356,0.23924933502633436,0.28591061863899614,-0.0017084463405049322,-0.005278851205041346,0.0005284431420554125,-0.01259810755072266,0.5389530898069688,0.5488125704783575
m10_lineup_grw_negbin,12477131,1.9786708281176684,1.444027081144234,30.99509132550198,0.9999875023837886,0.4973988170850579,0.21334152686830604,0.2892471584304258,-0.0020157200701368394,-0.008289382024155634,-0.0029278594047121853,-0.014629000714897589,0.6525587626391552,0.6358425564646945
m10_lineup_grw_negbin,12477135,1.5820306247938247,1.325062372104198,30.99509132550198,0.9999986304319975,0.43425117901366256,0.2420598937879466,0.3236875576303879,-0.00038403054248115076,-0.005418484912522503,0.0002997921603467568,-0.013120102260154254,0.5475150723235569,0.5645064829182368
m10_lineup_grw_negbin,12477132,1.4588398702798946,1.2614402426328966,30.99509132550198,0.9999994310534165,0.41694045229287213,0.25286853872151527,0.33019044003903036,-0.00013680143808508793,-0.004284788643617032,0.0013135890166921516,-0.012352770022305837,0.5057118444508522,0.5340712197805985
m10_lineup_grw_negbin,12476800,1.553192298417247,1.5565803615041074,30.99509132550198,0.9999984438133892,0.38200436011209243,0.234596365882621,0.3833977178186843,0.0014942273373316772,-0.006521828516470651,-0.0007970928738192939,-0.014184404398649764,0.5923100151462283,0.6042227512734674
m12_joint_hybrid_synergy_negbin,12477128,1.4833605310504354,1.2050597666585134,32.331286120139346,0.9999995825820647,0.43551169497730274,0.2534690110292335,0.3110188765755249,-0.0006318280311154445,-0.0038831948629159396,0.0014346868435662907,-0.011468931999379484,0.49911766278945496,0.5278858541941854
m12_joint_hybrid_synergy_negbin,12477134,1.4517771479269033,1.2877586171013222,32.331286120139346,0.9999995634932896,0.41010134651654007,0.252474242710951,0.3374239742657931,0.00011632327571609036,-0.0041183846707820715,0.0011982017110340748,-0.011781365048902925,0.5108742049690796,0.5401415340205485
m12_joint_hybrid_synergy_negbin,12477131,1.7434072960567517,1.458910025927747,32.331286120139346,0.9999973827807872,0.44439564962173356,0.2276923457239451,0.3279093874351107,-0.00046705139877561974,-0.006733240577920574,-0.0013155663035405718,-0.013531561179537799,0.6122613393825886,0.6152417620091544
m12_joint_hybrid_synergy_negbin,12477135,1.487251002670686,1.2421775830745254,32.331286120139346,0.9999995081566456,0.4285507343917635,0.2518203010498924,0.3196284727149827,-0.0003992127153051306,-0.004107417648869127,0.0012290655340060908,-0.011674027580830026,0.5084698270139091,0.536002131048899
m12_joint_hybrid_synergy_negbin,12477132,1.6276950067886395,1.3572478566708228,32.331286120139346,0.9999988269651356,0.43824829460807635,0.23833351458501867,0.3234170177720334,-0.0003810069582682596,-0.005579731473339344,-3.4776607592212905e-5,-0.012818875529588158,0.5670173283964683,0.5818200959993949
m12_joint_hybrid_synergy_negbin,12476800,1.4624013326381284,1.5891735340717204,32.331286120139346,0.9999989688500297,0.3547594791196355,0.2369750311148864,0.40826445861550364,0.002119608303906284,-0.00589042984239152,-0.0003824821654945798,-0.01320176588063493,0.5815025727009998,0.5963375240504527
