contrast,scope,rule,n_obs,n_fixtures,delta,lo,hi,p_better,significant
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_baseline,OU1.5,ll,430,215,0.006359462461829866,-0.007649911333923266,0.019907061335577514,0.1795,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_baseline,OU3.5,ll,528,264,-0.003821625384764176,-0.021405787256566625,0.012485071628363226,0.6612,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_supremacy_w040,all,ll,2899,627,-0.0004261952380963833,-0.004887611346947464,0.004054204344788343,0.5781,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_supremacy_w040,1X2,ll,1785,595,-0.0012876769882676393,-0.0037618182920511165,0.0011729516243068954,0.8458,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_supremacy_w040,OU2.5,ll,758,379,-0.0009740702611046011,-0.013659644091294812,0.011661533578740916,0.56,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_supremacy_w040,BTTS,ll,356,178,0.005059855861611252,-0.009248434688091035,0.019072720632346583,0.245,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_supremacy_w040,OU1.5,ll,430,215,0.00479871140319337,-0.008937470779451527,0.018278500025346835,0.2395,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_supremacy_w040,OU3.5,ll,528,264,-0.0023377168864149316,-0.019900580937964474,0.014003080494218181,0.5962,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_smile_supremacy_w040,all,ll,2899,627,0.00023756174315658245,-0.0006895783115947497,0.001168803240332426,0.2999,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_smile_supremacy_w040,1X2,ll,1785,595,0.00035678231739397513,-0.0009876993909248945,0.001702411616940784,0.2986,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_smile_supremacy_w040,OU2.5,ll,758,379,6.301616010909216e-5,-0.0011408299532950014,0.001318939316168401,0.4555,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_smile_supremacy_w040,BTTS,ll,356,178,1.1429234550548058e-5,-0.0017542294700481085,0.0017454249671405122,0.4952,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_smile_supremacy_w040,OU1.5,ll,430,215,0.0001901931405886992,-0.0011020811667411458,0.001496847955955654,0.3899,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_smile_supremacy_w040,OU3.5,ll,528,264,0.0005055808221148246,-0.0011209286140797697,0.002141838867510134,0.2712,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_smile_supremacy_w040,all,ll,2899,627,4.557630129195445e-5,-0.0008949220793785922,0.0009848736267593515,0.469,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_smile_supremacy_w040,1X2,ll,1785,595,0.00021434391373421568,-0.0011279703871331808,0.0016097398631580969,0.3863,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_smile_supremacy_w040,OU2.5,ll,758,379,-0.0002989564468679543,-0.0014767981042202744,0.0008565830695035185,0.6944,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_smile_supremacy_w040,BTTS,ll,356,178,-6.704831978733093e-5,-0.0017967691182669164,0.0017205206893943334,0.5359,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_smile_supremacy_w040,OU1.5,ll,430,215,-0.0005852651790922509,-0.0018990119452431662,0.0006836207645398272,0.8129,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_smile_supremacy_w040,OU3.5,ll,528,264,-0.0004464588780882987,-0.0019253691138010269,0.0009816401245279175,0.7261,false
m05_joint_grw_supremacy_w040 − m05_joint_grw_baseline,all,brier,2899,627,-0.000866876095783783,-0.0020462071624544275,0.0003164927474632463,0.922,false
m05_joint_grw_supremacy_w040 − m05_joint_grw_baseline,1X2,brier,1785,595,-0.0010441594906126616,-0.002786413102540901,0.0007331367475076671,0.8767,false
m05_joint_grw_supremacy_w040 − m05_joint_grw_baseline,OU2.5,brier,758,379,-0.0009607497862297998,-0.0024297452928369575,0.0005286656341878524,0.8968,false
m05_joint_grw_supremacy_w040 − m05_joint_grw_baseline,BTTS,brier,356,178,0.00022190794109157885,-0.0014446983837245015,0.0018917854997930776,0.3945,false
m05_joint_grw_supremacy_w040 − m05_joint_grw_baseline,OU1.5,brier,430,215,0.0009612923807835659,-7.059930620522893e-5,0.00196575753634234,0.0324,false
m05_joint_grw_supremacy_w040 − m05_joint_grw_baseline,OU3.5,brier,528,264,-0.00038450825543089663,-0.002102544574486837,0.0013628066031220918,0.6656,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_baseline,all,brier,2899,627,-0.000981326205325166,-0.0032582928576702416,0.001339731704079726,0.7964,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_baseline,1X2,brier,1785,595,-0.0015153932156302323,-0.003434109483470943,0.0003735351234577906,0.9411,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_baseline,OU2.5,brier,758,379,-0.0014505107716707949,-0.007419989005251823,0.004598027294755917,0.6816,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_baseline,BTTS,brier,356,178,0.0026955038921032868,-0.004147342219880374,0.009405153392087792,0.2215,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_baseline,OU1.5,brier,430,215,0.002638763880796944,-0.0023188272145666213,0.007624680802237092,0.1436,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_baseline,OU3.5,brier,528,264,-0.0010196685289291599,-0.007825125636266231,0.0053913076701848665,0.6075,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,all,brier,2899,627,-0.0010855628063643427,-0.003412260054209841,0.0012575466409201702,0.8192,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,1X2,brier,1785,595,-0.001672643059051727,-0.003629539058865692,0.00030017024249749875,0.9512,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,OU2.5,brier,758,379,-0.0014768703239054798,-0.0076267175729508255,0.004745259037867616,0.6822,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,BTTS,brier,356,178,0.0026912612086445365,-0.004035340141724765,0.00927259633352641,0.2174,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,OU1.5,brier,430,215,0.002606271649129968,-0.0024899733526386855,0.007659971657473025,0.1521,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,OU3.5,brier,528,264,-0.0012763480194953915,-0.008316033087795853,0.005338709314097242,0.6324,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_baseline,all,brier,2899,627,-0.001065800087659382,-0.0034199721614736962,0.001296724543858439,0.8118,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_baseline,1X2,brier,1785,595,-0.0015736339539634994,-0.003687156503728349,0.0005754909315138366,0.9244,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_baseline,OU2.5,brier,758,379,-0.0016198796632341825,-0.007896035737048904,0.0046338566708990555,0.6916,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_baseline,BTTS,brier,356,178,0.0026602554450331755,-0.003921124121498146,0.009149815398730578,0.2143,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_baseline,OU1.5,brier,430,215,0.0024131770625504794,-0.002768585091857362,0.007520917703140608,0.177,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_baseline,OU3.5,brier,528,264,-0.001510176800489586,-0.008682405883160858,0.005317415085614273,0.656,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_supremacy_w040,all,brier,2899,627,-0.0002186867105805597,-0.002364216935337079,0.0019340044026425495,0.5823,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_supremacy_w040,1X2,brier,1785,595,-0.000628483568439065,-0.001692285556429549,0.00043790926727713174,0.8742,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_supremacy_w040,OU2.5,brier,758,379,-0.0005161205376756792,-0.006691852051822527,0.005626287164636812,0.565,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_supremacy_w040,BTTS,brier,356,178,0.002469353267552959,-0.004521569104550566,0.009340499687231586,0.2436,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_supremacy_w040,OU1.5,brier,430,215,0.001644979268346402,-0.0034528522261453396,0.006804006791120183,0.2574,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_supremacy_w040,OU3.5,brier,528,264,-0.0008918397640644948,-0.007994701814898109,0.005878874810102259,0.5914,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_smile_supremacy_w040,all,brier,2899,627,0.0001042366010391769,-0.00032104995743235086,0.0005308594121108517,0.3068,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_smile_supremacy_w040,1X2,brier,1785,595,0.0001572498434214943,-0.00044583840408931675,0.0007594872654425246,0.3038,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_smile_supremacy_w040,OU2.5,brier,758,379,2.6359552234685738e-5,-0.0005684766191645684,0.000647756614716656,0.4625,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_smile_supremacy_w040,BTTS,brier,356,178,4.242683458748751e-6,-0.0008678947005523204,0.0008550452500246825,0.4952,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_smile_supremacy_w040,OU1.5,brier,430,215,3.2492231666975154e-5,-0.00045653200657617103,0.0005241401052814301,0.4512,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_smile_supremacy_w040,OU3.5,brier,528,264,0.00025667949056623135,-0.0004592310512980068,0.000987830298136517,0.2434,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_smile_supremacy_w040,all,brier,2899,627,1.9762718704961133e-5,-0.0004065935148405893,0.0004480025816457275,0.4692,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_smile_supremacy_w040,1X2,brier,1785,595,9.900910508822743e-5,-0.0004984895398780155,0.0007167410100898826,0.3829,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_smile_supremacy_w040,OU2.5,brier,758,379,-0.00014300933932870547,-0.0007260434658294972,0.00042655953892672813,0.6891,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_smile_supremacy_w040,BTTS,brier,356,178,-3.100576361136226e-5,-0.0008858093084987283,0.0008526081341308233,0.5339,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_smile_supremacy_w040,OU1.5,brier,430,215,-0.00019309458657948832,-0.0006964222899425058,0.0002921545581906625,0.7776,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_smile_supremacy_w040,OU3.5,brier,528,264,-0.00023382878099419434,-0.0008993126533103216,0.00040010688877935513,0.7605,false
