contrast,scope,rule,n_obs,n_fixtures,delta,lo,hi,width,p_better,significant
m05_joint_grw_smile_spine_w020 − m05_joint_grw_baseline,OU3.5,brier,528,264,-0.0007797689340816325,-0.007578736206502885,0.0055483444954586795,0.013127080701961565,0.5791,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_baseline,OU4.5,brier,197,104,0.002636866812908823,-0.003815142866208583,0.008215196605116628,0.01203033947132521,0.1863,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,all,brier,2899,627,-0.0011515446279501231,-0.0035106095437879223,0.001205028030375848,0.00471563757416377,0.8304,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,1X2,brier,1785,595,-0.0016418197027442197,-0.003624915624548478,0.0003624472333156449,0.003987362857864123,0.9471,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,OU2.5,brier,758,379,-0.0018906515763402122,-0.008192743884256693,0.004394320331720813,0.012587064215977505,0.7244,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,BTTS,brier,356,178,0.0028804331119014225,-0.0036686395888814952,0.009352115351933548,0.013020754940815043,0.1997,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,OU0.5,brier,533,384,0.0011873068251911055,0.0002210519952356977,0.0020433803809715156,0.0018223283857358179,0.0087,true
m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,OU1.5,brier,430,215,0.004014217629292927,-0.0016843251386675214,0.009413403117308048,0.011097728255975568,0.0821,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,OU3.5,brier,528,264,-0.0011025516611163683,-0.008174130509459893,0.005457014650556107,0.013631145160016,0.6119,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,OU4.5,brier,197,104,0.002769057273929585,-0.00364456257564806,0.008414024101952683,0.012058586677600742,0.1754,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_supremacy_w020,all,brier,2899,627,-6.012757002488989e-5,-0.0005370867033693387,0.0004091576376415984,0.0009462443410109371,0.6001,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_supremacy_w020,1X2,brier,1785,595,9.734673142091305e-5,-6.737233050782413e-5,0.00026743937281337643,0.00033481170332120056,0.122,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_supremacy_w020,OU2.5,brier,758,379,-0.0004133068449821288,-0.001799007320697329,0.001023463124665683,0.0028224704453630118,0.7166,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_supremacy_w020,BTTS,brier,356,178,-9.771672076413459e-5,-0.0017654988750530065,0.0014971571674167164,0.003262656042469723,0.5524,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_supremacy_w020,OU0.5,brier,533,384,-0.0007757995473012242,-0.0012112187413179148,-0.00026752996050313164,0.0009436887808147832,0.9979,true
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_supremacy_w020,OU1.5,brier,430,215,0.001426458828142689,-0.0012365696765577667,0.003983790653258734,0.005220360329816501,0.1527,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_supremacy_w020,OU3.5,brier,528,264,0.00023989959484752742,-0.0003332853624344701,0.0007932680036537139,0.001126553366088184,0.2017,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_supremacy_w020,OU4.5,brier,197,104,0.001795643960419516,0.0006339958000858113,0.002817354437102614,0.0021833586370168024,0.0017,true
m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,all,brier,2899,627,-6.598182158577998e-5,-0.0005426699166687687,0.00040409061856985307,0.0009467605352386218,0.6121,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,1X2,brier,1785,595,3.0823356307506956e-5,-0.0001660560787971963,0.00023347587854165148,0.0003995319573388478,0.3711,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,OU2.5,brier,758,379,-0.0004137812524347325,-0.0017972670514855354,0.0010390387803751577,0.002836305831860693,0.715,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,BTTS,brier,356,178,0.00018917190325688486,-0.001400226898060093,0.001742565285428458,0.003142792183488551,0.4188,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,OU0.5,brier,533,384,-0.0008116779185900891,-0.0012383868749440243,-0.0003141528804270294,0.0009242339945169949,0.9989,true
m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,OU1.5,brier,430,215,0.0014079459801629593,-0.00126184854512851,0.003973322997593922,0.0052351715427224315,0.1525,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,OU3.5,brier,528,264,0.0001737963583790239,-0.00037059758116342003,0.0007015059496528819,0.001072103530816302,0.2635,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,OU4.5,brier,197,104,0.0017457780641058553,0.0005820952862783379,0.0027615900607699936,0.002179494774491656,0.0025,true
m05_joint_grw_smile_spine_w040 − m05_joint_grw_supremacy_w040,all,brier,2899,627,-0.00028466853216633977,-0.0024578569987007753,0.0018613691703402062,0.0043192261690409815,0.6036,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_supremacy_w040,1X2,brier,1785,595,-0.0005976602121315582,-0.0016743881537807435,0.00047737457335460704,0.0021517627271353504,0.8645,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_supremacy_w040,OU2.5,brier,758,379,-0.0009299017901104122,-0.007151308739859324,0.00521035845596113,0.012361667195820453,0.613,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_supremacy_w040,BTTS,brier,356,178,0.0026585251708098434,-0.004353967389077081,0.009479259709109896,0.013833227098186976,0.2286,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_supremacy_w040,OU0.5,brier,533,384,0.001057950292130078,8.786902687801505e-5,0.0019179412946631067,0.0018300722677850917,0.0169,true
m05_joint_grw_smile_spine_w040 − m05_joint_grw_supremacy_w040,OU1.5,brier,430,215,0.003052925248509361,-0.002614059416209891,0.008420495863583849,0.01103455527979374,0.1418,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_supremacy_w040,OU3.5,brier,528,264,-0.0007180434056854702,-0.007889366496872028,0.006031771083536566,0.013921137580408593,0.5716,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_supremacy_w040,OU4.5,brier,197,104,0.0024082749750240612,-0.004344930602425677,0.008251823141766248,0.012596753744191926,0.2155,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_spine_w040,all,brier,2899,627,0.00011009085260006697,-0.00029667400602548005,0.0005194535422252326,0.0008161275482507127,0.2919,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_spine_w040,1X2,brier,1785,595,0.0002237732185349005,-0.0003590800416767968,0.0007996576922050835,0.0011587377338818801,0.2193,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_spine_w040,OU2.5,brier,758,379,2.6833959687289288e-5,-0.0005841464918809187,0.0006553399341976114,0.0012394864260785302,0.4694,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_spine_w040,BTTS,brier,356,178,-0.00028264594056227063,-0.0011350742019284063,0.0005619125390898677,0.001696986741018274,0.749,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_spine_w040,OU0.5,brier,533,384,-8.93501940724798e-6,-9.342916295366135e-5,8.192044697645212e-5,0.00017534960993011346,0.5933,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_spine_w040,OU1.5,brier,430,215,5.1005079646704614e-5,-0.00047690518774725585,0.0005656399747411367,0.0010425451624883925,0.4182,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_spine_w040,OU3.5,brier,528,264,0.0003227827270347348,-0.0004256381344249423,0.0010707133162912532,0.0014963514507161956,0.1971,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_spine_w040,OU4.5,brier,197,104,-0.0001321904610207624,-0.000687499881466563,0.0003734422827200211,0.001060942164186584,0.6873,false
