model,scope,n_obs,logloss,market_logloss,brier,market_brier,ece,market_ece,rps,market_rps
m05_joint_grw_smile_spine_w020,1X2,1785,0.6126435953256901,0.6131180107974481,0.21143797951889198,0.21156444032291422,0.022659907766683182,0.018580646181840455,0.2218430770711067,0.2111040320023605
m05_joint_grw_smile_spine_w020,OU2.5,758,0.686212694857331,0.6898782309589602,0.24652562167423828,0.24829171351414944,0.014614774885889813,0.01829866107755568,0.2218430770711067,0.2111040320023605
m05_joint_grw_smile_spine_w020,BTTS,356,0.6872147332357438,0.6833706365781275,0.24704752318837964,0.2451580767568855,0.02634014972537982,0.03004396402078209,0.2218430770711067,0.2111040320023605
m05_joint_grw_smile_spine_w020,OU0.5,533,0.21807516191474963,1.3183162471185177,0.05243702878727624,0.05433616260677342,0.043388078526506856,0.036416109478396845,NaN,0.2111040320023605
m05_joint_grw_smile_spine_w020,OU1.5,430,0.5320689887607958,0.5272811031135427,0.1743193035312844,0.17266435474340952,0.043602076076709344,0.010264241635519814,NaN,0.2111040320023605
m05_joint_grw_smile_spine_w020,OU3.5,528,0.6100310741858269,0.6104589033548479,0.20976517138488843,0.2098660314894639,0.024193984603966906,0.01484560050373574,NaN,0.2111040320023605
m05_joint_grw_smile_spine_w020,OU4.5,197,0.3528393329810474,0.5079080647524102,0.09713639522589468,0.09594017917176943,0.09805362475089328,0.09633684951953349,NaN,0.2111040320023605
m05_joint_grw_smile_spine_w040,all,2899,0.6407766688352563,0.6418155553508617,0.2248751222986097,0.2252928320612554,0.015452693365139618,0.01390748520485936,0.22140893714062276,0.2111040320023605
m05_joint_grw_smile_spine_w040,1X2,1785,0.6121344953456177,0.6131180107974481,0.2112142063003572,0.21156444032291422,0.026426988054229446,0.018580646181840455,0.22140893714062276,0.2111040320023605
m05_joint_grw_smile_spine_w040,OU2.5,758,0.6861493534191365,0.6898782309589602,0.24649878771455083,0.24829171351414944,0.01616577317964446,0.01829866107755568,0.22140893714062276,0.2111040320023605
m05_joint_grw_smile_spine_w040,BTTS,356,0.6877816822184848,0.6833706365781275,0.24733016912894196,0.2451580767568855,0.024419544567414363,0.03004396402078209,0.22140893714062276,0.2111040320023605
m05_joint_grw_smile_spine_w040,OU0.5,533,0.21804684776195732,1.3183162471185177,0.0524459638066835,0.05433616260677342,0.034158131448446226,0.036416109478396845,NaN,0.2111040320023605
m05_joint_grw_smile_spine_w040,OU1.5,430,0.5318345028511191,0.5272811031135427,0.17426829845163794,0.17266435474340952,0.04921077426949646,0.010264241635519814,NaN,0.2111040320023605
m05_joint_grw_smile_spine_w040,OU3.5,528,0.6093590492675771,0.6104589033548479,0.20944238865785356,0.2098660314894639,0.023810917921729888,0.01484560050373574,NaN,0.2111040320023605
m05_joint_grw_smile_spine_w040,OU4.5,197,0.35316869317788874,0.5079080647524102,0.09726858568691538,0.09594017917176943,0.09813129780860966,0.09633684951953349,NaN,0.2111040320023605
