fold,site,mean,sd,q05,q50,q95,p_positive,prior_mean,prior_sd,prior_p_positive,contraction,p_below_0p02,prior_p_below_0p02,model,h_pass
40,turf_gen.w,-0.03431207862932814,0.03831112430556618,-0.09485411286325769,-0.03535868212242319,0.02839368943723461,0.1855,0.0,0.05,0.5,0.2337775138886765,NaN,NaN,m05_joint_td_contextual,
40,turf_pace.w,-0.010710921144011756,0.03636715165455863,-0.07183533533493576,-0.01088804687898434,0.04994469167284293,0.374,0.0,0.05,0.5,0.27265696690882746,NaN,NaN,m05_joint_td_contextual,false
40,midweek.w,0.013037650084428368,0.042299402196557916,-0.0564801260077068,0.013785866466676863,0.08027618065157283,0.6225,0.05,0.05,0.841344746068543,0.15401195606884177,NaN,NaN,m05_joint_td_contextual,false
40,rest_diff.w,0.006111367072312361,0.00923290368080183,-0.009188129675208436,0.0062399628610201995,0.021077530347171247,0.7385,0.02,0.02,0.841344746068543,0.5383548159599085,NaN,NaN,m05_joint_td_contextual,
40,ha.γ_base,0.13580221664533668,0.034125867585814075,0.07992370867384736,0.13520582954090105,0.1912883969256115,1.0,0.15,0.05,0.9986501019683699,0.3174826482837185,NaN,NaN,m05_joint_td_contextual,
40,ha.σ_γ,0.030393871489226086,0.022484557204900342,0.002351895421723596,0.02605571372247966,0.07221726082067732,1.0,0.03989422804014327,0.030140513749454357,1.0,0.25400882706229955,0.392,0.31084348322064836,m05_joint_td_contextual,
20,turf_asym.w,0.05337944095257301,0.041404804137076645,-0.014046078127112253,0.05275710046864908,0.12357252307243757,0.9075,0.05,0.05,0.841344746068543,0.1719039172584671,NaN,NaN,m12_joint_hybrid_contextual,true
20,turf_gen.w,-0.03466629820444815,0.03903559456829194,-0.09661107652421164,-0.03464991579604677,0.029738931989434825,0.1875,0.0,0.05,0.5,0.21928810863416126,NaN,NaN,m12_joint_hybrid_contextual,
20,turf_pace.w,0.024482067240034884,0.035236692777496366,-0.031476346056808074,0.024682302299361004,0.08371818579494662,0.749,0.0,0.05,0.5,0.2952661444500727,NaN,NaN,m12_joint_hybrid_contextual,false
20,midweek.w,0.03108785817211694,0.045291384852702336,-0.042197536008392995,0.030318660786663176,0.10563045072308636,0.7615,0.05,0.05,0.841344746068543,0.09417230294595336,NaN,NaN,m12_joint_hybrid_contextual,false
20,rest_diff.w,-0.0002761461383729157,0.009599761140269211,-0.016266531267876787,-0.0002104128444629091,0.015353246365937646,0.489,0.02,0.02,0.841344746068543,0.5200119429865395,NaN,NaN,m12_joint_hybrid_contextual,
20,ha.γ_base,0.14333155685814944,0.03425672040617121,0.08451697903052988,0.14334207865318815,0.20056467381846926,1.0,0.15,0.05,0.9986501019683699,0.3148655918765758,NaN,NaN,m12_joint_hybrid_contextual,
20,ha.σ_γ,0.039158490455231364,0.02655266808862972,0.0035437945545859547,0.03569214650265242,0.08827940853818549,1.0,0.03989422804014327,0.030140513749454357,1.0,0.11903730940517199,0.2865,0.31084348322064836,m12_joint_hybrid_contextual,
40,turf_asym.w,0.04882454411974274,0.04155391158226455,-0.02158858946116857,0.0481350497239499,0.11706055892039162,0.883,0.05,0.05,0.841344746068543,0.16892176835470907,NaN,NaN,m12_joint_hybrid_contextual,false
40,turf_gen.w,-0.02786462373446929,0.03931169728555801,-0.0950478180531303,-0.027150647636039124,0.03518170281140184,0.241,0.0,0.05,0.5,0.21376605428883988,NaN,NaN,m12_joint_hybrid_contextual,
40,turf_pace.w,-0.01192399562876923,0.03418493819095067,-0.06980974660056243,-0.010577522195525125,0.04513326576914593,0.3685,0.0,0.05,0.5,0.3163012361809866,NaN,NaN,m12_joint_hybrid_contextual,false
40,midweek.w,0.01354661364911893,0.04404213488479631,-0.05981953023465104,0.014839072209743434,0.0831089322137684,0.633,0.05,0.05,0.841344746068543,0.11915730230407384,NaN,NaN,m12_joint_hybrid_contextual,false
40,rest_diff.w,0.00716654316439694,0.009525545573645508,-0.008368532347932223,0.007386896851489747,0.023161022941985566,0.764,0.02,0.02,0.841344746068543,0.5237227213177247,NaN,NaN,m12_joint_hybrid_contextual,
40,ha.γ_base,0.1332677380360472,0.03402110856967637,0.0758648403581688,0.1334589227060876,0.18864751134049804,1.0,0.15,0.05,0.9986501019683699,0.31957782860647266,NaN,NaN,m12_joint_hybrid_contextual,
40,ha.σ_γ,0.030920198428393237,0.02304122825175195,0.002353663687393565,0.026908946435831783,0.07479319225903225,1.0,0.03989422804014327,0.030140513749454357,1.0,0.23553963136513978,0.3855,0.31084348322064836,m12_joint_hybrid_contextual,
