left,right,scope,cut,n_obs,n_fixtures,delta,lo,hi,p_negative,significant
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,1X2,grass home,645,215,-0.00024663027519680514,-0.0013833905204374388,0.0008623309149713714,0.6642,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,1X2,grass visitor at turf,432,144,0.00032572606328665427,-0.0006575200618534256,0.001280862428896759,0.2622,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,1X2,midweek,123,41,-0.0014835041762207358,-0.004546622682462099,0.0015613786075998576,0.8289,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,1X2,not midweek,1662,554,4.766731759538695e-5,-0.0005329668518194781,0.0006178520694394606,0.4352,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,1X2,all fixtures,1785,595,-3.213190809962848e-5,-0.0010762719915991118,0.0009939081619459497,0.5265,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,1X2,excluding T003,1779,593,4.2475648219228595e-5,-0.0009792894998004332,0.0010543374698377475,0.4733,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,1X2,turf home,1140,380,0.0001290765121566623,-0.0012128642648484983,0.001467981914328707,0.4302,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,1X2,grass home,645,215,-0.0003170584183200495,-0.001871729199293035,0.0012560728361857697,0.6684,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,1X2,grass visitor at turf,432,144,-0.00044714516001662194,-0.0029936082170328106,0.0020732043602811738,0.6392,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,1X2,midweek,123,41,-0.0020488449224160977,-0.008541411599894579,0.004660666659426991,0.7335,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,1X2,not midweek,1662,554,0.00011711941606458674,-0.0008626388058965114,0.0010816958007793455,0.404,false
m05_joint_td_turf_asym,betfair_close,1X2,all fixtures,1785,595,0.0027626491645352433,-0.0066666073034336555,0.012087648029475167,0.2844,false
m05_joint_td_turf_dual,betfair_close,1X2,all fixtures,1785,595,0.0030621497821519002,-0.006424582286588205,0.012448866689470922,0.263,false
m05_joint_td_contextual,betfair_close,1X2,all fixtures,1785,595,0.002886699099266292,-0.0066176400370187485,0.012305865791777166,0.2772,false
m05_joint_production_wealth_hier_ha,betfair_close,1X2,all fixtures,1785,595,0.002930402010826263,-0.0065206726854074816,0.012358362248399004,0.2731,false
m12_joint_hybrid_contextual,betfair_close,1X2,all fixtures,1785,595,0.0032126950752937858,-0.006950856672222401,0.013163514617235614,0.2655,false
m05_joint_td_raw,betfair_close,1X2,all fixtures,1785,595,0.0029882439894434155,-0.006508852791268794,0.012493164948220075,0.2698,false
m12_hybrid_td_raw,betfair_close,1X2,all fixtures,1785,595,0.003244826983393415,-0.006852139931197828,0.013153350177773861,0.2626,false
m05_joint_td_turf_asym,m05_joint_td_raw,OU2.5,all fixtures,758,379,-0.00021861939333878863,-0.0019163552868739027,0.001458361412019638,0.6067,false
m05_joint_td_turf_asym,m05_joint_td_raw,OU2.5,excluding T003,756,378,3.163476986101419e-5,-0.0015976012154848428,0.0016689964935830276,0.4942,false
m05_joint_td_turf_asym,m05_joint_td_raw,OU2.5,turf home,462,231,2.13409501352e-5,-0.0022928714212422352,0.0023102194795544574,0.4999,false
m05_joint_td_turf_asym,m05_joint_td_raw,OU2.5,grass home,296,148,-0.0005931520915988652,-0.0031356149402608892,0.0016927333048036913,0.6902,false
m05_joint_td_turf_asym,m05_joint_td_raw,OU2.5,grass visitor at turf,176,88,-0.0001611777236959602,-0.005640441582728945,0.005413983560883697,0.5173,false
m05_joint_td_turf_asym,m05_joint_td_raw,OU2.5,midweek,70,35,0.0003156257222659109,-0.004465334482526871,0.005150372094597633,0.4393,false
m05_joint_td_turf_asym,m05_joint_td_raw,OU2.5,not midweek,688,344,-0.0002729757277753133,-0.0020609217432796985,0.0015786436796839853,0.6158,false
m05_joint_td_turf_dual,m05_joint_td_raw,OU2.5,all fixtures,758,379,-0.00026126834695642745,-0.0021704106626449335,0.00164086780606405,0.6182,false
m05_joint_td_turf_dual,m05_joint_td_raw,OU2.5,excluding T003,756,378,-9.221494379170052e-6,-0.0018623936934829641,0.0018135187709675431,0.5141,false
m05_joint_td_turf_dual,m05_joint_td_raw,OU2.5,turf home,462,231,-0.000399314331366407,-0.0027783657353629486,0.0019808328395561742,0.6407,false
m05_joint_td_turf_dual,m05_joint_td_raw,OU2.5,grass home,296,148,-4.580468210031062e-5,-0.0031874322165653113,0.003038106640133352,0.505,false
m05_joint_td_turf_dual,m05_joint_td_raw,OU2.5,grass visitor at turf,176,88,-0.00030573699651443784,-0.005519645170472333,0.004877290407742497,0.5433,false
m05_joint_td_turf_dual,m05_joint_td_raw,OU2.5,midweek,70,35,-0.0019240422247614622,-0.00825040614188789,0.004397782801345419,0.7197,false
m05_joint_td_turf_dual,m05_joint_td_raw,OU2.5,not midweek,688,344,-9.209077217975241e-5,-0.002079668560994858,0.0019256090022945287,0.5308,false
m05_joint_td_contextual,m05_joint_td_raw,OU2.5,all fixtures,758,379,-8.28811651110872e-5,-0.0023069503932657714,0.0021324190623279783,0.5367,false
m05_joint_td_contextual,m05_joint_td_raw,OU2.5,excluding T003,756,378,0.00016778433598586536,-0.0019728466443746724,0.00230126966357086,0.4512,false
m05_joint_td_contextual,m05_joint_td_raw,OU2.5,turf home,462,231,0.0011478121792880666,-0.0016409084457948157,0.004009075645226352,0.2147,false
m05_joint_td_contextual,m05_joint_td_raw,OU2.5,grass home,296,148,-0.002003760641842199,-0.005475780506274279,0.0013873196636282278,0.8736,false
m05_joint_td_contextual,m05_joint_td_raw,OU2.5,grass visitor at turf,176,88,0.00244357131493611,-0.0032540058158814335,0.008124199303061597,0.1964,false
m05_joint_td_contextual,m05_joint_td_raw,OU2.5,midweek,70,35,-0.003641449634599452,-0.012954033608662738,0.005434439585452746,0.7806,false
m05_joint_td_contextual,m05_joint_td_raw,OU2.5,not midweek,688,344,0.0002791824873077869,-0.0019341217681243309,0.002509640242245695,0.3985,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,OU2.5,all fixtures,758,379,-0.0007397387832648166,-0.002266335939824652,0.0007750605146081244,0.8296,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,OU2.5,excluding T003,756,378,-0.0005170521570727712,-0.0020014978383234875,0.0009600466262050146,0.7584,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,OU2.5,turf home,462,231,-0.00019137558561486205,-0.001983024342600326,0.0015188732254199867,0.5846,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,OU2.5,grass home,296,148,-0.0015956299904076512,-0.00437711422940974,0.0011185159527219563,0.8718,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,OU2.5,grass visitor at turf,176,88,-0.0012506183282870766,-0.004263832834300264,0.0017152454932032998,0.7924,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,OU2.5,midweek,70,35,-0.003535165753516594,-0.009161878740187616,0.0018179360142195808,0.8988,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,OU2.5,not midweek,688,344,-0.0004553203415240833,-0.0020261511430685925,0.0011046733753754573,0.7118,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,OU2.5,all fixtures,758,379,-9.558363016467338e-5,-0.002336372996357898,0.0021709836565643463,0.542,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,OU2.5,excluding T003,756,378,0.00014685372534408903,-0.0020229447570178304,0.002307697460363972,0.4603,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,OU2.5,turf home,462,231,0.000984449045419571,-0.0019903191160279216,0.004008998893807541,0.2634,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,OU2.5,grass home,296,148,-0.0017813103062454872,-0.005093757930407407,0.0014145438450654097,0.8604,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,OU2.5,grass visitor at turf,176,88,0.002462382058384213,-0.003492911888266659,0.008471014109720057,0.2121,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,OU2.5,midweek,70,35,-0.003257739763887489,-0.0129169404853398,0.006294285343945505,0.7451,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,OU2.5,not midweek,688,344,0.00022614737181293867,-0.002006839684309364,0.0025116257320455717,0.4171,false
m05_joint_td_turf_asym,betfair_close,OU2.5,all fixtures,758,379,-0.00309465932610154,-0.01415944876109686,0.00772534272817035,0.7062,false
m05_joint_td_turf_dual,betfair_close,OU2.5,all fixtures,758,379,-0.003137308279719181,-0.014204718892641051,0.007638275734979996,0.7087,false
m05_joint_td_contextual,betfair_close,OU2.5,all fixtures,758,379,-0.00295892109787384,-0.014148359946818397,0.007965309142667423,0.6981,false
m05_joint_production_wealth_hier_ha,betfair_close,OU2.5,all fixtures,758,379,-0.0036157787160275676,-0.014410685265965749,0.00694429993447057,0.7419,false
m12_joint_hybrid_contextual,betfair_close,OU2.5,all fixtures,758,379,-0.0026504963054366417,-0.013397835964916362,0.007696095548987487,0.6879,false
m05_joint_td_raw,betfair_close,OU2.5,all fixtures,758,379,-0.0028760399327627524,-0.0139806838916641,0.008008425205117055,0.6924,false
m12_hybrid_td_raw,betfair_close,OU2.5,all fixtures,758,379,-0.0025549126752719684,-0.013188847862655026,0.007896632429203607,0.6786,false
m05_joint_td_turf_asym,m05_joint_td_raw,BTTS,all fixtures,356,178,0.0008484262954745532,-0.0009867604696509535,0.002720550768780314,0.1866,false
m05_joint_td_turf_asym,m05_joint_td_raw,BTTS,excluding T003,354,177,0.0005098460585413017,-0.0012653591161012273,0.002269999059615174,0.2764,false
m05_joint_td_turf_asym,m05_joint_td_raw,BTTS,turf home,226,113,-0.00014993401143536254,-0.002509775933174438,0.0022171904157823772,0.5413,false
m05_joint_td_turf_asym,m05_joint_td_raw,BTTS,grass home,130,65,0.002584037290564099,-0.00017522117488499492,0.005601081296577325,0.0324,false
m05_joint_td_turf_asym,m05_joint_td_raw,BTTS,grass visitor at turf,70,35,0.0021542442410772728,-0.0037535816653577023,0.008045775139860283,0.242,false
m05_joint_td_turf_asym,m05_joint_td_raw,BTTS,midweek,34,17,-0.0018888974197512147,-0.007547873896776973,0.0041069853154021485,0.7415,false
m05_joint_td_turf_asym,m05_joint_td_raw,BTTS,not midweek,322,161,0.0011374604765853485,-0.0008234462008010856,0.003150516432952092,0.1273,false
