model,scope,n_obs,logloss,market_logloss,brier,market_brier,ece,market_ece,mce,market_mce,rps,market_rps,role
m05_joint_td_contextual,OU2.5,758,0.6869193098610861,0.6898782309589602,0.246899433686258,0.24829171351414944,0.011222226735169908,0.01829866107755568,0.0676884867972386,0.7079376625841927,0.22409666374573983,0.2111040320023605,candidate
m05_joint_td_contextual,BTTS,356,0.6847768648514447,0.6833706365781275,0.24583039806449353,0.2451580767568855,0.00898816684162716,0.03004396402078209,0.009369641259186157,0.07307236039881282,0.22409666374573983,0.2111040320023605,candidate
m05_joint_td_raw,all,2899,0.6429863825954205,0.6418155553508617,0.22586363000096762,0.2252928320612554,0.014930352713004068,0.01390748520485936,0.0648855921264766,0.32902138777066514,0.2241528100882081,0.2111040320023605,control
m05_joint_td_raw,1X2,1785,0.6161062547868922,0.6131180107974481,0.21299474848375488,0.21156444032291422,0.021580989763383445,0.018580646181840455,0.39588365808277426,0.32902138777066514,0.2241528100882081,0.2111040320023605,control
m05_joint_td_raw,OU2.5,758,0.6870021910261978,0.6898782309589602,0.2469525306421488,0.24829171351414944,0.010003344770432063,0.01829866107755568,0.13850227994032938,0.7079376625841927,0.2241528100882081,0.2111040320023605,control
m05_joint_td_raw,BTTS,356,0.6840454987406277,0.6833706365781275,0.24548600871503987,0.2451580767568855,0.004039125069518659,0.03004396402078209,0.010558054203671452,0.07307236039881282,0.2241528100882081,0.2111040320023605,control
m05_joint_production_wealth_hier_ha,all,2899,0.6427189430154163,0.6418155553508617,0.22573961060057715,0.2252928320612554,0.011441760930676342,0.01390748520485936,0.01850073051944706,0.32902138777066514,0.22416260535728164,0.2111040320023605,reference
m05_joint_production_wealth_hier_ha,1X2,1785,0.6160484128082735,0.6131180107974481,0.2129838774095214,0.21156444032291422,0.018423765880602766,0.018580646181840455,0.04390157971454728,0.32902138777066514,0.22416260535728164,0.2111040320023605,reference
m05_joint_production_wealth_hier_ha,OU2.5,758,0.6862624522429317,0.6898782309589602,0.24658266290308165,0.24829171351414944,0.008704254888863509,0.01829866107755568,0.12510641704141778,0.7079376625841927,0.22416260535728164,0.2111040320023605,reference
m05_joint_production_wealth_hier_ha,BTTS,356,0.6837327531988283,0.6833706365781275,0.24531812211949752,0.2451580767568855,0.016362051678172052,0.03004396402078209,0.0894182455601058,0.07307236039881282,0.22416260535728164,0.2111040320023605,reference
m12_joint_hybrid_contextual,all,2899,0.643413110889428,0.6418155553508617,0.22607161650743499,0.2252928320612554,0.011063137142793517,0.01390748520485936,0.19067529348256498,0.32902138777066514,0.22445743152867964,0.2111040320023605,candidate
m12_joint_hybrid_contextual,1X2,1785,0.6163307058727416,0.6131180107974481,0.21311007546367047,0.21156444032291422,0.01315422363555643,0.018580646181840455,0.39882947545407477,0.32902138777066514,0.22445743152867964,0.2111040320023605,candidate
m12_joint_hybrid_contextual,OU2.5,758,0.6872277346535234,0.6898782309589602,0.24705268435240052,0.24829171351414944,0.018455844250000603,0.01829866107755568,0.14173217748400757,0.7079376625841927,0.22445743152867964,0.2111040320023605,candidate
m12_joint_hybrid_contextual,BTTS,356,0.6859148191523456,0.6833706365781275,0.2463881932957403,0.2451580767568855,0.02189911606297668,0.03004396402078209,0.022160863764922434,0.07307236039881282,0.22445743152867964,0.2111040320023605,candidate
m12_hybrid_td_raw,all,2899,0.6433697999906764,0.6418155553508617,0.22604583756864916,0.2252928320612554,0.00995616723169428,0.01390748520485936,0.19640169051638687,0.32902138777066514,0.22447242161176623,0.2111040320023605,control
m12_hybrid_td_raw,1X2,1785,0.6163628377808433,0.6131180107974481,0.21311380224484566,0.21156444032291422,0.015540487807250399,0.018580646181840455,0.19640169051638687,0.32902138777066514,0.22447242161176623,0.2111040320023605,control
m12_hybrid_td_raw,OU2.5,758,0.6873233182836874,0.6898782309589602,0.24710668204282463,0.24829171351414944,0.010027086429431106,0.01829866107755568,0.10781221674809816,0.7079376625841927,0.22447242161176623,0.2111040320023605,control
