fold,β_median,β_q05,β_q95,β_sd,φ_at_median,rhat,ess_bulk,ess_tail
25,0.05249246283353597,0.04980903396626972,0.05503484816654565,0.0015702507791205335,0.9/0.949/1.0/1.054/1.111,1.0009057232209806,3864.135191518797,2140.856788367261
26,0.0523878780918156,0.049762898818603254,0.054943901025001546,0.0015801512812382613,0.901/0.949/1.0/1.054/1.11,1.0025374414125732,3501.9981805662746,2138.5907630238316
27,0.052356119015633015,0.049871331358155614,0.054968764498962965,0.0015360359187550467,0.901/0.949/1.0/1.054/1.11,1.0010919887011935,3768.6121913738825,2052.4148459612798
28,0.05235142113671043,0.04981516017411286,0.05493202292076458,0.0015639783141102295,0.901/0.949/1.0/1.054/1.11,1.0020201003330778,4132.027283156117,2499.498974869218
29,0.05229213241548141,0.04974899150330521,0.054778178646504125,0.0015380615591690956,0.901/0.949/1.0/1.054/1.11,1.0024911609310208,4105.7383044023045,1870.1910936250242
30,0.05233748084429324,0.04981418042207268,0.054774206826621985,0.0014929680601611954,0.901/0.949/1.0/1.054/1.11,1.0018247214209097,3942.642084034748,2388.206015438728
31,0.05212303108518619,0.04972803624539493,0.05455635431476248,0.0014867008667755009,0.901/0.949/1.0/1.054/1.11,1.0010538951403432,4074.2672365190097,2196.2866893776336
32,0.05221138550204877,0.049836234952176144,0.05456223022365592,0.0014470674998511785,0.901/0.949/1.0/1.054/1.11,1.0040076413599734,4084.9925049309873,2179.0001130250575
33,0.0522295423865468,0.0499097252953019,0.05453330838702259,0.001409253999392752,0.901/0.949/1.0/1.054/1.11,1.0028135589676324,3987.624105721704,2058.1289048965155
34,0.052241298319205376,0.04990313291825607,0.054559533434440664,0.0014047560048639342,0.901/0.949/1.0/1.054/1.11,1.0010506965922343,4112.184953022658,2115.6259246016575
35,0.052094021700422447,0.0497742137162761,0.0544747069997569,0.001448326065296139,0.901/0.949/1.0/1.053/1.11,1.0002340357810258,3562.6913373329658,2293.250975575208
36,0.05216060205595791,0.04987933665301686,0.05447473899962498,0.0014057493938013101,0.901/0.949/1.0/1.054/1.11,1.0020063835729165,4047.717291331419,2303.0836317807875
37,0.05230656564682282,0.05010057576388683,0.05446057878124483,0.0013371915868709463,0.901/0.949/1.0/1.054/1.11,1.003381683366479,4179.047486602517,2466.9502787403035
38,0.05236553403309238,0.05020835626897325,0.05465942088419893,0.0013475062167296033,0.901/0.949/1.0/1.054/1.11,1.0005920628847795,3775.3965213420192,2316.4048354496404
39,0.0524512906076742,0.05024962557450798,0.054659575630406416,0.0013490078840339528,0.9/0.949/1.0/1.054/1.111,1.0028751070395168,3766.2860084405443,2479.4180513749443
40,0.05253790847469335,0.050268180914590836,0.054700663694369614,0.001362512290078966,0.9/0.949/1.0/1.054/1.111,1.0024356086932835,3744.6602858376045,2213.93844474831
41,0.05194675180595637,0.04935414458623022,0.0545006152531734,0.0015631632428413547,0.901/0.949/1.0/1.053/1.109,1.0013610593524316,4380.651824278416,2515.3214905487575
42,0.05190458929250682,0.04943101631768189,0.05450590636432191,0.001535054661559448,0.901/0.949/1.0/1.053/1.109,1.00056957337805,4159.233171312927,2551.5041577833263
43,0.05206518533464812,0.04954714286723188,0.05461585792583698,0.0015342849715923674,0.901/0.949/1.0/1.053/1.11,1.0027597581743048,4283.551556660934,2458.7068671315956
