model,config,rep,warmup,retained,delta,max_depth,n_chains,n_draws,n_params,wall_s,core_s,mean_concurrency,max_rhat,worst_rhat_param,min_ess_bulk,worst_bulk_param,min_ess_tail,worst_tail_param,min_ess,ess_per_wall_s,ess_per_core_s,ess_per_draw,n_divergent,n_transitions,divergence_rate,max_tree_depth,n_depth_capped,treedepth_rate,min_bfmi,mean_tree_depth,mean_leapfrog,total_leapfrog,step_size_min,step_size_max,mean_acceptance,gate_rhat,gate_ess400,gate_ess200,gate_div0,gate_bfmi,gate_depth,pass_strict,pass_production
m00_recombined_control,B,3,500,500,0.95,10,4,500,97,1772.2060511112213,6560.315099239349,15.999994419498094,1.007654254531564,raw_attack[17],999.8384018230721,sigma_regular_raw[1],889.1874008509603,raw_attack[14],889.1874008509603,0.5017404157340596,0.1355403494192008,0.4445937004254802,0,2000,0.0,5,0,0.0,0.7861008595596437,4.936,30.568,61136,0.12095346642887012,0.18582623375607574,0.962520739722047,true,true,true,true,true,true,true,true
m00_recombined_control,B,4,500,500,0.95,10,4,500,97,1627.9228689670563,5809.848218202591,15.177515020441291,1.0128983391408333,raw_referee[34],1004.9851278087243,sigma_regular_raw[1],849.1634139997423,raw_referee[3],849.1634139997423,0.5216238620313445,0.1461593112431516,0.42458170699987113,0,2000,0.0,6,0,0.0,0.7210228110813255,4.9615,30.784,61568,0.14286145670761666,0.18680679260346872,0.9675572023575338,true,true,true,true,true,true,true,true
m01_decomposed_baseline,B,1,500,500,0.95,10,4,500,97,1493.4612159729004,5502.973927736282,15.999577812049367,1.0082396069428705,raw_attack[23],752.4016478930822,sigma_regular_raw[1],583.0090950702859,sigma_referee_raw[1],583.0090950702859,0.39037444617568484,0.10594436803194414,0.29150454753514293,0,2000,0.0,7,0,0.0,0.7834165875974085,4.293,21.152,42304,0.12877499721813548,0.22860169530864016,0.959809712448861,true,true,true,true,true,true,true,true
m01_decomposed_baseline,B,2,500,500,0.95,10,4,500,97,1345.8552548885345,4987.350323200226,15.999992672539282,1.0097182053462745,raw_referee[19],737.3298251682103,sigma_regular_raw[1],614.7549956936814,sigma_referee_raw[1],614.7549956936814,0.45677645754304846,0.12326284617183508,0.3073774978468407,0,2000,0.0,6,0,0.0,0.6669603480967845,4.029,16.68,33360,0.2147022841009899,0.24916360878228386,0.9472797301994071,true,true,true,true,true,true,true,true
m01_decomposed_baseline,B,3,500,500,0.95,10,4,500,97,1549.301875114441,5725.220765113831,15.999994219519875,1.0101980351261983,raw_attack[9],789.1713722220036,sigma_regular_raw[1],934.5310166881329,sigma_referee_raw[1],789.1713722220036,0.5093722436524584,0.13784121252245074,0.3945856861110018,0,2000,0.0,7,0,0.0,0.757761703874812,4.2815,23.712,47424,0.19481949945949129,0.21826376903232841,0.9555266118279098,true,true,true,true,true,true,true,true
m01_decomposed_baseline,B,4,500,500,0.95,10,4,500,97,1523.8481209278107,5074.430491924286,14.970048698213589,1.007974824863765,raw_referee[13],986.4250630579913,sigma_regular_raw[1],1084.0952515938393,sigma_referee_raw[1],986.4250630579913,0.6473250513032731,0.19439128482060003,0.4932125315289957,0,2000,0.0,7,0,0.0,0.7329537836801179,4.425,22.792,45584,0.11022189561831082,0.24313586631018275,0.9552865519666602,true,true,true,true,true,true,true,true
m00_recombined_control,C,1,500,500,0.9,10,4,500,97,1388.0946910381317,5099.223809957504,15.999713407727949,1.007450670527018,raw_attack[6],721.1344576493681,sigma_regular_raw[1],556.569423270665,ha_regular[1],556.569423270665,0.40095926226359707,0.10914787112968538,0.27828471163533247,0,2000,0.0,6,0,0.0,0.7475871677765652,4.015,16.08,32160,0.21657198078681764,0.2901790747926702,0.911468860109183,true,true,true,true,true,true,true,true
m00_recombined_control,C,2,500,500,0.9,10,4,500,97,1569.2355818748474,5577.758665084839,15.999993233592217,1.0099188442691256,raw_referee[9],869.1910941363188,sigma_regular_raw[1],896.9996182811713,sigma_referee_raw[1],869.1910941363188,0.5538945867502258,0.15583160662314138,0.4345955470681594,0,2000,0.0,7,0,0.0,0.8362308149961923,4.261,23.432,46864,0.19708481075744233,0.25995298217431023,0.9317069151730606,true,true,true,true,true,true,true,true
m00_recombined_control,C,3,500,500,0.9,10,4,500,97,1554.1166479587555,5603.074215173721,15.999994900451016,1.0078222591630177,raw_referee[23],756.8171343069679,sigma_regular_raw[1],924.1270188712522,sigma_referee_raw[1],756.8171343069679,0.48697575905965906,0.13507176689850484,0.3784085671534839,0,2000,0.0,6,0,0.0,0.731619568211289,4.4175,22.864,45728,0.17538932141248517,0.23158715735974922,0.9263298606360788,true,true,true,true,true,true,true,true
m00_recombined_control,C,4,500,500,0.9,10,4,500,97,1585.260943889618,5218.602345705032,14.758439262159374,1.0096639825013052,raw_defence[16],758.3027560447001,sigma_regular_raw[1],1030.2187117997955,sigma_referee_raw[1],758.3027560447001,0.47834570009913835,0.14530763331082155,0.37915137802235005,1,2000,0.0005,6,0,0.0,0.7812028348516542,4.754,28.465,56930,0.13403044792314078,0.2123771618948008,0.950688155033849,true,true,true,false,true,true,false,false
m01_decomposed_baseline,C,1,500,500,0.9,10,4,500,97,1309.810621023178,4879.515186548233,15.999687772539334,1.0122854921459479,raw_referee[25],1127.9470891799056,sigma_regular_raw[1],1013.5470891017837,raw_referee[6],1013.5470891017837,0.7738119334457957,0.20771471147295814,0.5067735445508919,0,2000,0.0,4,0,0.0,0.8138774525244661,4.0,15.024,30048,0.21964347444638258,0.28860378723993385,0.9232711049562381,true,true,true,true,true,true,true,true
m01_decomposed_baseline,C,2,500,500,0.9,10,4,500,97,1384.4695060253143,4990.804202795029,15.999992883829758,1.0078286146177773,raw_referee[28],858.8163280247478,sigma_regular_raw[1],664.5935948151722,sigma_referee_raw[1],664.5935948151722,0.4800348378370281,0.13316362810686422,0.3322967974075861,0,2000,0.0,6,0,0.0,0.8235421001410085,4.021,16.144,32288,0.20962514742541843,0.26807891119647437,0.9285830225844304,true,true,true,true,true,true,true,true
m01_decomposed_baseline,C,3,500,500,0.9,10,4,500,97,1330.1596109867096,5014.01268196106,15.999994409285783,1.0091572660241592,raw_defence[21],954.8395290645525,sigma_referee_raw[1],763.998231368562,sigma_referee_raw[1],763.998231368562,0.5743658317830217,0.15237261647087622,0.38199911568428097,0,2000,0.0,4,0,0.0,0.7714868588757222,4.0,15.032,30064,0.22572155674927433,0.29909134913525054,0.9214724421155696,true,true,true,true,true,true,true,true
m01_decomposed_baseline,C,4,500,500,0.9,10,4,500,97,1487.475338935852,4927.4841821193695,14.844668697952557,1.0107351382646959,raw_attack[3],892.9694233396241,sigma_regular_raw[1],1113.1923420066807,sigma_regular_raw[1],892.9694233396241,0.6003255314326483,0.18122217958202502,0.446484711669812,0,2000,0.0,7,0,0.0,0.7778497928529697,4.21,23.448,46896,0.20581017911293564,0.23343228626947382,0.9404810931149448,true,true,true,true,true,true,true,true
