model,config,rep,chain,seed,thread,start_s,stop_s,elapsed_s,status,mean_concurrency,mean_tree_depth,mean_leapfrog,step_size,mean_acceptance,n_divergent
m01_decomposed_baseline,C,1,3,20261913,11,0.07645106315612793,1209.9473528862,1209.8709018230438,ok,15.999375983724818,4.0,15.0,0.28860378723993385,0.898083853099688,0
m00_recombined_control,B,1,3,20261913,17,0.07645106315612793,1778.4908969402313,1778.4144458770752,ok,15.99956959226978,4.998,30.968,0.1633095560000008,0.9677144088973988,0
m00_recombined_control,C,1,3,20261913,8,1129.4700570106506,2347.147882938385,1217.6778259277344,ok,15.999990245943465,4.024,16.888,0.21685159790564706,0.9388802356977902,0
m01_decomposed_baseline,A,1,3,20261913,11,1209.948028087616,3333.7295038700104,2123.7814757823944,ok,15.999989997962613,4.027,17.464,0.21235779748320963,0.9538467545279187,0
m00_recombined_control,A,1,4,20261914,13,1229.6971950531006,3842.3119740486145,2612.614778995514,ok,15.99999118588126,4.88,29.864,0.185084292942017,0.9536970690813869,0
m01_decomposed_baseline,B,1,4,20261914,16,1231.2720260620117,2647.122752904892,1415.8507268428802,ok,15.999989191730307,4.172,23.256,0.20999468818266287,0.955375991717452,0
m00_recombined_control,C,1,4,20261914,15,1300.4151890277863,2493.52823805809,1193.113049030304,ok,15.999991710094227,4.0,15.0,0.2901790747926702,0.8464304290520093,0
m00_recombined_control,B,1,4,20261914,5,1364.1191849708557,2914.5591809749603,1550.4399960041046,ok,15.999989456585551,4.908,30.232,0.1888858396444701,0.9584702048454289,0
m01_decomposed_baseline,C,1,4,20261914,4,1388.17178606987,2697.982407093048,1309.810621023178,ok,15.999989479305777,4.0,15.096,0.21964347444638258,0.928960531539119,0
m01_decomposed_baseline,A,1,4,20261914,12,1493.5382850170135,3501.5210139751434,2007.9827289581299,ok,15.999990984898039,4.0,15.0,0.24317803127316573,0.9375822989678535,0
m01_decomposed_baseline,A,2,1,20262911,14,1574.4279749393463,3645.5377609729767,2071.1097860336304,ok,15.99999333108017,4.021,16.552,0.21318625868965344,0.9467235221223694,0
m01_decomposed_baseline,B,2,1,20262911,2,1760.413743019104,3019.375606060028,1258.961863040924,ok,15.999991188661092,4.008,15.736,0.21934845819182566,0.9486131842064744,0
m01_decomposed_baseline,C,2,1,20262911,17,1778.4916870594025,2969.47917509079,1190.9874880313873,ok,15.99999187306403,4.0,15.0,0.2506790729235055,0.9333962434017347,0
m00_recombined_control,C,2,1,20262911,3,2031.4688498973846,3511.078483104706,1479.6096332073212,ok,15.999992312678359,4.552,30.36,0.19708481075744233,0.9434315456163636,0
m00_recombined_control,A,2,1,20262911,8,2347.148330926895,4933.538495063782,2586.3901641368866,ok,15.99999176731911,4.255,25.768,0.2048339168108632,0.9384217365347437,0
m00_recombined_control,B,2,1,20262911,15,2493.532716035843,4068.444398880005,1574.911682844162,ok,15.999991711348525,5.0,31.0,0.12960306255941587,0.9779439968126926,0
m01_decomposed_baseline,A,2,2,20262912,9,2603.145071029663,5179.809416055679,2576.6643450260162,ok,15.999993163703493,4.763,29.816,0.19153761095955948,0.9603961689421855,0
