model,environment,variant,route,run_id,t012_mode,lambda,beta,nominal_floor,nominal_drawdown_pct,n_panel,n_slates,n_bets,terminal_return_pct,cagr_pct,roi_pct,sharpe_ann,sortino,calmar,max_drawdown_pct,realised_drawdown_pct,win_rate_pct,total_turnover,mean_slate_exposure,max_slate_exposure,mean_k_risk,n_capped,overshoot_ratio,pareto_drawdown_sharpe,pareto_all_metrics
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,native_count,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,8.0,0.01,0.5623413251903491,43.76586748096509,594,99,979,211.21462120494178,93.13340636493992,20.154662249357486,1.7804613408080576,0.3735917563199477,12.527626338404115,-16.8599074956005,16.8599074956005,34.831460674157306,6.262790958433589,0.0632605147316524,0.1954581060009179,0.8534076677751032,0,0.38522959708118,false,true
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,native_count,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,10.0,0.01,0.6309573444801932,36.90426555198067,594,99,979,157.486517168653,73.03733078108479,20.145809999570897,1.803788928298418,0.3829740782558586,11.299471940623455,-13.937511239128186,13.937511239128186,34.831460674157306,5.119278746017834,0.051709886323412495,0.15967218432455152,0.7026434331196754,0,0.37766667431700596,false,true
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,native_count,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,12.0,0.01,0.6812920690579612,31.870793094203876,594,99,979,124.77731946205091,59.931014574149664,20.138527191604314,1.8190471907151675,0.3894515287795459,10.505454111126456,-11.877384655832985,11.877384655832985,34.831460674157306,4.327269283490988,0.04370979074233321,0.13495894019283994,0.5955883567483066,0,0.3726730182310099,false,true
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,native_count,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,15.0,0.01,0.7356422544596414,26.435774554035863,594,99,979,94.68893842680863,47.14619960758009,20.130872457020274,1.8346284362490919,0.3962171862766966,9.740598576208733,-9.721059510458112,9.721059510458112,34.831460674157306,3.512174953426351,0.03547651468107426,0.10952782327614,0.48538001310620377,0,0.3677236500329448,false,true
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,native_count,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,18.0,0.01,0.7742636826811271,22.57363173188729,594,99,979,76.08110010398468,38.820910281859945,20.12555070454664,1.8451982804991571,0.4008980281282686,9.247749650695704,-8.22698526427574,8.22698526427574,34.831460674157306,2.9554607803590334,0.029853139195545792,0.09216016081313594,0.4100874979873572,0,0.3644511154425534,false,true
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,native_count,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,20.0,0.01,0.7943282347242815,20.567176527571853,594,99,979,67.20969366547718,34.72198844614536,20.122821394449115,1.850538509250557,0.4032920644990778,9.006619394940437,-7.462255338915834,7.462255338915834,34.831460674157306,2.6729926717409076,0.026999925977180903,0.08334880327823661,0.37187907905005124,0,0.36282351779847455,false,true
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,native_count,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,23.0,0.01,0.8185467307069029,18.145326929309714,594,99,979,57.16087495607527,29.966979358159417,20.119557436914214,1.856854846624445,0.40614963233139006,8.728154777837304,-6.549021690268285,6.549021690268285,34.831460674157306,2.3378318332823795,0.023614462962448284,0.0728944489122302,0.3265376644517419,0,0.3609205673605035,false,true
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,native_count,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,28.0,0.01,0.848342898244072,15.165710175592794,594,99,979,45.7088368319984,24.389262167382952,20.11558509097781,1.864441364025331,0.40961991595785163,8.403238973292009,-5.4394307929686,5.4394307929686,34.831460674157306,1.9337192218758035,0.01953251739268488,0.06029046743720286,0.2718603474652588,0,0.35866640796832877,false,true
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,native_count,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,35.0,0.01,0.8767123872968682,12.328761270313182,594,99,979,35.65877502488737,19.340606778213253,20.111844946827183,1.8714856827923665,0.41288040440254925,8.110749658259538,-4.3964832509131195,4.3964832509131195,34.831460674157306,1.5569356324155792,0.01572662254965231,0.04854006670401374,0.22087281764077904,0,0.356603810757497,false,true
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,native_count,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,45.0,0.01,0.9027251779484575,9.727482205154248,594,99,979,27.11199923229961,14.922057389262044,20.10844956133145,1.8777996078114658,0.4158349772903472,7.856014156572576,-3.451113846277492,3.451113846277492,34.831460674157306,1.2179183934844526,0.012302205994792453,0.037968534138725946,0.17498937607873685,0,0.3547797645364871,true,true
m05_joint_grw_baseline,t25,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,8.0,0.01,0.5623413251903491,43.76586748096509,594,99,1126,499.552904690567,182.4585722667551,13.734433716152642,1.5806530084903088,0.24598149836884114,12.32026643940921,-40.547248482600345,40.547248482600345,35.07992895204263,15.909341267886749,0.16070041684734085,0.25000000000000006,0.8712312183353651,22,0.9264582382660504,false,true
m05_joint_grw_baseline,t25,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,10.0,0.01,0.6309573444801932,36.90426555198067,594,99,1126,354.0215759816137,140.40744810648263,13.185834830682328,1.5411259043159002,0.2381217371378239,9.191911887373017,-38.514465795514774,38.514465795514774,35.07992895204263,13.704763310392197,0.13843195263022423,0.25000000000000006,0.7181024806780655,9,1.0436318192341774,false,true
m05_joint_grw_baseline,t25,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,12.0,0.01,0.6812920690579612,31.870793094203876,594,99,1126,265.59195868241903,112.0332652062663,12.85148081658943,1.5219996482194544,0.23294908146829635,7.481129520565613,-35.501585415986604,35.501585415986604,35.07992895204263,11.801633375263615,0.11920841793195569,0.25,0.6100443031305536,4,1.1139222457078746,false,true
m05_joint_grw_baseline,t25,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,15.0,0.01,0.7356422544596414,26.435774554035863,594,99,1126,196.83849423939438,87.90971018095715,12.778875675848532,1.5690496533166345,0.24335397613417503,6.630696334775748,-29.685946136161206,29.685946136161206,35.07992895204263,9.657174859177356,0.09754722079977131,0.25,0.49737820196030874,1,1.1229459562639956,false,true
m05_joint_grw_baseline,t25,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,18.0,0.01,0.7742636826811271,22.57363173188729,594,99,1126,155.55680249944527,72.28429800975842,12.763999164652573,1.6047001982028022,0.2514211860858613,6.112851905316106,-25.44750059528903,25.44750059528903,35.07992895204263,8.164684713784547,0.0824715627655005,0.25,0.42009350249866695,1,1.1273108774669227,false,true
m05_joint_grw_baseline,t25,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,20.0,0.01,0.7943282347242815,20.567176527571853,594,99,1126,135.68446779378135,64.3854246703366,12.760242269856102,1.6196355370520705,0.2550386290884838,5.840406727528911,-23.232023748316884,23.232023748316884,35.07992895204263,7.385713169937663,0.07460316333270367,0.22812390572830146,0.3808860482503079,0,1.1295679655966682,false,true
m05_joint_grw_baseline,t25,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,23.0,0.01,0.8185467307069029,18.145326929309714,594,99,1126,113.54547626052481,55.247983494624606,12.756346516626612,1.6368141161185468,0.2592832786106695,5.526498755879202,-20.545644046283883,20.545644046283883,35.07992895204263,6.458917013462778,0.0652415859945735,0.19949594444210683,0.33436999036695486,0,1.1322829357842539,false,true
m05_joint_grw_baseline,t25,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,28.0,0.01,0.848342898244072,15.165710175592794,594,99,1126,88.96676733978117,44.62312632307215,12.751649555520085,1.6573940755909533,0.2644449212004264,5.165782260222003,-17.222322362452374,17.222322362452374,35.07992895204263,5.341702439144623,0.05395659029439011,0.16498596324738915,0.2782924986911007,0,1.1356093557800824,false,true
m05_joint_grw_baseline,t25,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,35.0,0.01,0.8767123872968682,12.328761270313182,594,99,1126,68.0487388560746,35.11350939219216,12.747270573671116,1.676453020123831,0.2693019263215424,4.846937622401228,-14.039532619848838,14.039532619848838,35.07992895204263,4.300301168668444,0.043437385542105474,0.13281813204294074,0.2260160123971326,0,1.138762630894239,false,true
m05_joint_grw_baseline,t25,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,45.0,0.01,0.9027251779484575,9.727482205154248,594,99,1126,50.799558054184615,26.890632937048853,12.743330860350133,1.6934961238217372,0.2737098800301733,4.574350423757749,-11.105305310749165,11.105305310749165,35.07992895204263,3.363508526853877,0.033974833604584635,0.10388222844006499,0.17898697865284427,0,1.1416423157129867,true,true
