model,environment,variant,lambda,n_slates,ret_mean,ret_std,ret_var,ret_skew,ret_excess_kurt,log_mean,log_std,log_var,log_skew,log_excess_kurt
m05_joint_grw_baseline,t25,raw,18.0,99,0.010526669582464404,0.045469117378224434,0.002067440635154751,0.3943825857661224,0.8993534604063078,0.009477520383097801,0.04474487052636832,0.002002103438421465,0.20704703648228634,0.9000053509847876
m05_joint_grw_baseline,t25,raw,20.0,99,0.009519544382229439,0.04111101337322304,0.0016901154205733236,0.39341509901686555,0.8967469480594739,0.008659835591723047,0.0405074388068544,0.001640852598691054,0.2243366181120511,0.892701147566334
m05_joint_grw_baseline,t25,raw,23.0,99,0.008322442782410733,0.0359422857002979,0.0012918479013618392,0.3924672119011796,0.8941284451598808,0.007663430581421478,0.035470417540625625,0.001258150520506322,0.2449195352063352,0.8857879336967129
m05_joint_grw_baseline,t25,raw,28.0,99,0.00688035530644839,0.02971534442548484,0.000883001694325193,0.3913258690156401,0.8909609979419386,0.006428292721513706,0.029384093517956945,0.0008634249518720393,0.26958808798530964,0.8793111048621518
m05_joint_grw_baseline,t25,raw,35.0,99,0.005537081065180882,0.023914666740460402,0.000571911285307283,0.39026332307056677,0.8879977787731534,0.005243271349285748,0.023694818216609213,0.0005614444103181558,0.2924559391762583,0.8750767823511651
m05_joint_grw_baseline,t25,raw,45.0,99,0.004329525455485637,0.018699739593078166,0.00034968026084893517,0.3893086797535521,0.8853234418941112,0.004149306453599007,0.018562383434774267,0.00034456207877958206,0.3129339745367347,0.8727371902905481
m05_joint_grw_smile_spine_w040,t25,raw,8.0,99,0.022101254392071126,0.10689326692065457,0.011426170512970305,0.6544571548417459,0.6295163092532112,0.016595427599203558,0.10257852777053904,0.010522354359571249,0.31378123140586267,0.35706576772546095
m05_joint_grw_smile_spine_w040,t25,raw,10.0,99,0.01786348765376397,0.08919807945031935,0.007956297377625484,0.5480131996103069,0.6731795740301658,0.013975602013637413,0.08651038676228316,0.007484047017759818,0.23296345639376675,0.5596822500827212
m05_joint_grw_smile_spine_w040,t25,raw,12.0,99,0.015002587740805571,0.07593172319958247,0.005765626588058011,0.48612171368246243,0.7447674253377952,0.012160226677797046,0.07408858935012508,0.005489119071891467,0.1982590751184334,0.7280850476382654
m05_joint_grw_smile_spine_w040,t25,raw,15.0,99,0.012305440051682269,0.06169696310920732,0.0038065152568988888,0.4797413259288515,0.7145292851689322,0.010415297817261313,0.060400329067134675,0.0036481997514181542,0.24910558865450688,0.6849521166456403
m05_joint_grw_smile_spine_w040,t25,raw,18.0,99,0.01038528624715687,0.05192294353969628,0.0026959920658264874,0.4774635293301994,0.7037923611898758,0.009039746933685946,0.05096546309105623,0.0025974784280858145,0.2845146786224541,0.669138598722808
m05_joint_grw_smile_spine_w040,t25,raw,20.0,99,0.009390198284765275,0.046946069761003406,0.0022039334660049984,0.47678869500103205,0.702831653404401,0.008287354721019251,0.046147240769066816,0.0021295678305982223,0.30255678954087933,0.6666374301383287
m05_joint_grw_smile_spine_w040,t25,raw,23.0,99,0.008210138281468615,0.041044573930301476,0.0016846570491199835,0.4759845236696916,0.7016895513496846,0.007364429462633332,0.040419269689513,0.0016337173622335843,0.323860104687811,0.6650336851631629
m05_joint_grw_smile_spine_w040,t25,raw,28.0,99,0.006788275121752408,0.033934532726062776,0.0011515525113362254,0.475009960338827,0.7003095050335757,0.00620786154829213,0.033494903358104997,0.0011219085509687932,0.3494117379102305,0.6650394975321379
m05_joint_grw_smile_spine_w040,t25,raw,35.0,99,0.005463544440161376,0.027310894219807865,0.0007458849430855346,0.4740964579328795,0.6990200271309486,0.005086132857656405,0.027018702426122927,0.0007300102807913809,0.3731203473170942,0.6669291136926438
m05_joint_grw_smile_spine_w040,t25,raw,45.0,99,0.004272419914313121,0.021355843267341183,0.0004560720416592417,0.4732705482746601,0.6978576690672349,0.004040814141324368,0.021173055226984674,0.000448298267644943,0.3943717601482457,0.6701662754199935
