fold,side,parameter,mean,sd,q05,q50,q95,prior_mean,prior_sd
7,α,φ,0.4871510591890202,0.22617607727541883,0.1250551445411012,0.4840021366920508,0.8778831587193304,0.5,0.22360679774997896
7,α,σᵥ,0.014421572725585204,0.010271335393198118,0.0028009579422625377,0.011865078450787284,0.0354650268341058,0.015,0.010606601717798213
7,β,φ,0.4814053340954196,0.22613260576961766,0.13760106799499142,0.4689188284546404,0.8628198039951362,0.5,0.22360679774997896
7,β,σᵥ,0.011355779643613242,0.007742908020978369,0.0023295190951514583,0.009527585291473545,0.026404778369096216,0.012,0.00848528137423857
8,α,φ,0.4992070358925865,0.22393904053581484,0.14078928800643611,0.49873664613902674,0.8675593723156034,0.5,0.22360679774997896
8,α,σᵥ,0.015212765710000499,0.010236554173596453,0.0027244030888166158,0.01320689951383492,0.036186057657594785,0.015,0.010606601717798213
8,β,φ,0.4865145054262717,0.22746663238302006,0.12954973873289846,0.49982453420525186,0.8548374340143072,0.5,0.22360679774997896
8,β,σᵥ,0.011453162511516948,0.008276984281757865,0.0022519633484203673,0.009475365545953246,0.02837009047710039,0.012,0.00848528137423857
9,α,φ,0.4783145209655109,0.2233097990363412,0.1278774937339116,0.46376274980428034,0.8459671036668627,0.5,0.22360679774997896
9,α,σᵥ,0.014136699112553115,0.00979042072089671,0.0029082882071785874,0.011718613678922178,0.032052283594105016,0.015,0.010606601717798213
9,β,φ,0.48920519878199265,0.21378630556186007,0.12975579197759382,0.49398784617498315,0.8314402784622296,0.5,0.22360679774997896
9,β,σᵥ,0.010853928418661896,0.007667600807728987,0.0018324421163015618,0.009377071244767934,0.0259342931218057,0.012,0.00848528137423857
10,α,φ,0.4913905058231423,0.2207324015782842,0.13022121790637053,0.4893072312778071,0.8692168081779846,0.5,0.22360679774997896
10,α,σᵥ,0.013408123414976627,0.00893184383627239,0.002535593219435795,0.011726549207411223,0.03126079169708397,0.015,0.010606601717798213
10,β,φ,0.48667214435681044,0.22286392037820463,0.13397290064826034,0.4861346511389551,0.8553474808449719,0.5,0.22360679774997896
10,β,σᵥ,0.010464233469198052,0.007594135966824654,0.0018470474950264186,0.008748603659901238,0.024985341954319555,0.012,0.00848528137423857
11,α,φ,0.46599418756308275,0.2195642619558902,0.12477424711580387,0.4662933605329529,0.8328317950595827,0.5,0.22360679774997896
11,α,σᵥ,0.01188291624626459,0.00774126470551317,0.002193404434680889,0.01063347635452691,0.026096150688540196,0.015,0.010606601717798213
11,β,φ,0.5106753878432542,0.22255134399614318,0.14248594041278625,0.5109035907282673,0.871784569337936,0.5,0.22360679774997896
11,β,σᵥ,0.012870261898387126,0.008932356940627504,0.002582666554337586,0.010905503134837482,0.02973598257029603,0.012,0.00848528137423857
12,α,φ,0.46697400978699394,0.21612450029868163,0.1162526764676391,0.4477350164532352,0.8225561728813006,0.5,0.22360679774997896
12,α,σᵥ,0.011778391760469903,0.008127182440281235,0.0022641295634788575,0.010092540711504028,0.027623319009440248,0.015,0.010606601717798213
12,β,φ,0.5183431764060049,0.22237646605678496,0.16359203139711923,0.5276183332170445,0.8694444425803383,0.5,0.22360679774997896
12,β,σᵥ,0.013095682225968141,0.009024713444345177,0.0020458007608955405,0.011053165570154524,0.029748965407623583,0.012,0.00848528137423857
13,α,φ,0.46194188295623806,0.2095093952801617,0.1309344820469309,0.4540534488865544,0.8240048825883356,0.5,0.22360679774997896
13,α,σᵥ,0.011448689884655541,0.0075689900310990385,0.002215164003491949,0.009796902606002062,0.025399858620556198,0.015,0.010606601717798213
13,β,φ,0.4883322856484106,0.2231758360328062,0.13269759583717264,0.48686855675136353,0.8426334926937462,0.5,0.22360679774997896
13,β,σᵥ,0.01211369678519007,0.008079270426985473,0.0020338037008457203,0.010371213329539405,0.027271653581140278,0.012,0.00848528137423857
14,α,φ,0.4643087165337115,0.21033144602369078,0.12516841608961343,0.45434592675759866,0.806702864154535,0.5,0.22360679774997896
14,α,σᵥ,0.011483436052501975,0.007471122412364637,0.00220615160105372,0.009772126401236498,0.02615877416080018,0.015,0.010606601717798213
14,β,φ,0.5091798668719139,0.22841452466838785,0.12259107992693197,0.5181249703774109,0.8644748388925272,0.5,0.22360679774997896
14,β,σᵥ,0.012526012916308503,0.007984966335717892,0.0023127664943436168,0.011100984917812341,0.028061810637907005,0.012,0.00848528137423857
15,α,φ,0.44749336824143726,0.2040001005082077,0.12151526805030072,0.45894244694986686,0.7790263606736055,0.5,0.22360679774997896
15,α,σᵥ,0.010749198426578814,0.007051829222810533,0.002344285355771892,0.009066739218681511,0.0245892098451069,0.015,0.010606601717798213
15,β,φ,0.5214679682764722,0.22225406236406092,0.14394062061335045,0.5374037255351245,0.8674547955020019,0.5,0.22360679774997896
15,β,σᵥ,0.012770012778834314,0.008148816692083172,0.0022012957763416323,0.011288801159968586,0.028861178335022244,0.012,0.00848528137423857
16,α,φ,0.44426990052004794,0.20924524224917643,0.10856510075845048,0.44804573217570653,0.7996507623424403,0.5,0.22360679774997896
16,α,σᵥ,0.010481911480918527,0.006751979303783939,0.0022217801289424587,0.009262717907172584,0.023457016784028943,0.015,0.010606601717798213
16,β,φ,0.5701395562722404,0.23142577428374073,0.16374770842175182,0.5831851166029128,0.8992285756295955,0.5,0.22360679774997896
16,β,σᵥ,0.014532729187668245,0.008619614044966676,0.003341192409719559,0.013312907474909222,0.030781151979843793,0.012,0.00848528137423857
17,α,φ,0.4318213544443495,0.21685980178296144,0.10119820030243754,0.42779323577716444,0.7980300730794961,0.5,0.22360679774997896
17,α,σᵥ,0.010590823204546952,0.007013028325075973,0.0022749726984208495,0.00914781181076968,0.02313803119786736,0.015,0.010606601717798213
17,β,φ,0.5209904460710867,0.22189524506175481,0.1491414210388871,0.5130437741701764,0.8811756749123467,0.5,0.22360679774997896
17,β,σᵥ,0.013489396951174303,0.008447461116712022,0.0030552512463559805,0.011992459566500396,0.030004073761477658,0.012,0.00848528137423857
18,α,φ,0.4349090411174115,0.20970019652504476,0.11258961257033995,0.4205285645702574,0.7929440274553448,0.5,0.22360679774997896
18,α,σᵥ,0.010358846526031166,0.006815034033771718,0.0016575565174456474,0.009268169655598495,0.02314808385433905,0.015,0.010606601717798213
18,β,φ,0.49642225555004904,0.22065573100396085,0.1396730210933799,0.4950360740564492,0.8616263545160676,0.5,0.22360679774997896
18,β,σᵥ,0.012285262945533932,0.007767550872189779,0.0026401932648311465,0.010928840549035956,0.026070140091711883,0.012,0.00848528137423857
19,α,φ,0.43465214768526744,0.21564389829471967,0.11129907547856469,0.4241592769294458,0.8030526140579239,0.5,0.22360679774997896
19,α,σᵥ,0.010304986051904335,0.0070272404019074974,0.0019425257331510408,0.008637740761551639,0.02436134455148249,0.015,0.010606601717798213
19,β,φ,0.49802315865551966,0.21414668335869602,0.13382125211069704,0.5044659539444958,0.8531590162119057,0.5,0.22360679774997896
19,β,σᵥ,0.012771417473004181,0.008603582318237721,0.002609855580936725,0.010808788456786737,0.029422284215440925,0.012,0.00848528137423857
20,α,φ,0.42231489640461684,0.1991388036296842,0.10198398232102178,0.405647118461352,0.7602269461744273,0.5,0.22360679774997896
20,α,σᵥ,0.009124602853713104,0.006063486187525564,0.0018133305018436649,0.00785925227607922,0.0208097995385259,0.015,0.010606601717798213
20,β,φ,0.4680881824225514,0.2113224377944232,0.13541023765879767,0.4714695723059783,0.809286536929721,0.5,0.22360679774997896
20,β,σᵥ,0.010931365856377577,0.006976126002043868,0.0021087319326722706,0.00941801825247463,0.023355404058116303,0.012,0.00848528137423857
23,α,φ,0.501326960310807,0.2272173326098913,0.14088004984226457,0.49955389551934215,0.865561088873827,0.5,0.22360679774997896
23,α,σᵥ,0.01432637322015091,0.010303704460200118,0.0023987272437609474,0.012205904860769206,0.033724497943184994,0.015,0.010606601717798213
23,β,φ,0.4991300433909147,0.2155673972309856,0.14710585101789556,0.5037453673842529,0.838525307799148,0.5,0.22360679774997896
23,β,σᵥ,0.011483437318671928,0.008016560791837612,0.0019936799861909327,0.009840100538447739,0.026721126169178926,0.012,0.00848528137423857
24,α,φ,0.49791743684323087,0.21620442295422926,0.1312721908498822,0.5054247330350059,0.8306049782939504,0.5,0.22360679774997896
24,α,σᵥ,0.015703104575385776,0.011342188941290847,0.002993004362934094,0.012763930540154914,0.03826505794086672,0.015,0.010606601717798213
24,β,φ,0.49372571522647696,0.2265514750840031,0.1290400227175167,0.4871559122448331,0.8564807161567111,0.5,0.22360679774997896
24,β,σᵥ,0.011991094381129146,0.00908246328495607,0.0019533687005971537,0.009551758721868683,0.029598296119836772,0.012,0.00848528137423857
25,α,φ,0.5009557380081003,0.2250687153047612,0.14531336926766475,0.4989825573329476,0.8667927929293567,0.5,0.22360679774997896
25,α,σᵥ,0.014236406255031284,0.010126428080181249,0.0023838442514355174,0.011622557932077417,0.035802015294315336,0.015,0.010606601717798213
25,β,φ,0.5059867197759033,0.21914008676019453,0.13648043975398622,0.5079241804985681,0.8572614148428481,0.5,0.22360679774997896
25,β,σᵥ,0.012168541261853117,0.008544221881812844,0.0021783670971234972,0.010009678282375482,0.027875583331761787,0.012,0.00848528137423857
26,α,φ,0.4915708333782326,0.2196373228168904,0.13635366475995686,0.48794469319883776,0.8380852130261826,0.5,0.22360679774997896
26,α,σᵥ,0.01541951473506597,0.010941307121570768,0.0023285560338973436,0.01290154109953226,0.03727502199466624,0.015,0.010606601717798213
26,β,φ,0.4936159880367474,0.21919280781544312,0.1397706422034485,0.49435456133275246,0.8538430150163223,0.5,0.22360679774997896
26,β,σᵥ,0.011700598496946038,0.0077523124586067705,0.002291597506499767,0.01011987181953938,0.02668150556457956,0.012,0.00848528137423857
27,α,φ,0.503642080817411,0.2279423796370527,0.12004309086589182,0.5174144192125784,0.8572110132146313,0.5,0.22360679774997896
27,α,σᵥ,0.015092662016200348,0.010822312365826377,0.0030865474404137457,0.012446824617498898,0.035917051166993216,0.015,0.010606601717798213
27,β,φ,0.49255211070892996,0.22311190665445169,0.1413642065497537,0.4920083366891884,0.8739943393887087,0.5,0.22360679774997896
27,β,σᵥ,0.011555903669564813,0.008164202971955681,0.002205471999541455,0.010010659731012533,0.026717919047051737,0.012,0.00848528137423857
28,α,φ,0.50565367672294,0.2254732763343638,0.14885361048725243,0.506517500852167,0.8887080184338009,0.5,0.22360679774997896
28,α,σᵥ,0.014634457133381476,0.009859611736158173,0.002587829227045202,0.01225443165649132,0.0341743820479619,0.015,0.010606601717798213
28,β,φ,0.5047631197035161,0.2292806418718966,0.13571269555607762,0.5129140075059191,0.8700700528108634,0.5,0.22360679774997896
28,β,σᵥ,0.011418398634685406,0.0077627925424832095,0.0021078996201871615,0.00987558436416694,0.02589784321560073,0.012,0.00848528137423857
29,α,φ,0.4774852194260412,0.22698731259113394,0.12276632394462005,0.4612554321183211,0.8524787835661055,0.5,0.22360679774997896
29,α,σᵥ,0.012969856483966756,0.00843626718116054,0.0024935965530732103,0.01144054535659585,0.028920866841762476,0.015,0.010606601717798213
29,β,φ,0.48728062660397453,0.2220707102506728,0.11772993753719092,0.4830601567670236,0.8389544094582035,0.5,0.22360679774997896
29,β,σᵥ,0.011652918902616502,0.00829969445703602,0.0021647249680706976,0.009720519703702482,0.026910089071966355,0.012,0.00848528137423857
30,α,φ,0.49343748844109214,0.21702868990055096,0.126556734965404,0.4909831634165756,0.8352209569513754,0.5,0.22360679774997896
30,α,σᵥ,0.014648582987186597,0.01003190505567462,0.0028178191895287794,0.012182845836435278,0.034143622213308335,0.015,0.010606601717798213
30,β,φ,0.49382263965704104,0.22104596199518295,0.14167395686200926,0.4900543505867952,0.8665841175055501,0.5,0.22360679774997896
30,β,σᵥ,0.012298231794360102,0.008322043446264074,0.0022256534836382976,0.010620047597061592,0.027416603060967874,0.012,0.00848528137423857
31,α,φ,0.4820229904145734,0.21079345281645132,0.14129918543140516,0.4677433658952226,0.8223435683229136,0.5,0.22360679774997896
31,α,σᵥ,0.013665218589587866,0.00938807560758011,0.0023147707053071537,0.011487036529383148,0.032100320216448965,0.015,0.010606601717798213
31,β,φ,0.5087261084593845,0.22513716078813245,0.12989996036589635,0.5178418728520899,0.8637629662059635,0.5,0.22360679774997896
31,β,σᵥ,0.013396408821378034,0.009478755836851968,0.0023217442312079713,0.010889395038627087,0.03220344319480021,0.012,0.00848528137423857
32,α,φ,0.48287686343113867,0.21910321609379083,0.1263697600446899,0.4823227945749726,0.8491292779152586,0.5,0.22360679774997896
32,α,σᵥ,0.011860748727756337,0.007939226926010522,0.0023775493875493924,0.010412657269457823,0.027647686334902864,0.015,0.010606601717798213
32,β,φ,0.5265368242219536,0.22802461957406608,0.13212930158663025,0.5451735356908103,0.8872274829373943,0.5,0.22360679774997896
32,β,σᵥ,0.013967452369635728,0.008715841250193895,0.0029704319011743465,0.012304830817208004,0.03045554084059908,0.012,0.00848528137423857
33,α,φ,0.45835045219874365,0.21748495074222945,0.11511010962322746,0.4482806279581041,0.8425775356904625,0.5,0.22360679774997896
33,α,σᵥ,0.012510708665363144,0.008209032792043897,0.002619835327532952,0.011148450396512074,0.027664508776869972,0.015,0.010606601717798213
33,β,φ,0.5564805722507046,0.2256888196729946,0.1739277480219555,0.5675092536179084,0.9053808920115595,0.5,0.22360679774997896
33,β,σᵥ,0.014879733351847987,0.009615619137633953,0.002717107381539483,0.012774695470084724,0.03436208890437992,0.012,0.00848528137423857
34,α,φ,0.46244226078914946,0.21808791357384869,0.12749586585198874,0.46377742396172383,0.8338584693531786,0.5,0.22360679774997896
34,α,σᵥ,0.01225001209582433,0.008230672384001344,0.0023611684888249543,0.01042865262593812,0.027177551279051637,0.015,0.010606601717798213
34,β,φ,0.5466393678451318,0.2249930189580482,0.14963260598999806,0.5580442672994335,0.8969781581744714,0.5,0.22360679774997896
34,β,σᵥ,0.014975324226373042,0.009475231648459473,0.003009914252704984,0.013753629244476658,0.03323493005123493,0.012,0.00848528137423857
35,α,φ,0.4815522291731758,0.2218906642431906,0.12337210240239149,0.47751371701259154,0.8406629628438633,0.5,0.22360679774997896
35,α,σᵥ,0.013428625690592291,0.009372637058738654,0.002122357102583708,0.011369475911576192,0.03190396147544137,0.015,0.010606601717798213
35,β,φ,0.5375365083815217,0.221903278826214,0.14783571241891263,0.5478209029265015,0.8755377293905419,0.5,0.22360679774997896
35,β,σᵥ,0.014388747202128807,0.00928826101787761,0.0024720045617973234,0.012789058823234615,0.031631622834179585,0.012,0.00848528137423857
36,α,φ,0.47635961843129976,0.22130199739943346,0.11003838428493817,0.4822116213187057,0.8305431505763737,0.5,0.22360679774997896
