match_id,tournament_id,match_date,bbc_home_shots,bbc_away_shots
14035744,57,2025-12-20,5,7
14035750,57,2025-12-27,9,9
14035743,57,2025-12-20,10,5
14035751,57,2025-12-27,11,7
14035749,57,2025-12-27,8,7
14035748,57,2025-12-27,9,11
14035755,57,2026-01-03,10,3
14035746,57,2025-12-27,14,17
14035756,57,2026-01-03,14,8
14035752,57,2026-01-03,14,19
14035760,57,2026-01-10,7,15
14035761,57,2026-01-10,3,11
14035771,57,2026-01-24,8,9
14035767,57,2026-01-17,15,20
14035768,57,2026-01-24,11,10
14035766,57,2026-01-24,13,6
14035769,57,2026-01-24,7,12
14035770,57,2026-01-24,7,7
15399014,57,2026-01-27,3,9
14035774,57,2026-01-31,9,7
14035773,57,2026-01-31,12,14
14035772,57,2026-01-31,11,14
14035782,57,2026-02-07,8,7
14035775,57,2026-01-31,21,7
14035776,57,2026-01-31,21,15
14035777,57,2026-02-07,8,6
14035781,57,2026-02-07,15,13
15336943,57,2026-02-10,6,8
14035787,57,2026-02-14,13,6
15416466,57,2026-02-10,10,12
15366428,57,2026-02-17,8,15
14035778,57,2026-02-14,8,12
15547533,57,2026-02-17,9,16
14035786,57,2026-02-21,14,10
14035788,57,2026-02-21,15,10
14035789,57,2026-02-21,10,9
14035790,57,2026-02-21,12,5
14035792,57,2026-02-21,7,13
15399013,57,2026-02-24,9,10
15416481,57,2026-02-24,7,6
14035796,57,2026-02-28,13,4
15395623,57,2026-02-24,10,15
14035794,57,2026-02-28,9,15
14035791,57,2026-02-28,11,12
14035793,57,2026-02-28,12,10
14035795,57,2026-02-28,9,14
15458714,57,2026-03-03,16,3
14035801,57,2026-03-07,6,14
14035798,57,2026-03-07,13,9
14035799,57,2026-03-07,12,5
14035800,57,2026-03-07,9,16
14035797,57,2026-03-07,21,8
15422405,57,2026-03-10,4,10
15588942,57,2026-03-10,7,14
14035804,57,2026-03-14,6,6
14035803,57,2026-03-14,9,7
14035805,57,2026-03-14,8,12
14035806,57,2026-03-14,7,9
14035802,57,2026-03-14,7,18
14035808,57,2026-03-21,13,10
14035811,57,2026-03-21,15,5
14035810,57,2026-03-21,9,8
14035809,57,2026-03-21,14,10
15588903,57,2026-03-17,9,4
14035807,57,2026-03-21,13,11
14035814,57,2026-03-28,10,10
14035816,57,2026-03-28,8,10
15588927,57,2026-03-24,16,7
14035815,57,2026-03-28,7,12
14035819,57,2026-04-04,7,15
14035818,57,2026-04-04,12,6
14035813,57,2026-03-28,12,9
14035812,57,2026-03-28,10,9
14035827,57,2026-04-04,11,9
14035820,57,2026-04-04,14,10
14035817,57,2026-04-04,15,5
12477128,56,2024-08-03,9,8
12477134,56,2024-08-03,10,14
12477131,56,2024-08-03,9,8
12477135,56,2024-08-03,9,6
12477132,56,2024-08-03,11,7
12476800,56,2024-08-10,5,5
12476794,56,2024-08-10,10,13
12476797,56,2024-08-10,11,13
12476799,56,2024-08-10,11,2
12476798,56,2024-08-10,9,11
12476793,56,2024-08-17,17,2
12476795,56,2024-08-17,12,12
12476796,56,2024-08-17,10,15
12476792,56,2024-08-17,9,7
12476790,56,2024-08-17,12,10
12476788,56,2024-08-24,6,6
12476786,56,2024-08-24,8,5
12476787,56,2024-08-24,12,7
12476791,56,2024-08-24,15,10
12476789,56,2024-08-24,6,10
12476782,56,2024-08-31,9,3
12476785,56,2024-08-31,7,7
12476784,56,2024-08-31,14,7
12476781,56,2024-08-31,9,3
12476779,56,2024-08-31,11,13
12476780,56,2024-09-14,6,10
12476778,56,2024-09-14,9,13
12476776,56,2024-09-14,10,10
12476777,56,2024-09-14,11,6
12476783,56,2024-09-14,16,10
12476772,56,2024-09-21,6,5
12476774,56,2024-09-21,4,14
12476771,56,2024-09-21,11,1
12476773,56,2024-09-21,8,3
12476770,56,2024-09-28,8,6
12476775,56,2024-09-21,8,8
12476767,56,2024-09-28,12,16
12476761,56,2024-10-05,4,11
12476766,56,2024-09-28,7,11
12476769,56,2024-09-28,7,3
12476768,56,2024-09-28,9,8
12476765,56,2024-10-05,1,8
12476764,56,2024-10-05,7,11
12476762,56,2024-10-05,10,4
12476760,56,2024-10-19,9,5
12476759,56,2024-10-05,7,20
12476763,56,2024-10-19,4,11
12476758,56,2024-10-19,7,2
12476750,56,2024-10-26,9,12
12476757,56,2024-10-19,2,7
12476756,56,2024-10-19,17,12
12476753,56,2024-10-26,10,10
12476755,56,2024-10-26,5,10
12476752,56,2024-10-26,6,12
12476751,56,2024-10-26,14,6
12476749,56,2024-11-02,10,5
12476748,56,2024-11-02,11,9
12476739,56,2024-11-02,9,8
12476741,56,2024-11-02,0,0
12476754,56,2024-11-02,10,9
12476746,56,2024-11-09,15,23
12476747,56,2024-11-09,15,9
12476742,56,2024-11-09,5,12
12476737,56,2024-11-16,16,4
12476745,56,2024-11-09,10,13
12476735,56,2024-11-16,10,5
12476743,56,2024-11-09,9,11
12476744,56,2024-11-16,7,10
12476738,56,2024-11-16,12,6
12476740,56,2024-11-16,9,7
13179032,56,2024-12-03,9,13
13171689,56,2024-12-03,6,9
12476727,56,2024-12-07,3,19
