match_id,tournament_id,match_date,is_home_team,players_with_value,proposed_value_sum,currency
8824111,55,2021-01-26,False,0,,
8824129,55,2021-01-02,True,0,,
8824129,55,2021-01-02,False,0,,
8824130,55,2021-01-02,True,0,,
8824130,55,2021-01-02,False,0,,
8824138,55,2021-01-02,True,0,,
8824138,55,2021-01-02,False,0,,
8824178,56,2021-01-02,True,15,920000,EUR
8824178,56,2021-01-02,False,11,1093000,EUR
8824191,57,2021-01-02,True,13,825000,EUR
8824191,57,2021-01-02,False,10,908000,EUR
8824192,56,2021-01-02,True,10,618000,EUR
8824192,56,2021-01-02,False,17,1971000,EUR
8824212,56,2021-01-02,True,13,2458000,EUR
8824212,56,2021-01-02,False,9,2087000,EUR
8824214,55,2021-02-06,True,0,,
8824214,55,2021-02-06,False,0,,
8824215,55,2021-01-23,True,0,,
8824215,55,2021-01-23,False,0,,
8824216,55,2021-01-23,True,0,,
8824216,55,2021-01-23,False,0,,
8824218,55,2021-01-23,True,0,,
8824218,55,2021-01-23,False,0,,
8824220,55,2021-01-22,True,0,,
8824220,55,2021-01-22,False,0,,
8824221,55,2021-02-05,True,0,,
8824221,55,2021-02-05,False,0,,
8824222,55,2021-02-06,True,0,,
8824222,55,2021-02-06,False,0,,
8824223,55,2021-02-20,True,0,,
8824223,55,2021-02-20,False,0,,
8824224,55,2021-02-20,True,0,,
8824224,55,2021-02-20,False,0,,
8824226,55,2021-02-27,True,0,,
8824226,55,2021-02-27,False,0,,
8824227,55,2021-02-20,True,0,,
8824227,55,2021-02-20,False,0,,
8824228,55,2021-02-26,True,0,,
8824228,55,2021-02-26,False,0,,
8824229,55,2021-02-20,True,0,,
8824229,55,2021-02-20,False,0,,
8824230,55,2021-02-27,True,0,,
8824230,55,2021-02-27,False,0,,
8824231,55,2021-02-27,True,0,,
8824231,55,2021-02-27,False,0,,
8824233,55,2021-02-12,True,0,,
8824233,55,2021-02-12,False,0,,
8824235,55,2021-02-27,True,0,,
8824235,55,2021-02-27,False,0,,
8824236,55,2021-02-13,True,0,,
8824236,55,2021-02-13,False,0,,
8824240,55,2021-02-06,True,0,,
