match_id,julia_proxy_xg_home,julia_proxy_xg_away,julia_proxy_xg_available_home,julia_proxy_xg_available_away
9574311,,,0,0
9574322,,,0,0
9573837,,,0,0
9574045,,,0,0
9574061,,,0,0
9574069,,,0,0
9574075,,,0,0
9574081,,,0,0
9574113,,,0,0
9574124,,,0,0
9574134,,,0,0
9574174,,,0,0
9574186,,,0,0
9574209,,,0,0
9574227,,,0,0
9574228,,,0,0
9574159,,,0,0
9574213,,,0,0
9573858,,,0,0
9574166,,,0,0
9574191,,,0,0
9574315,,,0,0
9574318,,,0,0
9573842,,,0,0
9574114,,,0,0
9574185,,,0,0
9574199,,,0,0
9574281,,,0,0
9574291,,,0,0
9573846,,,0,0
9573856,,,0,0
9573882,,,0,0
9573888,,,0,0
9573891,,,0,0
9574058,,,0,0
9574067,,,0,0
9574072,,,0,0
9574087,,,0,0
9574098,,,0,0
9574120,,,0,0
9574131,,,0,0
9574132,,,0,0
9574158,,,0,0
9574165,,,0,0
9574198,,,0,0
9574327,,,0,0
9574249,,,0,0
9574038,,,0,0
9573857,,,0,0
9573859,,,0,0
9573865,,,0,0
9573883,,,0,0
9574056,,,0,0
9574063,,,0,0
9574071,,,0,0
9574074,,,0,0
9574090,,,0,0
9574093,,,0,0
9574106,,,0,0
9574122,,,0,0
9574162,,,0,0
9574175,,,0,0
9574283,,,0,0
9574296,,,0,0
9574301,,,0,0
9573850,,,0,0
9574086,,,0,0
9917723,,,0,0
9574172,,,0,0
9573863,,,0,0
9573867,,,0,0
9573878,,,0,0
9574055,,,0,0
9574060,,,0,0
9574082,,,0,0
9574085,,,0,0
9574104,,,0,0
9574116,,,0,0
9574117,,,0,0
9574205,,,0,0
9574216,,,0,0
9574258,,,0,0
9574278,,,0,0
9574332,,,0,0
9573841,,,0,0
9573870,,,0,0
9573902,,,0,0
9574054,,,0,0
9574059,,,0,0
9574088,,,0,0
9574101,,,0,0
9574119,,,0,0
9574129,,,0,0
9574130,,,0,0
9574137,,,0,0
9574143,,,0,0
9574151,,,0,0
9574178,,,0,0
9574187,,,0,0
9574188,,,0,0
9574204,,,0,0
9925018,,,0,0
9935158,,,0,0
9574089,,,0,0
9574092,,,0,0
9574096,,,0,0
9574230,,,0,0
9574091,,,0,0
9574153,,,0,0
9574218,,,0,0
9574068,,,0,0
9574179,,,0,0
9574237,,,0,0
9574347,,,0,0
9574207,,,0,0
9573871,,,0,0
9574235,,,0,0
9573840,,,0,0
9573875,,,0,0
9573881,,,0,0
9573887,,,0,0
9573896,,,0,0
9574065,,,0,0
9574073,,,0,0
9574234,,,0,0
9574297,,,0,0
9574390,,,0,0
9574419,,,0,0
9574421,,,0,0
9574495,,,0,0
9574503,,,0,0
9574084,,,0,0
9574095,,,0,0
9574260,,,0,0
9935157,,,0,0
9573931,,,0,0
9573929,,,0,0
9573933,,,0,0
9573936,,,0,0
9574279,,,0,0
9574330,,,0,0
9574336,,,0,0
9574372,,,0,0
9574387,,,0,0
9574396,,,0,0
9574411,,,0,0
9574413,,,0,0
9574437,,,0,0
9574456,,,0,0
9574476,,,0,0
9574523,,,0,0
9574528,,,0,0
9574547,,,0,0
9574300,,,0,0
9574386,,,0,0
9574099,,,0,0
9573895,,,0,0
9574066,,,0,0
9574321,,,0,0
9573915,,,0,0
9573928,,,0,0
9573935,,,0,0
9574233,,,0,0
9574266,,,0,0
9574275,,,0,0
9574334,,,0,0
9574345,,,0,0
9574367,,,0,0
9574378,,,0,0
9574407,,,0,0
9574459,,,0,0
9574504,,,0,0
9574505,,,0,0
9574518,,,0,0
9574501,,,0,0
9574293,,,0,0
9574445,,,0,0
9574485,,,0,0
9574512,,,0,0
10013647,,,0,0
9573765,,,0,0
9573768,,,0,0
9573910,,,0,0
9574232,,,0,0
9574243,,,0,0
9574251,,,0,0
9574284,,,0,0
9574313,,,0,0
9574343,,,0,0
9574379,,,0,0
9574460,,,0,0
9574484,,,0,0
9574494,,,0,0
9574496,,,0,0
9574524,,,0,0
9574488,,,0,0
10040295,,,0,0
9573914,,,0,0
9573924,,,0,0
9573939,,,0,0
9574263,,,0,0
9574331,,,0,0
9574359,,,0,0
9574467,,,0,0
9574502,,,0,0
9574520,,,0,0
9574451,,,0,0
9574223,,,0,0
9574264,,,0,0
9574267,,,0,0
9574363,,,0,0
9574370,,,0,0
9574381,,,0,0
9574395,,,0,0
9574431,,,0,0
9574448,,,0,0
9574450,,,0,0
9574462,,,0,0
9574498,,,0,0
9574531,,,0,0
9573916,,,0,0
9573926,,,0,0
9574215,,,0,0
9574224,,,0,0
9574273,,,0,0
9574338,,,0,0
9574371,,,0,0
9574391,,,0,0
9574417,,,0,0
9574429,,,0,0
9574472,,,0,0
9574491,,,0,0
9574493,,,0,0
9574513,,,0,0
9574536,,,0,0
10035829,,,0,0
10035825,,,0,0
10035826,,,0,0
10035827,,,0,0
10035828,,,0,0
10041722,,,0,0
9574222,,,0,0
10032442,,,0,0
10065081,,,0,0
10073442,,,0,0
9573905,,,0,0
10015057,,,0,0
10061932,,,0,0
9573907,,,0,0
9573940,,,0,0
9574276,,,0,0
9574449,,,0,0
9574474,,,0,0
9574329,,,0,0
9573758,,,0,0
9573764,,,0,0
9574244,,,0,0
9574247,,,0,0
9574310,,,0,0
9574316,,,0,0
9574342,,,0,0
9574375,,,0,0
9574400,,,0,0
9574412,,,0,0
9574443,,,0,0
9574457,,,0,0
9574458,,,0,0
9574471,,,0,0
9574482,,,0,0
9574542,,,0,0
10104723,,,0,0
10035833,,,0,0
10035834,,,0,0
10035835,,,0,0
10035837,,,0,0
10054069,,,0,0
10091969,,,0,0
10091970,,,0,0
10035836,,,0,0
9574256,,,0,0
9573767,,,0,0
9573917,,,0,0
9573927,,,0,0
9573938,,,0,0
9574226,,,0,0
9574250,,,0,0
9574314,,,0,0
9574368,,,0,0
9574393,,,0,0
9574426,,,0,0
9574430,,,0,0
9574435,,,0,0
9574438,,,0,0
9574446,,,0,0
9574477,,,0,0
9574479,,,0,0
9574414,,,0,0
9574464,,,0,0
10105529,,,0,0
10107290,,,0,0
9573921,,,0,0
9574257,,,0,0
9574309,,,0,0
9574324,,,0,0
9574410,,,0,0
9574415,,,0,0
9574489,,,0,0
10105544,,,0,0
10105545,,,0,0
9574236,,,0,0
9573962,,,0,0
9574382,,,0,0
9574442,,,0,0
9574519,,,0,0
9574529,,,0,0
10116309,,,0,0
10116325,,,0,0
10087879,,,0,0
10116338,,,0,0
10116344,,,0,0
10121599,,,0,0
9573909,,,0,0
9574225,,,0,0
9574286,,,0,0
9574298,,,0,0
9574299,,,0,0
9574360,,,0,0
9574389,,,0,0
9574424,,,0,0
9574427,,,0,0
9574436,,,0,0
9574440,,,0,0
9574466,,,0,0
9574511,,,0,0
9574522,,,0,0
9574530,,,0,0
9574533,,,0,0
9574534,,,0,0
9574344,,,0,0
9574452,,,0,0
10115643,,,0,0
10116334,,,0,0
10116337,,,0,0
9574403,,,0,0
9574480,,,0,0
9573937,,,0,0
9574221,,,0,0
9574261,,,0,0
9574280,,,0,0
9574295,,,0,0
9574304,,,0,0
9574320,,,0,0
9574374,,,0,0
9574388,,,0,0
9574404,,,0,0
9574439,,,0,0
9574490,,,0,0
9574500,,,0,0
9574516,,,0,0
9574525,,,0,0
9574532,,,0,0
9574545,,,0,0
9573763,,,0,0
9573930,,,0,0
10116333,,,0,0
10121601,,,0,0
9573934,,,0,0
9574248,,,0,0
9574420,,,0,0
9574425,,,0,0
9574453,,,0,0
9574465,,,0,0
10115645,,,0,0
10115646,,,0,0
9574473,,,0,0
9573754,,,0,0
9573755,,,0,0
9573762,,,0,0
9573912,,,0,0
9573942,,,0,0
9574242,,,0,0
9574290,,,0,0
9574341,,,0,0
9574373,,,0,0
9574401,,,0,0
9574408,,,0,0
9574422,,,0,0
9574454,,,0,0
9574455,,,0,0
9574468,,,0,0
9574487,,,0,0
9574506,,,0,0
9574541,,,0,0
9574543,,,0,0
9573752,,,0,0
9574328,,,0,0
10160953,,,0,0
10160956,,,0,0
10160954,,,0,0
9574362,,,0,0
9573913,,,0,0
9573922,,,0,0
9573944,,,0,0
9574268,,,0,0
9574289,,,0,0
9574294,,,0,0
9574306,,,0,0
9574317,,,0,0
9574377,,,0,0
9574385,,,0,0
9574392,,,0,0
9574405,,,0,0
9574463,,,0,0
9574499,,,0,0
10160957,,,0,0
10121600,,,0,0
9573919,,,0,0
9574538,,,0,0
9573751,,,0,0
9573759,,,0,0
9573760,,,0,0
9573766,,,0,0
9573906,,,0,0
9573908,,,0,0
9573925,,,0,0
9574246,,,0,0
9574337,,,0,0
9574365,,,0,0
9574369,,,0,0
9574380,,,0,0
9574383,,,0,0
9574406,,,0,0
9574428,,,0,0
9574432,,,0,0
9574434,,,0,0
9574521,,,0,0
9573753,,,0,0
10160952,,,0,0
10160959,,,0,0
9573911,,,0,0
9573941,,,0,0
9573943,,,0,0
9574240,,,0,0
9574285,,,0,0
9574287,,,0,0
9574288,,,0,0
9574307,,,0,0
9574325,,,0,0
9574416,,,0,0
9574444,,,0,0
9574447,,,0,0
9574481,,,0,0
9574517,,,0,0
9574544,,,0,0
9573803,,,0,0
9573960,,,0,0
9573963,,,0,0
9573804,,,0,0
9573805,,,0,0
9573814,,,0,0
9573946,,,0,0
9573967,,,0,0
9573990,,,0,0
9573991,,,0,0
9573997,,,0,0
9574006,,,0,0
9574010,,,0,0
9574013,,,0,0
9574015,,,0,0
9574018,,,0,0
9574024,,,0,0
9573976,,,0,0
9574265,,,0,0
9574020,,,0,0
9573994,,,0,0
9573807,,,0,0
9573948,,,0,0
9573950,,,0,0
9573959,,,0,0
9573968,,,0,0
9573973,,,0,0
9573974,,,0,0
9573979,,,0,0
9573980,,,0,0
9573981,,,0,0
9573984,,,0,0
9573996,,,0,0
9574000,,,0,0
9574001,,,0,0
9574004,,,0,0
9574007,,,0,0
9574014,,,0,0
9574017,,,0,0
9574546,,,0,0
9573806,,,0,0
9573810,,,0,0
9573951,,,0,0
9573955,,,0,0
9573957,,,0,0
9573964,,,0,0
9573965,,,0,0
9573972,,,0,0
9573977,,,0,0
9573982,,,0,0
9573985,,,0,0
9573988,,,0,0
9573998,,,0,0
9573999,,,0,0
9574002,,,0,0
9574003,,,0,0
9573993,,,0,0
9573966,,,0,0
9573970,,,0,0
9573808,,,0,0
9573811,,,0,0
9573949,,,0,0
9573952,,,0,0
9573958,,,0,0
9573961,,,0,0
9573971,,,0,0
9573975,,,0,0
9573983,,,0,0
9573987,,,0,0
9573995,,,0,0
9574022,,,0,0
9574027,,,0,0
9573802,,,0,0
9573809,,,0,0
9573978,,,0,0
9573986,,,0,0
9573989,,,0,0
9573947,,,0,0
9573953,,,0,0
9573956,,,0,0
9573969,,,0,0
9573992,,,0,0
9574008,,,0,0
9574019,,,0,0
9574025,,,0,0
9574537,,,0,0
9574551,,,0,0
10387373,,,0,0
10387374,,,0,0
10387375,,,0,0
10387376,,,0,0
10387724,,,0,0
10387725,,,0,0
10387761,,,0,0
10387769,,,0,0
10387785,,,0,0
10387816,,,0,0
10387835,,,0,0
10387836,,,0,0
10387841,,,0,0
10387974,,,0,0
10387977,,,0,0
10388044,,,0,0
10388048,,,0,0
10388051,,,0,0
10388063,,,0,0
10387371,,,0,0
10387372,,,0,0
10387749,,,0,0
10387402,,,0,0
10387403,,,0,0
10387406,,,0,0
10387418,,,0,0
10387728,,,0,0
10387739,,,0,0
10387746,,,0,0
10387748,,,0,0
10387827,,,0,0
10387830,,,0,0
10387831,,,0,0
10387837,,,0,0
10387882,,,0,0
10387979,,,0,0
10387984,,,0,0
10388058,,,0,0
10388069,,,0,0
10388070,,,0,0
10387396,,,0,0
