match_id,tournament_id,season,match_date,home_team,away_team,home_goals,away_goals,bbc_shot_events_raw,bbc_shot_events_unresolved_side,bbc_shot_events_home_resolved,bbc_shot_events_away_resolved,bbc_parsed_home_resolved,bbc_parsed_away_resolved,proxy_xg_home,proxy_xg_away,proxy_xg_available_home,proxy_xg_available_away,proxy_xg_available_both,proxy_minus_goals_home,proxy_minus_goals_away
8736246,54,20/21,2021-02-10,kilmarnock,motherwell,0,1,0,0,0,0,0,0,,,0,0,0,,
8736252,54,20/21,2021-02-10,st-mirren,celtic,0,4,0,0,0,0,0,0,,,0,0,0,,
8824233,55,20/21,2021-02-12,queen-of-the-south,heart-of-midlothian,1,1,0,0,0,0,0,0,,,0,0,0,,
8736256,54,20/21,2021-02-13,rangers,kilmarnock,1,0,0,0,0,0,0,0,,,0,0,0,,
8736267,54,20/21,2021-02-13,motherwell,hamilton-academical,1,4,0,0,0,0,0,0,,,0,0,0,,
8736273,54,20/21,2021-02-13,dundee-united,livingston,3,0,0,0,0,0,0,0,,,0,0,0,,
8736314,54,20/21,2021-02-13,aberdeen,st-mirren,0,0,0,0,0,0,0,0,,,0,0,0,,
8824236,55,20/21,2021-02-13,alloa-athletic,arbroath,1,1,0,0,0,0,0,0,,,0,0,0,,
8736287,54,20/21,2021-02-14,st-johnstone,celtic,1,2,0,0,0,0,0,0,,,0,0,0,,
9264416,54,20/21,2021-02-17,celtic,aberdeen,1,0,0,0,0,0,0,0,,,0,0,0,,
9322202,55,20/21,2021-02-17,inverness-caledonian-thistle,queen-of-the-south,0,1,0,0,0,0,0,0,,,0,0,0,,
9336617,54,20/21,2021-02-17,st-mirren,hamilton-academical,1,1,0,0,0,0,0,0,,,0,0,0,,
8736243,54,20/21,2021-02-20,motherwell,st-johnstone,0,3,0,0,0,0,0,0,,,0,0,0,,
8736245,54,20/21,2021-02-20,hibernian,hamilton-academical,2,0,0,0,0,0,0,0,,,0,0,0,,
8736279,54,20/21,2021-02-20,aberdeen,kilmarnock,1,0,0,0,0,0,0,0,,,0,0,0,,
8736343,54,20/21,2021-02-20,st-mirren,livingston,1,1,0,0,0,0,0,0,,,0,0,0,,
8824223,55,20/21,2021-02-20,ayr-united,inverness-caledonian-thistle,0,2,0,0,0,0,0,0,,,0,0,0,,
8824224,55,20/21,2021-02-20,heart-of-midlothian,greenock-morton,1,1,0,0,0,0,0,0,,,0,0,0,,
8824227,55,20/21,2021-02-20,dunfermline-athletic,alloa-athletic,2,1,0,0,0,0,0,0,,,0,0,0,,
8824229,55,20/21,2021-02-20,dundee-fc,queen-of-the-south,2,3,0,0,0,0,0,0,,,0,0,0,,
8824354,55,20/21,2021-02-20,arbroath,raith-rovers,1,0,0,0,0,0,0,0,,,0,0,0,,
8736239,54,20/21,2021-02-21,ross-county,celtic,1,0,0,0,0,0,0,0,,,0,0,0,,
8736244,54,20/21,2021-02-21,rangers,dundee-united,4,1,0,0,0,0,0,0,,,0,0,0,,
9349490,55,20/21,2021-02-23,inverness-caledonian-thistle,alloa-athletic,2,2,0,0,0,0,0,0,,,0,0,0,,
9325883,54,20/21,2021-02-24,st-mirren,motherwell,0,0,0,0,0,0,0,0,,,0,0,0,,
8824228,55,20/21,2021-02-26,inverness-caledonian-thistle,heart-of-midlothian,1,1,0,0,0,0,0,0,,,0,0,0,,
8736268,54,20/21,2021-02-27,celtic,aberdeen,1,0,0,0,0,0,0,0,,,0,0,0,,
