match_id,tournament_id,match_date,snapshot_unix_ms,minutes_to_kickoff,odds_home,odds_draw,odds_away,fair_p_home,fair_p_draw,fair_p_away,overround
10388150,57,2023-02-25,1677334379159,-47.01401666666667,3.7,3.7,2.18,0.2704714640198511,0.2704714640198511,0.45905707196029777,-0.0007438631291842857
11027687,57,2023-02-28,1677613239251,-4.345816666666667,2.72,3.7,2.78,0.36852061508476763,0.27091245217042376,0.36056693274480867,-0.0023704406903730657
11075238,57,2023-02-28,1677613299503,-3.3416166666666665,3.05,3.4,2.7,0.330394097534641,0.29638294043548674,0.3732229620298722,-0.007643130111789631
10388065,57,2023-03-04,1677938828287,-52.86188333333333,3.25,3.45,2.44,0.3054371292247964,0.28773062897988066,0.406832241795323,0.007383445729846283
10388042,57,2023-03-04,1677939974092,-33.76513333333333,1.98,3.85,4.1,0.5006978367062108,0.2575017445917655,0.24180041870202376,0.008693203815155037
10388061,57,2023-03-04,1677941513734,-8.104433333333333,1.73,4.0,5.8,0.5777755640782986,0.24988793146386412,0.17233650445783733,0.0004484751843731871
10388047,57,2023-03-04,1677940631039,-22.816016666666666,2.82,3.55,2.7,0.35226019845644985,0.2798235942668137,0.36791620727673646,0.006670440293454982
10388066,57,2023-03-11,1678509030839,-629.4860166666666,1.61,4.6,6.2,0.6212424849699398,0.21743486973947898,0.16132264529058116,-0.00020036064916850727
10388049,57,2023-03-04,1677941886058,-1.8990333333333334,2.28,3.6,3.55,0.4394470806684547,0.27831648442335466,0.28223643490819067,-0.001935590149081623
10388114,57,2023-03-11,1678546770608,-0.4898666666666667,2.06,3.8,4.0,0.48611999488294744,0.26352820775233465,0.25035179736471797,-0.0014052120592744632
10388072,57,2023-03-18,1679149546047,-34.23255,2.04,3.75,4.1,0.4898212749689382,0.2664627735831024,0.24371595144795952,0.0007651841224294298
10388141,57,2023-03-18,1679065437339,-1436.04435,2.92,4.1,2.6,0.3526998411858126,0.25119110640550557,0.3961090524086818,-0.02901642293556761
10388102,57,2023-03-18,1679141915302,-161.41163333333333,2.96,3.9,2.48,0.3386934110264455,0.2570596145226356,0.4042469744509189,-0.0025260993002927945
11027763,57,2023-03-21,1679427802686,-1.6219,1.76,4.0,5.7,0.5718298555377207,0.2516051364365971,0.17656500802568217,-0.006379585326953707
10388101,57,2023-03-24,1679685725852,-37.90246666666667,2.14,4.1,3.5,0.46873979225191087,0.24465930619977788,0.2866009015483112,-0.003093555635155787
10388089,57,2023-03-25,1679755982983,-6.950283333333333,1.84,4.0,4.9,0.5448076495441405,0.25061151879030463,0.2045808316655548,-0.0024401064773735825
11132215,57,2023-03-21,1679427798593,-1.6901166666666667,2.48,3.55,3.15,0.4022699066496394,0.28102235732143827,0.31670773602892244,0.002376264757000701
10388109,57,2023-03-25,1679732908771,-391.52048333333335,1.84,4.2,4.6,0.544041450777202,0.23834196891191708,0.21761658031088085,-0.0010351966873706209
10388080,57,2023-03-25,1679755570491,-13.82515,2.26,3.95,3.25,0.441007231316237,0.25232312475308744,0.30666964393067553,0.0033347407605277546
10388105,57,2023-03-25,1679750381218,-100.31303333333334,2.2,3.5,3.85,0.45454545454545453,0.2857142857142857,0.2597402597402597,0.0
10387988,57,2023-04-01,1680357596651,-0.05581666666666667,5.6,3.9,1.77,0.17857974388824213,0.2564221963523477,0.5649980597594102,-4.656360588561892e-05
10388155,57,2023-04-01,1680357355989,-4.06685,2.76,3.5,2.8,0.36045314109165816,0.2842430484037075,0.3553038105046344,0.005175983436852993
10388091,57,2023-04-01,1680357530717,-1.1547166666666666,2.44,3.8,3.25,0.41790741743367626,0.26834055224688685,0.31375203031943694,-0.019313731997079753
11142364,57,2023-03-29,1680115209505,-4.841583333333333,2.18,3.7,3.6,0.4556338509954163,0.2684545392351371,0.27591160976944656,0.006763644378323219
10388085,57,2023-04-01,1680357584579,-0.25701666666666667,2.54,3.75,2.88,0.39073523346430195,0.2646579981331539,0.3446067684025441,0.007589676290463698
11073886,57,2023-04-04,1680633820836,-1.3194,1.39,5.5,9.6,0.7155538088332949,0.1808399625960509,0.10360622857065416,0.005409308916503264
10388151,57,2023-04-08,1680961944727,-7.587883333333333,1.77,4.0,5.1,0.5587969430520174,0.24726764730051767,0.1939354096474649,0.01105018278497849
10388097,57,2023-04-08,1680962009361,-6.51065,2.16,3.9,3.6,0.46428571428571425,0.2571428571428572,0.2785714285714286,-0.002849002849002913
10388086,57,2023-04-08,1680962189473,-3.508783333333333,2.0,3.9,4.5,0.5109170305676856,0.26200873362445415,0.22707423580786024,-0.02136752136752129
10388130,57,2023-04-08,1680957146769,-87.55385,2.28,3.65,3.55,0.441128908710232,0.2755544963998161,0.2833165948899518,-0.00574076518713329
10388145,57,2023-04-08,1680961888635,-8.52275,2.7,3.5,2.84,0.3673590065784611,0.2833912336462414,0.34924975977529754,0.008197332140994051
11175196,57,2023-04-11,1681222804399,-264.92668333333336,3.4,4.0,2.2,0.29451137884872824,0.250334672021419,0.45515394912985274,-0.0013368983957219305
10388152,57,2023-04-15,1681549516068,-294.7322,3.6,4.2,2.06,0.27741439015005775,0.23778376298576376,0.48480184686417854,0.0013099090768993182
10388092,57,2023-04-15,1681492899985,-1238.3335833333333,1.8,4.3,4.7,0.555067289206262,0.23235374897006314,0.2125789618236748,0.0008796525372478659
10388133,57,2023-04-15,1681560688828,-108.51953333333333,3.0,3.55,2.58,0.33246215833605575,0.28095393662201895,0.38658390504192525,0.0026203734032099746
10388099,57,2023-04-15,1681566994591,-3.4234833333333334,2.48,3.75,3.2,0.4104528663291832,0.2714461622656998,0.31810097140511695,-0.017607526881720403
10388041,57,2023-04-15,1681548337332,-314.3778,2.64,3.4,3.1,0.3805054151624549,0.29545126353790613,0.324043321299639,-0.004513828992007363
11207837,57,2023-04-18,1681843375790,-2.0701666666666667,3.7,3.9,2.1,0.26949654491609076,0.25567620927936824,0.47482724580454094,0.002871002871002837
10388148,57,2023-04-22,1682171997040,-0.04933333333333333,3.0,3.8,2.48,0.33342768185677896,0.26323238041324654,0.40333993772997456,-0.00028296547821171636
10388094,57,2023-04-22,1682171995618,-0.07303333333333334,2.46,3.5,3.15,0.40260736196319025,0.2829754601226994,0.31441717791411045,0.009678668215253428
10388108,57,2023-04-22,1682156146313,-264.22811666666666,3.0,3.4,2.7,0.33406113537117904,0.29475982532751094,0.37117903930131,-0.002178649237472796
10388138,57,2023-04-22,1682155171942,-280.4676333333333,2.7,3.85,2.72,0.3712027223423487,0.26032398709723154,0.36847329056041966,-0.0022423110658404966
10388078,57,2023-04-29,1682776630822,-2.8196333333333334,2.14,3.6,3.9,0.46660019940179454,0.2773678963110668,0.25603190428713857,0.0014777538142025648
10388106,57,2023-04-29,1682755553437,-354.1093833333333,2.76,3.4,2.74,0.3547276714999391,0.28795540392347996,0.35731692457658093,0.02139999128816883
10388113,57,2023-04-29,1682765272385,-192.12691666666666,2.14,4.2,3.35,0.4654778840109836,0.23717206471035832,0.29735005127865816,0.0038924204079733293
10388126,57,2023-04-29,1682776750080,-0.832,2.82,3.9,2.56,0.3540274881919918,0.2559891068465172,0.389983404961491,0.0016451854882706396
10388124,57,2023-05-06,1683381362383,-3.9602833333333334,1.8,4.1,4.5,0.5437665782493368,0.23872679045092837,0.21750663129973472,0.02168021680216814
10388112,57,2023-05-06,1683379130270,-41.162166666666664,2.56,3.6,3.05,0.3920868447364662,0.2788173118125982,0.3290958434509356,-0.0037283697632057855
10388117,57,2023-05-06,1683381545108,-0.9148666666666667,2.98,3.8,2.44,0.3327209048630649,0.2609232359189298,0.40635585921800543,0.008564430109270216
10388023,57,2023-05-06,1683381184132,-6.931133333333333,3.1,3.95,2.28,0.31801970408559627,0.2495850842190755,0.43239521169532824,0.014341693351385798
10388135,57,2023-05-06,1683381545372,-0.9104666666666666,1.94,3.75,4.8,0.5204267499349466,0.26923410529967906,0.21033914476537427,-0.00953608247422677
9574312,57,2021-07-31,1627736450360,-59.160666666666664,4.0,4.0,2.0,0.25,0.25,0.5,0.0
9574155,57,2021-07-31,1627723964924,-267.25126666666665,1.46,5.0,9.2,0.6893244620272133,0.2012827429119463,0.10939279506084039,-0.006372840976771932
9574212,57,2021-08-07,1628329253541,-259.10765,1.8,3.8,5.5,0.5552603613177471,0.2630180658873539,0.18172157279489903,0.0005316321105794941
