match_id,lambda_mkt_h,lambda_mkt_a,sse,n_targets,optim_converged,accepted,reason
12476607,1.4495364752042061,1.1558148109571287,0.0005243387197496978,7,true,true,
12476609,1.457094117432309,1.152119543384026,0.0009144995762663111,7,true,true,
12476610,1.8844097707883771,1.014782574712761,0.0003054084012459001,4,true,true,
12476611,1.0404422933867212,1.57817488335364,0.0008816853508131512,15,true,true,
12476613,1.6157752988016207,1.092423873090525,0.00047983256824248044,7,true,true,
12476614,1.682728060771355,0.882439652250336,0.001890450896259044,7,true,true,
12476615,1.4981587933699116,1.0782866058078335,0.0008297918738071196,11,true,true,
12476616,2.4933900736031536,0.7299510146359376,0.0002144631315457595,7,true,true,
12476617,1.2726897289812356,1.357944510347012,0.00030279149352177733,9,true,true,
12476619,1.416316371293783,1.2384967670260243,0.001161673706404062,9,true,true,
12476620,0.9286650087848917,1.993276124437018,0.0002824757966914016,7,true,true,
12476621,1.4580518249972299,1.3902017399808668,0.000609039155124683,9,true,true,
12476622,1.2963636842093513,1.340898936286073,0.0001925764866514255,7,true,true,
12476623,1.72613195205062,0.9640596010220815,0.0006061130699044641,5,true,true,
12476625,1.2305184313670947,1.5426217830580964,0.0011512233302139242,7,true,true,
12476626,1.5884047894637174,1.1478024085222405,0.0015619894752787837,7,true,true,
12476627,2.182334517641176,0.8583763671664018,6.762243830821857e-5,7,true,true,
12476629,1.471951485818443,0.8227411960103875,3.4210625819253137e-10,3,true,true,
12476631,0.833747791847399,1.9126417860572758,3.817170447489453e-5,9,true,true,
12476632,2.5335446127713963,0.6722801257339108,0.00020605380136097857,11,true,true,
12476633,1.7016408577286306,1.2206638411196902,0.000386774205410726,5,true,true,
12476634,1.735627662088009,0.9176745040300982,0.0005344565467845441,7,true,true,
12476635,1.4592330186118925,1.0162995196647466,0.0005687036381563246,7,true,true,
12476636,1.7526851554455403,1.0603808503836314,0.0001370697510373007,7,true,true,
12476637,1.108499136621902,1.3401455631263053,0.0009190933056437004,9,true,true,
12476638,1.7479278894252601,1.2367020358120895,0.0008582466555574837,15,true,true,
12476639,1.0696809190437035,1.6741913775819617,0.0005369503695786066,9,true,true,
12476640,1.7644826853178308,1.2569572797743298,0.0009955157009657746,9,true,true,
12476641,1.2338485448565262,1.4782635804776743,0.006868183722982049,15,true,false,residual SSE 6.868e-03 exceeds 5.000e-03
