environment,variant,model,likelihood,pair,bet_set,owner,n_bets,n_wins,win_rate_pct,cap_weighted_win_rate_pct,roi_pct,stake_sum,pnl_sum,stake_mean,odds_mean,edge_mean_pp,edge_win_pp,edge_loss_pp,capture_ratio
close,close_std,m05_wealth_grw_negbin,Joint Gamma-NegBin,m05_wealth_grw_negbin cal[close_std] vs raw vs raw,exclusive,m05_wealth_grw_negbin cal[close_std] vs raw,5,2,40.0,55.872693002668264,36.29050648327954,0.002890598881653756,0.0010490129745521623,0.0005781197763307512,2.5352614910623323,-2.113249374529611,-2.9247386841533274,-1.5722565014471335,NaN
close,close_std,m05_wealth_grw_negbin,Joint Gamma-NegBin,m05_wealth_grw_negbin cal[close_std] vs raw vs raw,exclusive,raw,13,4,30.76923076923077,42.072610751080774,-15.93010375300659,0.008093964987894199,-0.001289377020303573,0.0006226126913764768,2.9140895247052465,-0.2082696319463692,0.8517102442708702,-0.6793717991540311,NaN
close,close_std_t007,m05_wealth_grw_negbin,Joint Gamma-NegBin,m05_wealth_grw_negbin cal[close_std_t007] vs raw vs raw,shared,m05_wealth_grw_negbin cal[close_std_t007] vs raw,1222,428,35.02454991816694,37.00852635605699,10.96142148714884,15.734164961694422,1.7246881389346163,0.012875748741157465,3.5499669327312295,3.8140758536719312,3.9070402770799193,3.763964048610698,1.0380121134584246
close,close_std_t007,m05_wealth_grw_negbin,Joint Gamma-NegBin,m05_wealth_grw_negbin cal[close_std_t007] vs raw vs raw,shared,raw,1222,428,35.02454991816694,37.00780961743855,11.67268858661723,16.72527697932528,1.952289497045821,0.013686806038727725,3.5499669327312295,4.256546240378488,4.354883079521465,4.2035384731830305,1.0360040968588617
close,close_std_t007,m05_wealth_grw_negbin,Joint Gamma-NegBin,m05_wealth_grw_negbin cal[close_std_t007] vs raw vs raw,exclusive,m05_wealth_grw_negbin cal[close_std_t007] vs raw,6,2,33.33333333333333,37.82492358323953,-7.760730269261193,0.003985220066998908,-0.00030928218003625546,0.000664203344499818,2.538081172022934,-1.3819127341160002,-2.9668742125379897,-0.5894319949050055,NaN
close,close_std_t007,m05_wealth_grw_negbin,Joint Gamma-NegBin,m05_wealth_grw_negbin cal[close_std_t007] vs raw vs raw,exclusive,raw,13,3,23.076923076923077,26.536161199744623,-43.26168109521928,0.0101434448536867,-0.004388224764671372,0.0007802649887451307,3.010391727193026,0.40423191549170634,0.26805691815458743,0.44508441469284205,0.6022608505390525
close,close_std,m10_lineup_grw_negbin,NegBin,m10_lineup_grw_negbin cal[close_std] vs raw vs raw,shared,m10_lineup_grw_negbin cal[close_std] vs raw,1287,445,34.57653457653458,34.08814246911454,10.866779734563504,17.850090475027137,1.9397300143414995,0.013869534168630255,3.6053376317327435,4.524384514840813,4.3121532413916634,4.636549499027124,0.9300349844850081
close,close_std,m10_lineup_grw_negbin,NegBin,m10_lineup_grw_negbin cal[close_std] vs raw vs raw,shared,raw,1287,445,34.57653457653458,34.006917916268584,11.028320389783044,18.289997372189255,2.017079509487931,0.01421134216953322,3.6053376317327435,4.938429594164833,4.6897007229602075,5.069883688803859,0.9250115014111205
close,close_std,m10_lineup_grw_negbin,NegBin,m10_lineup_grw_negbin cal[close_std] vs raw vs raw,exclusive,m10_lineup_grw_negbin cal[close_std] vs raw,4,2,50.0,39.409879249252775,-4.459760913406935,0.0029975977449846632,-0.0001336856925719937,0.0007493994362461658,2.305924345698148,-1.805182027428767,-1.0135132383195051,-2.5968508165380295,NaN
close,close_std,m10_lineup_grw_negbin,NegBin,m10_lineup_grw_negbin cal[close_std] vs raw vs raw,exclusive,raw,14,6,42.857142857142854,39.28219290549737,-7.79845941444637,0.005878203570948526,-0.000458409319778958,0.0004198716836391804,3.2563297749590623,-1.3347493403095687,-0.369119889375652,-2.0589714285100063,NaN
