environment,variant,model,likelihood,selection_family,n_bets,win_rate_pct,roi_pct,stake_sum,pnl_sum,edge_mean_pp,p_model_mean,p_market_mean,capture_ratio
close,close_std,m05_wealth_grw_negbin,Joint Gamma-NegBin,O/U 1.5_over_15,43,72.09302325581395,-0.329558735191906,0.49007513413631487,-0.0016150854135496759,3.0476560588409716,0.7884770795711488,0.7580005189827392,1.541227164170947
close,close_std,m05_wealth_grw_negbin,Joint Gamma-NegBin,O/U 2.5_under_25,209,47.84688995215311,8.301404568870321,3.252774632379491,0.2700259819474059,4.848843267624401,0.5117437948125992,0.46325536213635515,1.1866811316885044
close,close_std_t007,m05_wealth_grw_negbin,Joint Gamma-NegBin,1X2_away,423,27.423167848699766,7.443728070000243,5.431633401245682,0.40431602014803375,4.884914792140436,0.3226825376696923,0.27383338974828814,0.8833077823758018
close,close_std_t007,m05_wealth_grw_negbin,Joint Gamma-NegBin,1X2_draw,236,25.0,3.585438569778348,1.284219026867351,0.04604488430973417,0.4447302781617977,0.24541755474426047,0.2409702519626426,0.9476865970014666
close,close_std_t007,m05_wealth_grw_negbin,Joint Gamma-NegBin,1X2_home,316,38.924050632911396,19.404960158817943,5.353332602013574,1.038812058589746,4.413314767209083,0.3915869772209445,0.3474538295488536,0.927319804998032
close,close_std_t007,m05_wealth_grw_negbin,Joint Gamma-NegBin,O/U 1.5_over_15,44,72.72727272727273,-0.5824193706147452,0.48482720396754814,-0.002823727549916861,2.9347497272173615,0.7853815530422338,0.7560340557700602,1.5416404342332988
close,close_std_t007,m05_wealth_grw_negbin,Joint Gamma-NegBin,O/U 2.5_under_25,209,47.84688995215311,7.475480810477014,3.184137947667268,0.23802962125698324,4.5813275580152215,0.5092293193185825,0.46341604373842993,1.2018161682540351
close,raw,m10_lineup_grw_negbin,NegBin,1X2_away,390,26.410256410256412,14.040386118277915,5.740390408657817,0.8059729780721491,6.864332643001481,0.3290315701831936,0.2603882437531789,0.886529170310347
close,raw,m10_lineup_grw_negbin,NegBin,1X2_draw,315,25.71428571428571,5.297394939991173,2.0492634857688588,0.10855758020220625,0.46032716878300994,0.25129784122800874,0.24669456954017893,1.6123501937890308
close,raw,m10_lineup_grw_negbin,NegBin,1X2_home,330,39.696969696969695,12.337230190005302,7.001999539077534,0.8638528010391056,6.790038069956483,0.40816764052449234,0.3402672598249273,0.7445053275177367
close,raw,m10_lineup_grw_negbin,NegBin,O/U 1.5_over_15,27,66.66666666666666,-2.288262823250078,0.2871447318306617,-0.006570626147402165,2.928261419560212,0.7839441786641882,0.754661564468586,1.9796089378795945
close,raw,m10_lineup_grw_negbin,NegBin,O/U 2.5_under_25,239,49.37238493723849,7.609651114044087,3.2170774104253286,0.2448083670020917,5.00085350031304,0.5073717865407424,0.4573632515376123,0.9880080552575071
close,close_std,m10_lineup_grw_negbin,NegBin,1X2_away,390,26.410256410256412,12.395663368564472,5.6125846187324475,0.6957170956139019,6.27536328600911,0.32314187661326976,0.2603882437531789,0.8909241000705599
close,close_std,m10_lineup_grw_negbin,NegBin,1X2_draw,304,25.32894736842105,6.7908055548291735,1.9367288502954887,0.13151949034784524,0.4945524960192209,0.2507940963356419,0.2458485713754497,1.4480277519203981
close,close_std,m10_lineup_grw_negbin,NegBin,1X2_home,333,39.63963963963964,12.793775914651004,6.8377490023206615,0.8748062849631901,6.146379646020893,0.40247262449060234,0.34100882803039334,0.7579638690691884
close,close_std,m10_lineup_grw_negbin,NegBin,O/U 1.5_over_15,25,64.0,-4.9160455189944,0.27081681629803733,-0.01331347796230296,2.671427714228774,0.7789128527532736,0.7521985756109859,1.998407894174211
close,close_std,m10_lineup_grw_negbin,NegBin,O/U 2.5_under_25,239,49.7907949790795,7.851347206296639,3.1952087851254807,0.2508669356862942,4.620905385675058,0.5037663245937267,0.4575572707369766,0.9721415851216091
close,close_std_t007,m10_lineup_grw_negbin,NegBin,1X2_away,390,26.410256410256412,10.956913026399162,5.570457457969712,0.610350178842307,5.974632174631947,0.320134565499498,0.2603882437531789,0.9078450500006104
close,close_std_t007,m10_lineup_grw_negbin,NegBin,1X2_draw,305,25.901639344262296,5.137144182672419,1.8710478659349352,0.09611842659989296,0.3732021588587921,0.24970067200128762,0.2459686504126996,1.099860689239998
close,close_std_t007,m10_lineup_grw_negbin,NegBin,1X2_home,333,39.63963963963964,13.89765459943571,6.784451311609165,0.9428796097543274,5.863713788584084,0.3996459659162344,0.34100882803039334,0.7789271984844156
close,close_std_t007,m10_lineup_grw_negbin,NegBin,O/U 1.5_over_15,26,65.38461538461539,-6.152926291931131,0.26561795634308877,-0.01634327707192406,2.3141072198015937,0.7729341323014176,0.7497930601034016,1.6416372928164615
