environment,variant,calibrator,law,role,model,likelihood,n_panel,n_slates,n_bets,total_return_pct,cagr_pct,growth_per_slate,growth_lo,growth_hi,roi_pct,p_roi_positive,sharpe_ann,calmar,max_drawdown_pct,win_rate_pct,mean_edge_pp,mean_exposure,capture_ratio,cap_weighted_win_rate_pct,run_id
close,close_std_t007,scot_lower_close_std_t007,std_w0.30_s0.40,ladder,m00_baseline_grw_negbin,NegBin,632,100,1293,323.53219430417505,130.91113168685874,0.014434593448231147,-0.002720887123095046,0.031433565853273955,10.474905141681447,0.975,1.2433902380562434,8.253599171759605,-39.19892250294491,34.33874709976798,4.129908209565156,0.17668345472296274,1.004951303297079,35.48061798813681,0c0da991-7d4c-4f01-90e2-2af157f27aaa
close,close_std_t007,scot_lower_close_std_t007,std_w0.30_s0.40,ladder,m05_wealth_grw_negbin,Joint Gamma-NegBin,632,100,1228,307.606505250496,125.83671413260484,0.014051320751214815,-0.001323497900018705,0.029789744276917697,10.956680657126547,0.98075,1.3708216413534053,7.2338595417915625,-42.52315150347986,35.01628664495114,3.7886882872820866,0.1573815018176142,1.035521380253227,37.008733084457404,019d41d4-9e0e-41eb-bbc1-8984263f0f14
close,close_std_t007,scot_lower_close_std_t007,std_w0.30_s0.40,control,m05_poisson,Joint Gamma-Poisson,632,100,1234,300.95798531195845,123.69369740060066,0.013886864610460703,-0.0011896878006824548,0.029409095451965774,10.876905784004949,0.9815,1.3768219810882698,6.770119773733614,-44.45386424027545,35.332252836304704,3.703934991508899,0.1560718142395453,1.0732897574563944,37.90504668269327,b0961bc4-c40c-4dbe-9c05-57df7ae0839e
close,close_std_t007,scot_lower_close_std_t007,std_w0.30_s0.40,control,m10_poisson,Poisson,632,100,1290,291.2041024430314,120.52250839392245,0.013640592389351494,-0.003118323909096991,0.03021116076251302,9.969993673264197,0.96525,1.209196136902621,6.0469676719317125,-48.15704634815847,34.96124031007752,4.197331736366483,0.17510371379415107,0.9607924328909844,34.565702395950275,b13c8fb9-ce34-4210-aa3f-9d2ed493c286
close,close_std_t007,scot_lower_close_std_t007,std_w0.30_s0.40,control,m12_poisson,Joint Gamma-Poisson,632,100,1246,287.50896536280885,119.31248238032231,0.013545687989578196,-0.0021504596309235738,0.029448738433752026,10.663578459766262,0.97175,1.293059608864246,5.476785025854604,-52.495937672475215,34.430176565008026,3.793025430890463,0.15815541694175536,1.054362524443909,36.4192571309114,3a9a4c7e-378b-45d0-a2d2-c8b69b46786b
close,close_std_t007,scot_lower_close_std_t007,std_w0.30_s0.40,ladder,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,632,100,1244,252.1192379169571,107.46741351805444,0.012587996763314468,-0.0033663350072331458,0.02862065477443331,9.965541758481523,0.968,1.1909107631883797,5.0813935738780325,-49.61616026222193,34.32475884244373,3.8637189010197597,0.16006591277890284,1.0028302042781725,35.480247858584534,c3d2aede-ddd5-4590-9c75-5937de4b1bbc
close,raw,none,none,control,m00_poisson,Poisson,632,100,1296,491.5535600622813,180.26750919103662,0.0177758204288683,-0.0007573409570287178,0.03631445183521342,12.316074774617228,0.9815,1.4124104825286963,12.65170830144174,-38.85274212386526,34.79938271604938,4.777046575654896,0.183863255289926,1.0361968671880641,36.22119724955143,158d2a80-7ea3-4d6c-b3ab-be62bcf1bc11
close,raw,none,none,ladder,m00_baseline_grw_negbin,NegBin,632,100,1300,461.367915739266,171.88497520414577,0.017252063258599196,-0.0015756727842493959,0.0359224379458027,12.054298580975704,0.97975,1.3528782325463344,11.895805980342328,-38.78408209596481,34.15384615384615,4.753066188224883,0.18439335011388774,1.0173914126006665,35.550852992829185,0c0da991-7d4c-4f01-90e2-2af157f27aaa
close,raw,none,none,control,m05_poisson,Joint Gamma-Poisson,632,100,1247,385.77757677304226,150.01743292434026,0.015805806721928422,-0.0003705992042185303,0.03232579811669041,11.676122043521175,0.98375,1.4527253832777605,9.041681782277903,-42.66657310691728,35.20449077786688,4.125058211449413,0.16632412452063444,1.079948560365559,37.86804532599526,b0961bc4-c40c-4dbe-9c05-57df7ae0839e
close,raw,none,none,ladder,m05_wealth_grw_negbin,Joint Gamma-NegBin,632,100,1235,384.62074425780474,149.67207415186806,0.01578196428448436,-0.0007044320304766081,0.03263803167176781,11.639392515451034,0.98225,1.4337376018924124,9.052792902207154,-42.48641810463053,34.89878542510122,4.215995563274417,0.16735420424178973,1.0408115153820137,37.001462684672006,019d41d4-9e0e-41eb-bbc1-8984263f0f14
