model,fold,mode,kappa_mean,kappa_q05,kappa_q95,nu_mean,sigma_mean,sigma_q05,sigma_q95,p_sigma_gt_005
m03_funnel_shared_kappa,37,shared,1.118500882187505,1.0407548126446604,1.1978575181452087,3.5897584557963227,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,38,shared,1.122955851015805,1.051834390202745,1.1988472667593248,3.687710243228585,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,39,shared,1.1151109579368745,1.0421525265433447,1.1893282284959803,3.7544459330688444,NaN,NaN,NaN,NaN
m03_funnel_shared_kappa,40,shared,1.1130289897705847,1.040523165848737,1.188371497086405,3.7584658417690373,NaN,NaN,NaN,NaN
m04_funnel_hierarchical_kappa,1,hierarchical,1.13267470679132,1.05281175050033,1.2079360690672234,3.8569497137571123,0.06979599285513298,0.00529441308974234,0.14895362325196848,0.6091666666666666
m04_funnel_hierarchical_kappa,2,hierarchical,1.108934215494503,1.022041970717415,1.2005820221587185,3.7526952796634303,0.06648420051150852,0.0056686782115612545,0.15228587711579694,0.5741666666666667
m04_funnel_hierarchical_kappa,3,hierarchical,1.0914808024082825,1.0077123575485207,1.1832326035089544,3.8454811184521804,0.06593453110655956,0.006013396141608062,0.15566572609497198,0.5666666666666667
m04_funnel_hierarchical_kappa,4,hierarchical,1.0918314483876392,1.0126246680944582,1.1784543065074424,3.8724940434270168,0.06868238881267312,0.005339463651233183,0.15973048120000383,0.585
m04_funnel_hierarchical_kappa,5,hierarchical,1.0762326704554668,0.9967242914654261,1.1633345154487278,3.8344579609275873,0.06810661771507397,0.00576069926195372,0.1547629462961087,0.5866666666666667
m04_funnel_hierarchical_kappa,6,hierarchical,1.0838322034399073,1.0043832215539312,1.1674111030442453,3.509905202049653,0.07592615236443713,0.006833006247269029,0.16426997169845914,0.6308333333333334
m04_funnel_hierarchical_kappa,7,hierarchical,1.0822537318420011,1.003282876963173,1.1649737600465857,3.3508688816591694,0.07635039347292055,0.006917993385226781,0.16461801752250352,0.66
m04_funnel_hierarchical_kappa,8,hierarchical,1.0799389834357938,0.9962381263125013,1.1630443238908643,3.22996519334427,0.08115303765953416,0.007548546690245664,0.17908022914728028,0.6666666666666666
m04_funnel_hierarchical_kappa,9,hierarchical,1.0747850334594578,0.9937881266674341,1.1599912210975125,3.2149239575871835,0.06913867824896179,0.005169495444704777,0.1598945363907073,0.59
m04_funnel_hierarchical_kappa,10,hierarchical,1.0777247189754326,0.998214349158403,1.1635003260970445,3.2312335703102937,0.06582937303652518,0.005190490714778924,0.15687894194876484,0.5633333333333334
m04_funnel_hierarchical_kappa,11,hierarchical,1.0991957631392992,1.0183583531456273,1.1796894149786419,3.3435290541114737,0.04997555870071435,0.002720877347670341,0.12176966597852056,0.43083333333333335
m04_funnel_hierarchical_kappa,12,hierarchical,1.104931893639968,1.0195472701790806,1.1902504554586395,3.3441959876085363,0.05547680449740098,0.004089658575224564,0.12879296595314174,0.49416666666666664
m04_funnel_hierarchical_kappa,13,hierarchical,1.0874606490602134,1.0065915475389244,1.1714533907938205,3.392662670911596,0.06228702157219232,0.005477565509483579,0.1409974087682271,0.5416666666666666
m04_funnel_hierarchical_kappa,14,hierarchical,1.0896766526828316,1.0119549665794862,1.1765882725069698,3.3479143746531563,0.06585479221363177,0.00666041552866582,0.1484095777801516,0.5733333333333334
m04_funnel_hierarchical_kappa,15,hierarchical,1.093495754571054,1.0187540141528963,1.1719476466085998,3.4068021622783795,0.05893194800706842,0.00436317997687774,0.1330740006356969,0.5166666666666667
m04_funnel_hierarchical_kappa,16,hierarchical,1.1001135267748086,1.020967073765977,1.1751343268007832,3.45140348913006,0.05523388093067766,0.004105253397605312,0.1362244461998379,0.4658333333333333
m04_funnel_hierarchical_kappa,17,hierarchical,1.0912985054453024,1.01587771532022,1.1737232306335483,3.3889601312833135,0.06487018955572217,0.005420926867328099,0.14768908261244756,0.5625
