environment,variant,calibration,route,model,n_panel,n_slates,n_bets,total_return_pct,cagr_pct,growth_per_slate,growth_lo,growth_hi,roi_pct,p_roi_positive,sharpe_ann,calmar,max_drawdown_pct,win_rate_pct,mean_edge_pp,mean_exposure,n_bets_1x2,n_bets_totals,capture_ratio,run_id
t25,raw,raw,native,m05_joint_grw_supremacy_w040,611,99,1089,605.6257973602172,210.43532851785884,0.019736513928493113,0.003144100179101557,0.0372405987086918,16.172416927644026,0.99675,1.7108739259670709,15.824711021646467,-38.270891426187035,36.82277318640955,3.9423430054584014,0.14730941281646728,864,225,1.0843657102147992,0ee58d18-b7e9-4168-8d78-93887b1a8c26
t25,t25_inv,t25_inv,native,m05_joint_grw_baseline,611,99,969,245.85059998036266,105.31800824597136,0.012533704079357269,0.0030610689469119006,0.02203686159486,17.388934246342636,0.99575,1.9756565186781345,11.178244132920543,-21.99366886757457,36.326109391124874,2.36081760374766,0.0792277308994469,776,193,1.0671531360121367,b0961bc4-c40c-4dbe-9c05-57df7ae0839e
t25,t25_inv_grid,t25_inv,"calibrated grid, φ dropped",m05_joint_grw_smile_spine_w020,611,99,980,232.10024363957794,100.54508419629306,0.012123905818459763,0.0024532464686352886,0.02279016015895554,20.44769508113513,0.99675,1.7683713980470896,12.448496449947244,-18.64484153349793,34.38775510204082,2.089403107456721,0.06637641314275884,787,193,0.9646205950940713,eaf53852-a078-4190-b744-089966a306f6
t25,t25_inv_pooltot,t25_inv,"smile, calibrated λ_tot × fitted φ",m05_joint_grw_smile_spine_w020,611,99,975,187.83942271647706,84.58560868141738,0.010679116955972102,0.0013197912424257562,0.020886986553458407,20.128915948948073,0.9915,1.6177821301043052,8.447092757084462,-22.237168232696234,32.41025641025641,1.9294872745997567,0.059636914621007106,801,174,1.026137493022932,eaf53852-a078-4190-b744-089966a306f6
t25,t25_inv_grid,t25_inv,"calibrated grid, φ dropped",m05_joint_grw_smile_spine_w040,611,99,966,220.98799762897374,96.6268889000441,0.011780136827059952,0.002477815515918503,0.021820699666001194,21.04320183929248,0.99725,1.8180386562093247,13.126818494738338,-16.834848270169427,35.40372670807454,1.9656012230329412,0.06215987378406807,774,192,0.9500183809479622,582035c0-e145-44f7-9f40-89e25388e79a
t25,t25_inv_pooltot,t25_inv,"smile, calibrated λ_tot × fitted φ",m05_joint_grw_smile_spine_w040,611,99,966,171.11693606148242,78.29030306153217,0.010074545860654633,0.001114164860874832,0.019860554264965906,20.554126732622116,0.9945,1.6331016811877264,8.582202698323902,-19.938580114741573,32.50517598343685,1.7965705081417278,0.05465941876458624,797,169,1.0375311139971177,582035c0-e145-44f7-9f40-89e25388e79a
t25,t25_inv_grid,t25_inv,"calibrated grid, φ dropped",m05_joint_grw_smile_supremacy_w020,611,99,955,242.41387493881032,104.13266781657597,0.01243282808141559,0.0024127341914933448,0.022941995989726717,21.778749929959023,0.9985,1.818303801408592,13.207038286052514,-18.35490059832832,34.345549738219894,2.033197952071582,0.06373321827771936,790,165,0.9550274624112822,fcd5e974-9a46-4a10-9828-6b987a5484d6
t25,t25_inv_pooltot,t25_inv,"smile, calibrated λ_tot × fitted φ",m05_joint_grw_smile_supremacy_w020,611,99,953,170.84375552938096,78.18612830853337,0.010064362835978962,0.0004200604391262758,0.02038981028414571,18.668102130055413,0.99175,1.500063362770402,8.404884689829826,-20.3267221186398,30.535152151101784,2.018232976969548,0.061214257654210534,840,113,0.9517578771933043,fcd5e974-9a46-4a10-9828-6b987a5484d6
t25,t25_inv_grid,t25_inv,"calibrated grid, φ dropped",m05_joint_grw_smile_supremacy_w040,611,99,947,223.66042820924102,97.57433125814802,0.011863886051733231,0.0024089396884062683,0.021989058965362546,22.100087971501146,0.997,1.8246429039766536,13.418371898356682,-16.66822397705583,35.26927138331573,1.9045498577003863,0.0596199947067654,782,165,0.9325269421744571,30620d3e-e4bd-4c05-b1a1-85cefa36b728
t25,t25_inv_pooltot,t25_inv,"smile, calibrated λ_tot × fitted φ",m05_joint_grw_smile_supremacy_w040,611,99,946,155.7822765626708,72.37240777272027,0.009486428428780289,0.0005837867150406173,0.01926659279634407,19.008418616728292,0.994,1.5005430350567686,9.102920031728802,-17.113440085124537,31.183932346723044,1.8643603850834207,0.05628387355754163,829,117,0.9760839206149345,30620d3e-e4bd-4c05-b1a1-85cefa36b728
