left,right,scope,cut,n_obs,n_fixtures,delta,lo,hi,p_negative,significant
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,1X2,turf home excluding T003,495,165,0.0007946635995567298,-6.82446709897657e-5,0.0016468887072663674,0.0357,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,1X2,grass home excluding T003,1284,428,-0.0002981315407958803,-0.0010273833576669644,0.0004058336597594271,0.794,false
m05_joint_production_wealth_hier_ha,betfair_close,1X2,all fixtures,1785,595,0.002930402010826263,-0.006704725700650563,0.012233874284732224,0.2656,false
m05_joint_td_raw,betfair_close,1X2,all fixtures,1785,595,0.0029882439894434155,-0.006624454256466573,0.012280434717915406,0.2632,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,1X2,all fixtures,1785,595,4.9629750088375827e-5,-0.00045803874546957774,0.0005593335654169509,0.4186,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,1X2,excluding T003,1779,593,0.00011865142024213723,-0.00037547789562408746,0.0006153158367181969,0.3173,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,1X2,turf home,495,165,0.0005120318248830351,-0.00024530421449954536,0.001281820570397571,0.0965,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,1X2,grass home,1290,430,-0.00012780360419329575,-0.0007636136697462501,0.0004956465994542825,0.6485,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,1X2,turf home excluding T003,495,165,0.0005120318248830351,-0.00024530421449954536,0.001281820570397571,0.0965,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,1X2,grass home excluding T003,1284,428,-3.300224042549861e-5,-0.0006637787373605271,0.0005847439445779265,0.5452,false
m12_joint_hybrid_synergy_hier_ha,betfair_close,1X2,all fixtures,1785,595,0.0032944567334817912,-0.0068833721138932425,0.013028326029826221,0.2558,false
m12_hybrid_td_raw,betfair_close,1X2,all fixtures,1785,595,0.003244826983393415,-0.006910843804458491,0.013027388380674548,0.2573,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,1X2,all fixtures,1785,595,0.0003860776138847213,-0.0011984723380573628,0.0019370710788033912,0.3226,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,1X2,excluding T003,1779,593,0.00045484463740506497,-0.0011009936194998856,0.002031182584529636,0.2867,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,1X2,turf home,495,165,0.0008767481166291623,-0.0017663710990557544,0.0034896008535463333,0.2692,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,1X2,grass home,1290,430,0.00019779707213394732,-0.0016790528759670072,0.0020490100081227095,0.4209,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,1X2,turf home excluding T003,495,165,0.0008767481166291623,-0.0017663710990557544,0.0034896008535463333,0.2692,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,1X2,grass home excluding T003,1284,428,0.0002921949316294197,-0.001633522781064244,0.0021852947833534736,0.3825,false
m12_joint_hybrid_synergy_grw_hier_ha,betfair_close,1X2,all fixtures,1785,595,0.0042766626470346104,-0.005002726097768869,0.01331641744061308,0.179,false
m12_grw_raw,betfair_close,1X2,all fixtures,1785,595,0.003890585033149892,-0.005364365046360389,0.012768049338226391,0.1981,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,OU2.5,all fixtures,758,379,-0.0007397387832648166,-0.00230444312029159,0.0007805547466133845,0.8343,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,OU2.5,excluding T003,756,378,-0.0005170521570727712,-0.0020026896592411623,0.0009124847106272815,0.7537,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,OU2.5,turf home,220,110,0.0011847791605647201,-0.0009349369882148409,0.003259680089056037,0.1357,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,OU2.5,grass home,538,269,-0.001526716381113326,-0.0034211748668066615,0.0004332622294329535,0.9385,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,OU2.5,turf home excluding T003,220,110,0.0011847791605647201,-0.0009349369882148409,0.003259680089056037,0.1357,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,OU2.5,grass home excluding T003,536,268,-0.0012155650113269655,-0.003090157903447883,0.0005857000313075803,0.9022,false
m05_joint_production_wealth_hier_ha,betfair_close,OU2.5,all fixtures,758,379,-0.0036157787160275676,-0.014538712122323539,0.007248525387906956,0.7453,false
m05_joint_td_raw,betfair_close,OU2.5,all fixtures,758,379,-0.0028760399327627524,-0.014106757017950887,0.00826186489533092,0.6957,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,OU2.5,all fixtures,758,379,-0.0002608341511944822,-0.0015304546266707202,0.0009393110219444126,0.6664,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,OU2.5,excluding T003,756,378,-5.061868837893065e-5,-0.001238594285825225,0.0010965400516577105,0.5388,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,OU2.5,turf home,220,110,0.0002995132922618604,-0.0015284123080055753,0.0021064470401778676,0.3731,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,OU2.5,grass home,538,269,-0.0004899725109721687,-0.0020651677062631974,0.0010739962791039663,0.732,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,OU2.5,turf home excluding T003,220,110,0.0002995132922618604,-0.0015284123080055753,0.0021064470401778676,0.3731,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,OU2.5,grass home excluding T003,536,268,-0.00019432957595537473,-0.001660797986264181,0.0012489692646780264,0.5941,false
m12_joint_hybrid_synergy_hier_ha,betfair_close,OU2.5,all fixtures,758,379,-0.0028157468264664504,-0.013361356446609357,0.007640687218176938,0.7026,false
m12_hybrid_td_raw,betfair_close,OU2.5,all fixtures,758,379,-0.0025549126752719684,-0.013304917864138214,0.008134144477533196,0.6805,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,OU2.5,all fixtures,758,379,0.0017172370275513151,-0.0016629533993135466,0.005158230822333947,0.1684,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,OU2.5,excluding T003,756,378,0.001973952849154657,-0.0015284666398476714,0.005343099848450122,0.1334,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,OU2.5,turf home,220,110,0.005081000372518557,-0.0013238831553538607,0.011341348107927486,0.0616,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,OU2.5,grass home,538,269,0.00034172041808515596,-0.0036321720154139686,0.0042814385263374045,0.4317,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,OU2.5,turf home excluding T003,220,110,0.005081000372518557,-0.0013238831553538607,0.011341348107927486,0.0616,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,OU2.5,grass home excluding T003,536,268,0.0006986721492664884,-0.003242821688598073,0.004632113666039752,0.3615,false
m12_joint_hybrid_synergy_grw_hier_ha,betfair_close,OU2.5,all fixtures,758,379,0.001566051134075084,-0.011638237252717187,0.015177438024260878,0.4114,false
m12_grw_raw,betfair_close,OU2.5,all fixtures,758,379,-0.00015118589347623015,-0.012879036377437831,0.012759506145468712,0.5108,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,BTTS,all fixtures,356,178,-0.0003127455417997501,-0.002216880676266117,0.0015607354221670732,0.6251,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,BTTS,excluding T003,354,177,-0.0006182981553104654,-0.0024205153619001434,0.0011667333905048865,0.7448,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,BTTS,turf home,98,49,0.0012170681815970314,-0.001212763893525459,0.0036640294752571384,0.1684,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,BTTS,grass home,258,129,-0.000893837576268295,-0.0033226350191393997,0.0014793676139934339,0.7671,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,BTTS,turf home excluding T003,98,49,0.0012170681815970314,-0.001212763893525459,0.0036640294752571384,0.1684,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,BTTS,grass home excluding T003,256,128,-0.0013208993311578665,-0.0036081065588102605,0.0009235357836694573,0.8667,false
m05_joint_production_wealth_hier_ha,betfair_close,BTTS,all fixtures,356,178,0.0003621166207007987,-0.00937434614588954,0.010097235769224944,0.4707,false
m05_joint_td_raw,betfair_close,BTTS,all fixtures,356,178,0.0006748621625005494,-0.009157608871144592,0.010433661535403989,0.4455,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,BTTS,all fixtures,356,178,-3.1529581737509776e-5,-0.0016125318218296661,0.0015739674899358737,0.5163,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,BTTS,excluding T003,354,177,-0.0003179053729246864,-0.0017810202702168189,0.0011546609268482868,0.6549,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,BTTS,turf home,98,49,0.00105804262576492,-0.0011155737659545026,0.0032467035245175736,0.1745,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,BTTS,grass home,258,129,-0.0004453980946647893,-0.002459771340737402,0.0015674002107313545,0.6702,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,BTTS,turf home excluding T003,98,49,0.00105804262576492,-0.0011155737659545026,0.0032467035245175736,0.1745,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,BTTS,grass home excluding T003,256,128,-0.0008446354661730514,-0.002692364833095087,0.001063206535440492,0.808,false
m12_joint_hybrid_synergy_hier_ha,betfair_close,BTTS,all fixtures,356,178,0.0017953323657841224,-0.0082369551242394,0.011710837474373084,0.3658,false
m12_hybrid_td_raw,betfair_close,BTTS,all fixtures,356,178,0.0018268619475216316,-0.008345342128462508,0.011780213904782622,0.364,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,BTTS,all fixtures,356,178,-0.0003008421988622988,-0.004579253036903871,0.003998939685936349,0.5512,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,BTTS,excluding T003,354,177,-0.0005862497558098886,-0.004837573905529664,0.0037044567481711948,0.5993,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,BTTS,turf home,98,49,0.006646587335356537,-0.0014382180544495408,0.014332224714066005,0.0516,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,BTTS,grass home,258,129,-0.0029397883010074378,-0.007995365028042148,0.0019325844781474238,0.8789,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,BTTS,turf home excluding T003,98,49,0.006646587335356537,-0.0014382180544495408,0.014332224714066005,0.0516,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,BTTS,grass home excluding T003,256,128,-0.003355070204772036,-0.008273851109579927,0.00168775702705726,0.9032,false
m12_joint_hybrid_synergy_grw_hier_ha,betfair_close,BTTS,all fixtures,356,178,0.0012905185370620305,-0.0116788594809254,0.014422622938542615,0.4256,false
m12_grw_raw,betfair_close,BTTS,all fixtures,356,178,0.0015913607359243295,-0.010824021479993536,0.014032099186486768,0.4048,false
