arm,fill_model,slate,as_of,fold_idx,n_fixtures,n_uncovered,n_blocked,n_legs,n_filled,bankroll_before,bankroll_after,risk_requested,venue_stake_requested,venue_stake_filled,risk_filled,net_pnl,slate_return,k_risk,slate_exposure,capped,warning
m12_hybrid_td_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,41,10,2,0,13,13,500.0,518.1634943720812,103.65514437886394,105.26783298793062,62.050059363924426,60.43737075485773,18.16349437208118,0.036326988744162354,0.7858274037076471,0.21136026469229718,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m12_hybrid_td_raw,touch_only,2026-08-08,2026-08-08T13:35:00.0,41,10,2,0,17,17,518.1634943720812,532.9687158785164,129.5408735930203,130.7066925874019,98.28657617069175,97.12075717631012,14.805221506435132,0.028572490473062626,0.968307013235424,0.25,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m12_hybrid_td_raw,touch_only,2026-08-15,2026-08-15T13:35:00.0,42,9,0,0,14,14,532.9687158785164,567.517627732455,130.98003162406732,149.51588501123882,113.07847362139358,100.1388312288521,34.54891185393862,0.06482352683119513,0.9487213323292014,0.25,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 42 (matched 9 of 9 fixtures via get_next_matches); conditioning on 42."
m12_hybrid_td_raw,touch_only,2026-09-05,2026-09-05T13:35:00.0,43,10,0,0,21,21,567.517627732455,551.9671225029408,138.15235025213298,140.66476195984842,123.48082182932392,121.90447339800419,-15.55050522951425,-0.027400920199865984,0.7323755282755764,0.24999999999999997,true,
m12_hybrid_td_raw,ladder_sweep_v1,2026-08-01,2026-08-01T13:35:00.0,41,10,2,0,13,13,500.0,530.9749505022515,103.65514437886394,105.26783298793062,72.57326283869881,70.96057422963213,30.97495050225151,0.06194990100450302,0.7858274037076471,0.21136026469229718,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m12_hybrid_td_raw,ladder_sweep_v1,2026-08-08,2026-08-08T13:35:00.0,41,10,2,0,17,17,530.9749505022515,542.1099866393603,132.74373762556291,133.93838118799005,118.39232262863752,117.19767906621037,11.135036137108733,0.0209709255146143,0.968307013235424,0.25,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m12_hybrid_td_raw,ladder_sweep_v1,2026-08-15,2026-08-15T13:35:00.0,42,9,0,0,14,14,542.1099866393603,594.503474575581,133.2265498486237,152.0803229364218,141.09337367575208,122.23960058795397,52.39348793622074,0.09664733952056044,0.9487213323292014,0.25,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 42 (matched 9 of 9 fixtures via get_next_matches); conditioning on 42."
m12_hybrid_td_raw,ladder_sweep_v1,2026-09-05,2026-09-05T13:35:00.0,43,10,0,0,22,22,594.503474575581,575.9364810169399,145.7357499002421,148.36762848306088,140.38737556697893,137.75549698416015,-18.566993558641066,-0.031231093429514665,0.7323755282755764,0.24999999999999997,true,
m05_joint_td_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,41,10,2,0,12,12,500.0,508.55176002350163,86.52460875524973,88.01206051002345,49.73819299154793,48.25351952865734,8.551760023501606,0.01710352004700321,0.774423661481167,0.17335437763900263,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m05_joint_td_raw,touch_only,2026-08-08,2026-08-08T13:35:00.0,41,10,2,0,15,15,508.55176002350163,530.4142059480174,126.33650326460699,127.8354114441149,92.5787902780211,91.32140760143372,21.862445924515754,0.042989618054817914,0.9694551428303998,0.25000000000000006,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m05_joint_td_raw,touch_only,2026-08-15,2026-08-15T13:35:00.0,42,9,0,0,15,15,530.4142059480174,561.8651994028647,130.22989158314957,147.63078666235833,110.5300806371003,98.7664377698656,31.45099345484732,0.059295156694822077,0.922406360713773,0.25,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 42 (matched 9 of 9 fixtures via get_next_matches); conditioning on 42."
m05_joint_td_raw,touch_only,2026-09-05,2026-09-05T13:35:00.0,43,10,0,0,21,21,561.8651994028647,569.4474046518864,139.82132483062063,142.36675202140054,121.11879214079453,119.74720874544606,7.582205249021648,0.0134947052372701,0.7254108987220871,0.25,true,
m05_joint_td_raw,ladder_sweep_v1,2026-08-01,2026-08-01T13:35:00.0,41,10,2,0,12,12,500.0,519.648814583383,86.52460875524973,88.01206051002345,59.16556168196503,57.6781099271913,19.648814583382983,0.03929762916676596,0.774423661481167,0.17335437763900263,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m05_joint_td_raw,ladder_sweep_v1,2026-08-08,2026-08-08T13:35:00.0,41,10,2,0,15,15,519.648814583383,532.2088961202232,129.0932788375933,130.62489453510779,113.99819148354867,112.46657578603414,12.560081536840245,0.024170326544302838,0.9694551428303998,0.25000000000000006,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m05_joint_td_raw,ladder_sweep_v1,2026-08-15,2026-08-15T13:35:00.0,42,9,0,0,15,15,532.2088961202232,585.8385783532424,130.67053269707674,148.13030481056552,139.9810055063479,122.52123339285916,53.62968223301913,0.10076810557654502,0.922406360713773,0.25,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 42 (matched 9 of 9 fixtures via get_next_matches); conditioning on 42."
m05_joint_td_raw,ladder_sweep_v1,2026-09-05,2026-09-05T13:35:00.0,43,10,0,0,21,21,585.8385783532424,587.7570042206793,145.78715010164774,148.44118428695234,143.48911943589263,140.83508525058804,1.9184258674369106,0.0032746663301510327,0.7254108987220871,0.25,true,
