environment,policy,pair,a_return_pct,b_return_pct,a_roi_pct,b_roi_pct,n_slates,delta_log_growth_per_slate,lo,hi,p_better,delta_total_log_growth
close,+U3.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,467.91525873578036,579.1974366229927,14.374066257567877,15.633763648304122,100,-0.001789396456535338,-0.006104559000870111,0.00237327986852287,0.2053,-0.1789396456535338
close,+U3.5,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,579.1974366229927,389.7783199144069,15.633763648304122,11.229794373817379,100,0.0032695898047861525,-0.007621786455798761,0.014577790259956824,0.7262,0.32695898047861527
close,+U4.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,449.8734040059558,425.03453433738906,14.24220709388349,11.870177536341629,100,0.0004622403707916736,-0.010450125065136562,0.011739645833869208,0.5352,0.04622403707916736
close,+U4.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,449.8734040059558,536.6523250929922,14.24220709388349,15.474372731748733,100,-0.0014653562888923518,-0.005844826595120106,0.002769303483283394,0.2539,-0.1465356288892352
close,+U4.5,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,536.6523250929922,425.03453433738906,15.474372731748733,11.870177536341629,100,0.0019275966596840261,-0.0084700694105567,0.012937203343405316,0.6435,0.1927596659684026
close,+O2.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,473.2452295890498,346.20587104580187,14.268108459870744,10.767897163351218,100,0.0025053316021832585,-0.00927607082471079,0.014901452004775337,0.6566,0.25053316021832583
close,+O2.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,473.2452295890498,520.9005235245868,14.268108459870744,14.728440948628833,100,-0.0007985728153140506,-0.0052424252821378125,0.0034521898120018417,0.3613,-0.07985728153140506
close,+O2.5,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,520.9005235245868,346.20587104580187,14.728440948628833,10.767897163351218,100,0.0033039044174973083,-0.008358090284004568,0.015570818914950123,0.7116,0.3303904417497308
close,+O3.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,402.1444340828654,345.8118357025728,12.405717078938185,10.663469001596846,100,0.0011899082565099434,-0.010563490809018503,0.013807736577379052,0.5738,0.11899082565099434
close,+O3.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,402.1444340828654,488.2339061291074,12.405717078938185,14.069841024648426,100,-0.0015823687273107507,-0.006065671894491191,0.0028284469164617486,0.2419,-0.15823687273107506
close,+O3.5,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,488.2339061291074,345.8118357025728,14.069841024648426,10.663469001596846,100,0.0027722769838206917,-0.00867724025522776,0.014918587784468152,0.68,0.2772276983820692
close,+O4.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,416.2426080243737,311.1375967302603,13.273234077545974,10.583243755215932,100,0.002276488818759354,-0.00918399592589687,0.014656141507170458,0.6486,0.2276488818759354
close,+O4.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,416.2426080243737,529.5586069416289,13.273234077545974,14.91105732709048,100,-0.001984421243558998,-0.006343161284459338,0.002247066611805761,0.1871,-0.1984421243558998
close,+O4.5,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,529.5586069416289,311.1375967302603,14.91105732709048,10.583243755215932,100,0.004260910062318354,-0.007071608542769961,0.016395087494310585,0.771,0.4260910062318354
close,+BTTS_yes,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,458.92738607066315,339.93337970878514,14.138985853198747,10.930645116309357,100,0.0023939625932677096,-0.008534945030078761,0.01385034519638762,0.6601,0.23939625932677097
close,+BTTS_yes,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,458.92738607066315,525.2732148721534,14.138985853198747,15.054025541133635,100,-0.0011216913298962982,-0.005544829658638636,0.0030854557183495938,0.3074,-0.11216913298962983
close,+BTTS_yes,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,525.2732148721534,339.93337970878514,15.054025541133635,10.930645116309357,100,0.003515653923164009,-0.007220366643199129,0.014690027004259002,0.7386,0.3515653923164009
close,+BTTS_no,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,445.8610774166491,347.57281855476555,13.848827753249726,11.048144134186986,100,0.001985252589001217,-0.009037929248304134,0.013594201572547296,0.6361,0.19852525890012168
close,+BTTS_no,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,445.8610774166491,537.0445062643656,13.848827753249726,15.12439652674802,100,-0.0015447501527387044,-0.0060397648147801995,0.0027517042711688684,0.2429,-0.15447501527387045
