environment,model,policy,n_bets,total_return_pct,roi_pct,sharpe_ann,max_drawdown_pct,win_rate_pct,n_capped,mean_exposure,delta_return_pp,delta_sharpe,core_n_bets,core_roi_pct,core_stake_vs_p0,delta_core_roi_pp,added_n_bets,added_win_rate_pct,added_roi_pct,added_stake_share_pct,added_edge_pp
close,m05_joint_grw_baseline,+BTTS_no,1315,347.57281855476555,11.048144134186986,1.3691747031458303,-44.281288985171386,35.5893536121673,30,0.16866083281064342,-21.271282580861794,-0.048269811760917714,1246,11.582518515060944,0.986512960636622,0.09735218181667271,69,42.028985507246375,-7.064300013925894,2.865767047838501,3.5204069724282547
close,m05_joint_grw_baseline,+all_unders,1559,487.7788341990486,11.700731443432744,1.7699589222954508,-34.24700017458169,36.433611289288,42,0.1780252269798281,118.93473306342128,0.35251440738870277,1246,12.19911542575958,0.9290975876443002,0.7139490925153087,313,41.21405750798722,8.460594814268264,13.331048136926915,4.237730105726559
close,m05_joint_grw_baseline,+all_fringe,1958,299.0036879497816,8.873952097520645,1.3593210952096646,-32.563574691826894,37.18079673135853,58,0.19153029128436735,-69.84041318584576,-0.058123419697083456,1246,11.668933553578462,0.8310394282548326,0.18376722033419135,712,40.58988764044944,1.6669851689075652,27.94436992237869,4.407565443834996
close,m05_joint_grw_smile_supremacy_w040,P0 Option B,1250,553.4909313352383,15.724619922056439,1.640492880600992,-39.083189754338626,32.56,16,0.14508381639012732,0.0,0.0,1250,15.724619922056432,1.0,0.0,0,NaN,NaN,0.0,NaN
close,m05_joint_grw_smile_supremacy_w040,P0 ext book,1253,536.6523250929922,15.474372731748733,1.6170144679533827,-38.44377170484356,32.322426177174776,16,0.1457328210391907,0.0,0.0,1253,15.47437273174874,1.0,0.0,0,NaN,NaN,0.0,NaN
close,m05_joint_grw_smile_supremacy_w040,+U0.5,1402,251.464208288315,10.465906271126697,1.110626533071426,-32.9320237526252,29.243937232524964,24,0.15687267334938892,-285.1881168046772,-0.5063879348819567,1253,15.160727808511409,1.0085317893451735,-0.31364492323733195,149,3.3557046979865772,-59.258501865227885,6.308613456451037,3.159798129613029
close,m05_joint_grw_smile_supremacy_w040,+U1.5,1381,508.07142484096914,14.677513402124745,1.6153125051220538,-35.267212337717055,31.13685734974656,20,0.14925132691754056,-28.58090025202307,-0.0017019628313288404,1253,15.411792986844894,0.9826998087431498,-0.06257974490384655,128,19.53125,-2.7334779180457525,4.046671932146439,3.0318485935698947
close,m05_joint_grw_smile_supremacy_w040,+U3.5,1303,579.1974366229927,15.633763648304122,1.699645167499496,-36.379803147738315,33.691481197237145,18,0.1477474314712241,42.54511153000044,0.08263069954611324,1253,15.681857823541176,0.9901931098346183,0.20748509179243513,50,68.0,13.618497960086717,2.330867052756029,3.2420778696088037
close,m05_joint_grw_smile_supremacy_w040,+U4.5,1253,536.6523250929922,15.474372731748733,1.6170144679533827,-38.44377170484356,32.322426177174776,16,0.1457328210391907,0.0,0.0,1253,15.47437273174874,1.0,0.0,0,NaN,NaN,0.0,NaN
close,m05_joint_grw_smile_supremacy_w040,+O2.5,1349,520.9005235245868,14.728440948628833,1.5861497914842233,-38.612611472775185,33.5063009636768,20,0.1516407247934138,-15.751801568405426,-0.030864676469159358,1253,15.159030294052153,0.9907306746394341,-0.31534243769658765,96,48.95833333333333,6.163694701993157,4.786806906942345,2.8921479151798994
