environment,policy,model,level,group,n_bets,win_rate_pct,roi_pct,stake_share_pct,edge_mean_pp,odds_mean,capture_ratio
t25,+all_fringe,m05_joint_grw_baseline,family,BTTS_btts_yes,73,60.273972602739725,-12.942987056557046,3.2250555958478735,3.0749263680352623,1.7891706376465741,1.2000353972069364
t25,+all_fringe,m05_joint_grw_baseline,family,O/U 0.5_under_05,37,2.7027027027027026,-90.04874504980567,0.4865297394507238,2.269807158066276,16.937719569005086,1.6881641993525758
t25,+all_fringe,m05_joint_grw_baseline,family,O/U 1.5_under_15,76,23.684210526315788,2.4141661445501232,2.3532905903759422,4.8566956998654485,4.44699432446847,1.1100888722404436
t25,+all_fringe,m05_joint_grw_baseline,family,O/U 2.5_over_25,116,58.620689655172406,10.253407646313715,6.723987054742727,5.739779978509945,1.926461924440374,1.0733202309594887
t25,+all_fringe,m05_joint_grw_baseline,family,O/U 3.5_over_35,75,26.666666666666668,-20.391002123194387,3.5019021597843225,4.992935596507738,3.143230498200405,0.9448909786460029
t25,+all_fringe,m05_joint_grw_baseline,family,O/U 3.5_under_35,67,56.71641791044776,-16.233081023700024,4.655480323419444,6.006079778833798,1.5092321332012313,1.0066958454544974
t25,+all_fringe,m05_joint_grw_baseline,family,O/U 4.5_over_45,21,4.761904761904762,1.1333199759729555,0.5009272730152654,3.2372202826600214,6.599327679618575,1.8444391653594732
t25,+all_fringe,m05_joint_grw_baseline,family,O/U 4.5_under_45,23,95.65217391304348,8.813668601901595,2.808310735592217,4.835974456838963,1.2211620198051263,0.9541833973323451
t25,+U0.5,m05_joint_grw_smile_supremacy_w040,family,O/U 0.5_under_05,75,6.666666666666667,-42.154432433318,3.4704273800906256,3.410251180416434,15.909304992811832,0.6740584154878346
t25,+U1.5,m05_joint_grw_smile_supremacy_w040,family,O/U 1.5_under_15,99,14.14141414141414,-6.796909984156818,3.1562155033340216,2.6527361244379835,4.647874264318576,1.5366810748416881
t25,+U3.5,m05_joint_grw_smile_supremacy_w040,family,O/U 3.5_under_35,42,57.14285714285714,-11.367227025955914,2.4187041250778383,3.5629915178631713,1.5823886749344642,0.8495340384490389
t25,+U4.5,m05_joint_grw_smile_supremacy_w040,family,O/U 4.5_under_45,2,100.0,36.88983905340981,0.09853176683345403,9.216872299692463,1.4803731343283584,NaN
