environment,model,policy,family,n_bets,mean_p_model,mean_p_market,realised_win_rate,model_minus_realised,roi_pct
close,m05_joint_grw_baseline,+BTTS_no,O/U 1.5_over_15,63,0.7936240599222046,0.7585612546769733,0.7619047619047619,0.031719298017442776,1.7360025146610192
close,m05_joint_grw_baseline,+BTTS_no,O/U 2.5_under_25,199,0.5179795620413431,0.46544161601782946,0.48743718592964824,0.030542376111694858,10.720468526898793
close,m05_joint_grw_baseline,+all_unders,1X2_away,399,0.32599237251926144,0.2703242260202803,0.2631578947368421,0.06283447778241935,8.559104212988743
close,m05_joint_grw_baseline,+all_unders,1X2_draw,278,0.2489959418253594,0.24444140893106098,0.2446043165467626,0.004391625278596795,1.1815224742437453
close,m05_joint_grw_baseline,+all_unders,1X2_home,307,0.39844850453201247,0.3488452071215207,0.3941368078175896,0.004311696714422886,20.734935792157987
close,m05_joint_grw_baseline,+all_unders,O/U 0.5_under_05,81,0.08436103898118441,0.06653147460166876,0.037037037037037035,0.047324001944147376,-64.45914743715664
close,m05_joint_grw_baseline,+all_unders,O/U 1.5_over_15,63,0.7936240599222046,0.7585612546769733,0.7619047619047619,0.031719298017442776,1.6507772434198706
close,m05_joint_grw_baseline,+all_unders,O/U 1.5_under_15,105,0.26674230289819834,0.22130856808343877,0.23809523809523808,0.028647064802960254,36.75215881067082
close,m05_joint_grw_baseline,+all_unders,O/U 2.5_under_25,199,0.5179795620413431,0.46544161601782946,0.48743718592964824,0.030542376111694858,11.530342619797654
close,m05_joint_grw_baseline,+all_unders,O/U 3.5_under_35,99,0.7286054731620858,0.6701091511886812,0.7474747474747475,-0.01886927431266172,2.3411775697132122
close,m05_joint_grw_baseline,+all_unders,O/U 4.5_under_45,28,0.86072752511232,0.8157910077813699,0.9642857142857143,-0.10355818917339432,18.547039417283344
close,m05_joint_grw_baseline,+all_fringe,1X2_away,399,0.32599237251926144,0.2703242260202803,0.2631578947368421,0.06283447778241935,8.296472186319612
close,m05_joint_grw_baseline,+all_fringe,1X2_draw,278,0.2489959418253594,0.24444140893106098,0.2446043165467626,0.004391625278596795,-1.2741376046641866
