environment,variant,model,level,group,n_bets,win_rate_pct,roi_pct,stake_share_pct,edge_mean_pp,odds_mean,capture_ratio
t25,raw,m05_joint_grw_smile_supremacy_w020,family,1X2_home,278,36.330935251798564,17.771834710681606,39.374625296533566,5.7666549384065195,3.2848649141429465,0.9403541182477904
t25,raw,m05_joint_grw_smile_supremacy_w020,family,O/U 1.5_over_15,52,76.92307692307693,9.646187581961376,2.7130677799654572,0.8607395974125149,1.372438074770987,0.8187089736727711
t25,raw,m05_joint_grw_smile_supremacy_w020,family,O/U 2.5_under_25,157,49.681528662420384,18.390401261953716,11.472117942931042,3.096877447483717,2.2753539683666695,0.9955761455733333
t25,t25_inv_pooltot,m05_joint_grw_smile_supremacy_w020,market,1X2,790,29.746835443037973,22.2223345009523,84.36030646562334,2.127001978289604,3.9421705434309735,1.0059009951273705
t25,t25_inv_pooltot,m05_joint_grw_smile_supremacy_w020,market,totals,165,56.36363636363636,19.3860604395825,15.639693534376631,1.3641535620132117,2.102903816360719,0.7686171468602622
t25,t25_inv_pooltot,m05_joint_grw_smile_supremacy_w020,family,1X2_away,365,26.84931506849315,19.412450170067984,36.44039053311962,2.5588269103306844,4.353946586524516,0.9642044012472422
t25,t25_inv_pooltot,m05_joint_grw_smile_supremacy_w020,family,1X2_draw,131,22.137404580152673,24.423440210644582,7.489059575879528,0.5488065238366145,4.4329705544074365,0.9471613291375465
t25,t25_inv_pooltot,m05_joint_grw_smile_supremacy_w020,family,1X2_home,294,36.734693877551024,24.347173752929844,40.43085635662423,2.294102333181942,3.212262185719892,0.9669947727917002
t25,t25_inv_pooltot,m05_joint_grw_smile_supremacy_w020,family,O/U 1.5_over_15,31,87.09677419354838,8.20171946070529,3.071044050100357,-0.047999032034808854,1.3677549288569621,-0.22187396349983332
t25,t25_inv_pooltot,m05_joint_grw_smile_supremacy_w020,family,O/U 2.5_under_25,134,49.25373134328358,22.118860320782506,12.568649484276266,1.6908455800392463,2.272975573917558,1.0926537911595928
t25,t25_inv_grid,m05_joint_grw_smile_supremacy_w020,market,1X2,790,29.746835443037973,22.2223345009523,84.36030646562334,2.127001978289604,3.9421705434309735,1.0059009951273705
t25,t25_inv_grid,m05_joint_grw_smile_supremacy_w020,market,totals,165,56.36363636363636,19.3860604395825,15.639693534376631,1.5840756447246886,2.102903816360719,0.964272762790161
t25,t25_inv_grid,m05_joint_grw_smile_supremacy_w020,family,1X2_away,365,26.84931506849315,19.412450170067984,36.44039053311962,2.5588269103306844,4.353946586524516,0.9642044012472422
t25,t25_inv_grid,m05_joint_grw_smile_supremacy_w020,family,1X2_draw,131,22.137404580152673,24.423440210644582,7.489059575879528,0.5488065238366145,4.4329705544074365,0.9471613291375465
t25,t25_inv_grid,m05_joint_grw_smile_supremacy_w020,family,1X2_home,294,36.734693877551024,24.347173752929844,40.43085635662423,2.294102333181942,3.212262185719892,0.9669947727917002
t25,t25_inv_grid,m05_joint_grw_smile_supremacy_w020,family,O/U 1.5_over_15,31,87.09677419354838,8.20171946070529,3.071044050100357,1.222183869467646,1.3677549288569621,0.5585209566397075
