question,environment,pair,return_a_pct,return_b_pct,roi_a_pct,roi_b_pct,delta_roi_pp,n_slates,delta_log_growth_per_slate,lo,hi,p_better,delta_total_log_growth
Q1 raw lead at T−25,t25,m05_joint_grw_smile_supremacy_w070[raw] − m05_joint_grw_baseline[raw],381.54791520750615,531.7811340934728,15.781148492091827,14.152408726635706,1.628739765456121,99,-0.0027428008959062616,-0.013916607369743374,0.008815153631741662,0.3249,-0.2715372886947199
"Q2 beyond L2, smile kept",t25,m05_joint_grw_smile_supremacy_w070[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],178.79075824569796,245.85059998036266,20.3662448760605,17.388934246342636,2.977310629717863,99,-0.0021772258569408556,-0.007802457638985444,0.003506655725544863,0.2262,-0.2155453598371447
"Q3 beyond L2, smile dropped",t25,m05_joint_grw_smile_supremacy_w070[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],178.79075824569796,245.85059998036266,20.3662448760605,17.388934246342636,2.977310629717863,99,-0.0021772258569408556,-0.007802457638985444,0.003506655725544863,0.2262,-0.2155453598371447
Q4 pillar instead of L2,t25,m05_joint_grw_smile_supremacy_w070[raw] − m05_joint_grw_baseline[t25_inv],381.54791520750615,245.85059998036266,15.781148492091827,17.388934246342636,-1.6077857542508092,99,0.0033434227153080662,-0.00898797121016542,0.015636458209576903,0.7052,0.33099884881549857
close reference (r06),close,m05_joint_grw_smile_supremacy_w070[raw] − m05_joint_grw_baseline[raw],481.38248054762187,385.77757677304226,15.479001666370259,11.676122043521175,3.8028796228490833,100,0.0017965799627280225,-0.009468205186225351,0.013388254566911352,0.6222,0.17965799627280224
Q1 raw lead at T−25,t25,m05_joint_grw_supremacy_w040[raw] − m05_joint_grw_baseline[raw],605.6257973602172,531.7811340934728,16.172416927644026,14.152408726635706,2.02000820100832,99,0.0011165862379215099,-0.007195017176978326,0.009408657731005066,0.6003,0.11054203755422948
Q2 beyond L2,t25,m05_joint_grw_supremacy_w040[t25_inv] − m05_joint_grw_baseline[t25_inv],219.52830899296657,245.85059998036266,17.979045805244425,17.388934246342636,0.5901115589017891,99,-0.0007996062212639907,-0.004625958604104394,0.0030780659044233887,0.3458,-0.07916101590513508
close reference (r06),close,m05_joint_grw_supremacy_w040[raw] − m05_joint_grw_baseline[raw],404.5723663171682,385.77757677304226,12.751194815133763,11.676122043521175,1.0750727716125876,100,0.0003796041298535964,-0.008430894750600782,0.009615673573293642,0.5341,0.03796041298535964
within arm: pooltot − grid,t25,m05_joint_grw_smile_supremacy_w020[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w020[t25_inv_grid],242.41387493881032,242.41387493881032,21.778749929959023,21.778749929959023,0.0,99,0.0,0.0,0.0,0.0,0.0
within arm: pooltot − grid,t25,m05_joint_grw_smile_supremacy_w040[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w040[t25_inv_grid],223.66042820924102,223.66042820924102,22.100087971501146,22.100087971501146,0.0,99,0.0,0.0,0.0,0.0,0.0
within arm: pooltot − grid,t25,m05_joint_grw_smile_supremacy_w070[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w070[t25_inv_grid],178.79075824569796,178.79075824569796,20.3662448760605,20.3662448760605,0.0,99,0.0,0.0,0.0,0.0,0.0
