environment,question,pair,bet_set,owner,n_bets,win_rate_pct,roi_pct,edge_mean_pp,capture_ratio
t25,"Q3 beyond L2, smile dropped",m05_joint_grw_smile_supremacy_w070[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],exclusive,b,216,43.98148148148148,19.871747747677563,1.6886677647119528,1.7645864250833576
t25,Q4 pillar instead of L2,m05_joint_grw_smile_supremacy_w070[raw] − m05_joint_grw_baseline[t25_inv],shared,a,747,32.53012048192771,20.68805598122663,4.375120962833433,0.9826425463293522
t25,Q4 pillar instead of L2,m05_joint_grw_smile_supremacy_w070[raw] − m05_joint_grw_baseline[t25_inv],shared,b,747,32.53012048192771,18.859657540912806,2.6672208094696663,1.0835119290076811
t25,Q4 pillar instead of L2,m05_joint_grw_smile_supremacy_w070[raw] − m05_joint_grw_baseline[t25_inv],exclusive,a,347,37.46397694524496,-6.297205626175283,1.2279182114192129,1.0889199873344892
t25,Q4 pillar instead of L2,m05_joint_grw_smile_supremacy_w070[raw] − m05_joint_grw_baseline[t25_inv],exclusive,b,222,49.0990990990991,10.983313780425332,1.329812222331717,1.6666607652277716
close,close reference (r06),m05_joint_grw_smile_supremacy_w070[raw] − m05_joint_grw_baseline[raw],shared,a,938,32.51599147121535,16.236135127172215,3.9390612335463406,1.0323140514160758
close,close reference (r06),m05_joint_grw_smile_supremacy_w070[raw] − m05_joint_grw_baseline[raw],shared,b,938,32.51599147121535,13.554662720363961,4.673220114790853,1.0594313159984095
close,close reference (r06),m05_joint_grw_smile_supremacy_w070[raw] − m05_joint_grw_baseline[raw],exclusive,a,293,43.003412969283275,10.741183672015088,1.2918122717509377,1.1232424846726907
close,close reference (r06),m05_joint_grw_smile_supremacy_w070[raw] − m05_joint_grw_baseline[raw],exclusive,b,309,43.36569579288026,3.339122121485016,2.4610586472608365,1.6173036777163863
t25,Q1 raw lead at T−25,m05_joint_grw_supremacy_w040[raw] − m05_joint_grw_baseline[raw],shared,a,955,36.64921465968586,17.1218103256479,4.343155546306552,1.0853119089605174
t25,Q1 raw lead at T−25,m05_joint_grw_supremacy_w040[raw] − m05_joint_grw_baseline[raw],shared,b,955,36.64921465968586,16.204183502011478,4.772802542768721,1.048180532707311
t25,Q1 raw lead at T−25,m05_joint_grw_supremacy_w040[raw] − m05_joint_grw_baseline[raw],exclusive,a,134,38.059701492537314,0.32354084285770407,1.0858058673241835,1.2370016646729056
t25,Q1 raw lead at T−25,m05_joint_grw_supremacy_w040[raw] − m05_joint_grw_baseline[raw],exclusive,b,169,28.402366863905325,-19.514842467245785,0.6240645992218647,1.812433517278762
t25,Q2 beyond L2,m05_joint_grw_supremacy_w040[t25_inv] − m05_joint_grw_baseline[t25_inv],shared,a,859,37.60186263096624,18.96556161027294,2.336910545397302,1.0471274570970863
t25,Q2 beyond L2,m05_joint_grw_supremacy_w040[t25_inv] − m05_joint_grw_baseline[t25_inv],shared,b,859,37.60186263096624,17.98800262251266,2.5594109476440434,1.0003850102519352
