left,right,scope,n_obs,n_fixtures,delta,lo,hi,p_negative,significant
m10_lineup_grw,betfair_close,1X2,1785,595,0.0055546339421590745,-0.005129408328936515,0.0160950410131656,0.1561,false
m12_joint_hybrid_synergy_grw,betfair_close,1X2,1785,595,0.003890585033149892,-0.005016429233912113,0.012793815663439265,0.19,false
m05_joint_td_raw,betfair_close,1X2,1785,595,0.0029882439894434155,-0.00648904259005112,0.012211793061823357,0.2605,false
m12_hybrid_td_raw,betfair_close,1X2,1785,595,0.003244826983393415,-0.006767409999097688,0.013200241661411139,0.2584,false
m05_joint_grw_raw,betfair_close,1X2,1785,595,0.002487208452980643,-0.005861937154378731,0.010657904580703599,0.2755,false
m12_joint_hybrid_synergy_grw,m12_hybrid_td_raw,1X2,1785,595,0.0006457580497564789,-0.0034978888111889786,0.004842368809581503,0.385,false
m05_wealth_grw,m05_joint_td_raw,1X2,1785,595,-0.000522694089200669,-0.0048005061432680575,0.003703411766846392,0.5996,false
m12_joint_hybrid_synergy_grw,m05_wealth_grw,1X2,1785,595,0.0014250351329071459,-0.001387943388393613,0.004314091264645281,0.1542,false
m10_lineup_grw,m00_baseline_grw,1X2,1785,595,0.002014886775896471,-0.0011912322504321613,0.005219175441169102,0.1069,false
m05_wealth_grw,m05_joint_grw_raw,1X2,1785,595,-2.1658552737896552e-5,-0.00026967823521398753,0.0002277659835059116,0.572,false
m12_joint_hybrid_synergy_grw,m05_joint_grw_raw,1X2,1785,595,0.0014033765801692488,-0.0014085014226912884,0.004302412508484981,0.1565,false
m00_baseline_grw,betfair_close,OU2.5,758,379,-0.002325872399501299,-0.016166243456385884,0.011731716847730878,0.6217,false
m05_wealth_grw,betfair_close,OU2.5,758,379,-1.7047004933497493e-5,-0.013303538341143636,0.013126870783193629,0.4932,false
m10_lineup_grw,betfair_close,OU2.5,758,379,-0.0022785936301417085,-0.015014174213026636,0.010570529405064793,0.6293,false
m12_joint_hybrid_synergy_grw,betfair_close,OU2.5,758,379,-0.00015118589347623015,-0.012781268811562213,0.012523851551740328,0.5035,false
m05_joint_td_raw,betfair_close,OU2.5,758,379,-0.0028760399327627524,-0.013774226200466866,0.007971545986533771,0.6921,false
m12_hybrid_td_raw,betfair_close,OU2.5,758,379,-0.0025549126752719684,-0.013067928895989228,0.007966913406877309,0.6797,false
m05_joint_grw_raw,betfair_close,OU2.5,758,379,1.9357458718434214e-5,-0.013217373342347618,0.01317126661096683,0.4904,false
m12_joint_hybrid_synergy_grw,m12_hybrid_td_raw,OU2.5,758,379,0.0024037267817957363,-0.006169531489264291,0.011139678416755606,0.296,false
m05_wealth_grw,m05_joint_td_raw,OU2.5,758,379,0.002858992927829255,-0.0049252441498021686,0.010942134483523838,0.2361,false
m12_joint_hybrid_synergy_grw,m05_wealth_grw,OU2.5,758,379,-0.0001341388885427347,-0.0035748699227857073,0.0032705799607219118,0.5365,false
m10_lineup_grw,m00_baseline_grw,OU2.5,758,379,4.727876935959031e-5,-0.0036473919867146282,0.0035535641717622302,0.4953,false
m05_wealth_grw,m05_joint_grw_raw,OU2.5,758,379,-3.640446365193105e-5,-0.0005754009237367078,0.0005078156280738308,0.5484,false
m12_joint_hybrid_synergy_grw,m05_joint_grw_raw,OU2.5,758,379,-0.00017054335219466525,-0.0036700038738247767,0.003294268542924154,0.5467,false
m00_baseline_grw,betfair_close,BTTS,356,178,0.007710680673430606,-0.006911228850551546,0.022294152415992495,0.1574,false
m05_wealth_grw,betfair_close,BTTS,356,178,-0.001448525392855667,-0.014469447345646392,0.011076283772568606,0.5892,false
m10_lineup_grw,betfair_close,BTTS,356,178,0.00787621234696289,-0.004875888225633395,0.020169975509731562,0.1155,false
m12_joint_hybrid_synergy_grw,betfair_close,BTTS,356,178,0.0015913607359243295,-0.011174886146740016,0.013919426056204864,0.3992,false
m05_joint_td_raw,betfair_close,BTTS,356,178,0.0006748621625005494,-0.009163579947143669,0.010559451439254545,0.4521,false
m12_hybrid_td_raw,betfair_close,BTTS,356,178,0.0018268619475216316,-0.008113029845395105,0.011985334672087065,0.3581,false
m05_joint_grw_raw,betfair_close,BTTS,356,178,-0.0015798719448233015,-0.01457020473828231,0.010944083643260345,0.5985,false
m12_joint_hybrid_synergy_grw,m12_hybrid_td_raw,BTTS,356,178,-0.00023550121159730087,-0.011223349099493952,0.010872767226483613,0.5294,false
m05_wealth_grw,m05_joint_td_raw,BTTS,356,178,-0.002123387555356217,-0.011415212244469139,0.00709028298063561,0.6818,false
m12_joint_hybrid_synergy_grw,m05_wealth_grw,BTTS,356,178,0.0030398861287799983,-0.00047396905004237696,0.006552390121994699,0.0447,false
m10_lineup_grw,m00_baseline_grw,BTTS,356,178,0.00016553167353228345,-0.004228967309544334,0.004640923951890533,0.4625,false
m05_wealth_grw,m05_joint_grw_raw,BTTS,356,178,0.00013134655196763424,-0.0004654852228534089,0.0007038677098878342,0.3172,false
m12_joint_hybrid_synergy_grw,m05_joint_grw_raw,BTTS,356,178,0.003171232680747633,-0.00039307165285920923,0.006696978724065608,0.0388,false
