environment,policy,model,level,group,n_bets,win_rate_pct,roi_pct,stake_share_pct,edge_mean_pp,odds_mean,capture_ratio
close,+BTTS_no,m05_joint_grw_smile_supremacy_w040,family,BTTS_btts_no,53,39.62264150943396,-7.700312376765039,1.538698261114114,2.544939977697782,2.3620445869193807,1.0417076248343224
close,+all_unders,m05_joint_grw_smile_supremacy_w040,family,O/U 0.5_under_05,53,3.7735849056603774,-41.41616397850884,0.3720844178196885,4.165881615016789,18.062032647772746,0.8616730885031494
close,+all_unders,m05_joint_grw_smile_supremacy_w040,family,O/U 1.5_under_15,93,19.35483870967742,14.324341033713974,1.6870497880420803,3.7264612567834483,5.069184847185567,1.2413349866298866
close,+all_unders,m05_joint_grw_smile_supremacy_w040,family,O/U 3.5_under_35,88,64.77272727272727,1.9913436827138238,4.503137298147259,2.4753827509587234,1.5630180616453446,1.0760218600536795
close,+all_unders,m05_joint_grw_smile_supremacy_w040,family,O/U 4.5_under_45,31,93.54838709677419,21.66601097483744,1.8140153064690223,-0.2447038442006519,1.2505435446532727,NaN
close,+all_fringe,m05_joint_grw_smile_supremacy_w040,family,BTTS_btts_no,53,39.62264150943396,-7.49590772141464,1.307024164761335,2.544939977697782,2.3620445869193807,1.0417076248343224
close,+all_fringe,m05_joint_grw_smile_supremacy_w040,family,BTTS_btts_yes,62,51.61290322580645,-0.049540452087799856,2.70357432857079,1.7810922596246028,1.8677647985450307,0.8135740525803806
close,+all_fringe,m05_joint_grw_smile_supremacy_w040,family,O/U 0.5_under_05,53,3.7735849056603774,-41.76903828358361,0.33481708506417485,4.165881615016789,18.062032647772746,0.8616730885031494
close,+all_fringe,m05_joint_grw_smile_supremacy_w040,family,O/U 1.5_under_15,93,19.35483870967742,13.963165758916444,1.5122541839073287,3.7264612567834483,5.069184847185567,1.2413349866298866
close,+all_fringe,m05_joint_grw_smile_supremacy_w040,family,O/U 2.5_over_25,73,50.68493150684932,18.77775868305387,2.824245780752215,3.789467427688758,2.1057297697124953,0.9938953405905101
close,+all_fringe,m05_joint_grw_smile_supremacy_w040,family,O/U 3.5_over_35,95,27.368421052631582,-5.670298172730487,2.4296467536657467,3.8868829506808784,3.7083622639987897,1.0551376756659776
close,+all_fringe,m05_joint_grw_smile_supremacy_w040,family,O/U 3.5_under_35,88,64.77272727272727,2.3864992473204674,4.000041754702282,2.4753827509587234,1.5630180616453446,1.0760218600536795
