replicate,pearson_x2,dispersion
424,3966.865183858288,1.0132478119689114
425,3961.911453812174,1.0119824913951914
426,4003.910945600114,1.0227103309323406
427,3883.6051836039014,0.9919808898094257
428,3924.529967997718,1.0024342191565052
429,3979.3231333588255,1.0164299191210282
430,4031.6644992643264,1.0297993612424845
431,3908.4334263448345,0.9983227142643255
432,3755.2504491784894,0.9591955170315426
433,3811.212096610656,0.9734896798494651
434,3931.1632647192127,1.0041285478209994
435,4003.10086015905,1.0225034125565902
436,4034.9794872433613,1.0306461014670143
437,3889.5001216313262,0.9934866211063413
438,3853.6133914734205,0.9843201510787792
439,4031.6058016494226,1.0297843682374004
440,3984.8399393913674,1.017839064978638
441,3889.8004115461044,0.9935633235111377
442,4059.2264657936207,1.036839454864271
443,3918.5654204935045,1.000910707661176
444,3886.777979466553,0.9927913102085704
445,3714.7029713561406,0.9488385622876476
446,3822.025395849025,0.9762516975348723
447,3931.869522034669,1.0043089456027252
448,3787.5761797089644,0.967452408610208
449,3830.9225950010477,0.9785242899108679
450,3969.6567153610677,1.0139608468355217
451,3836.6844797646754,0.9799960356997893
452,3910.49851547874,0.9988501955245824
453,4020.029076404984,1.0268273502950152
454,3912.094384157027,0.9992578248166097
455,3882.8824387563627,0.9917962806529662
456,4006.633093476138,1.0234056432889242
457,3967.050109222081,1.0132950470554485
458,4005.1951639446543,1.0230383560522744
459,3882.484540895559,0.99169464646119
460,3882.0330535424464,0.9915793240210591
461,3904.6542075955076,0.9973573965761194
462,3777.0678017964683,0.964768276320937
463,3934.711786077645,1.0050349389725786
464,3939.8821240061843,1.0063555872301875
465,3855.5136333774153,0.9848055257669005
466,3739.265489429513,0.9551125132642434
467,3847.259606636344,0.9826972175316332
468,3913.782478578465,0.9996890111311533
469,3793.812255604151,0.9690452760163859
470,4018.6467870563456,1.0264742751101776
471,4000.7783448725377,1.0219101774897925
472,3943.5574063090976,1.0072943566562191
473,3871.8565628261817,0.9889799649619877
474,4083.1749744484337,1.0429565707403408
475,3964.02876320855,1.0125233111643805
476,3847.117345316031,0.9826608800296375
477,3992.36031721273,1.0197599788538263
478,3865.2336210191334,0.9872882812309408
479,3838.090513546831,0.9803551758740309
480,3911.859315058853,0.9991977816242281
481,3883.675160045542,0.9919987637408791
482,3785.7119555539416,0.9669762338579672
483,4103.167228397619,1.0480631490159946
484,3896.395646198278,0.995247930063417
485,4027.144426539602,1.028644808822376
486,4032.585609121324,1.0300346383451657
487,3829.5913275827616,0.9781842471475763
488,4087.460547466973,1.0440512254066343
489,3975.35667978953,1.0154167764468787
490,3940.003685280935,1.0063866373642234
491,3766.418312633654,0.9620481002895668
492,3963.512565304818,1.012391459847974
493,3789.1232224112696,0.9678475663885746
494,3877.680134390756,0.9904674672773323
495,4086.4199696471414,1.0437854328600618
496,3992.2690772105325,1.0197366736169942
497,3847.879468676997,0.9828555475547885
498,3910.414461129757,0.9988287257036417
499,3787.384166070143,0.9674033629808794
500,4042.5370536510336,1.0325765143425374
501,3985.02164753901,1.0178854782985975
502,3936.081097099739,1.0053846991314788
503,3763.057279456255,0.961189598839401
504,3984.9035713591375,1.0178553183548245
505,3943.0580937092777,1.007166818316546
506,3942.6214965449135,1.0070552992451887
507,3958.166169295698,1.0110258414548399
508,3960.027302503168,1.0115012266930186
509,3862.120705194518,0.9864931558606687
510,3865.5000257296815,0.9873563284111575
511,3889.356306054845,0.9934498866040472
512,3804.8673402992135,0.971869052439135
513,3784.616080611763,0.966696316886785
514,3910.7768202691777,0.9989212823165204
515,3807.622895763178,0.9725728980238002
516,3915.8330769773934,1.000212791054251
517,3901.322454450173,0.9965063740613469
518,3999.3711164489455,1.0215507321708672
519,3868.630311052633,0.9881558904348998
520,3925.1073283996648,1.00258169307782
521,4067.505167686998,1.0389540658204337
522,4082.124940525876,1.0426883628418584
523,3796.072371330659,0.9696225724982526
524,3908.7077608258796,0.9983927869287049
525,3873.025603480378,0.9892785704930722
526,4069.5611984019724,1.0394792333082943
527,4013.413697450723,1.0251375983271322
528,3906.4962769741583,0.9978279123816496
529,3886.392252691804,0.9926927848510355
530,3816.780321125253,0.9749119594189662
531,4043.8402956778086,1.0329093986405642
532,3962.5164060963316,1.0121370130514258
533,4076.732175281606,1.0413109004550718
534,3866.9795624181793,0.9877342432741198
535,3904.6855641244065,0.9973654059066173
536,3856.8117492044908,0.9851371006908022
537,4111.906815277056,1.0502954828293884
538,3906.4210019996535,0.9978086850573827
539,3889.077244234263,0.9933786064455333
540,3941.8801600169363,1.0068659412559224
541,3821.3563026929955,0.9760807925141751
542,3955.6963958184156,1.0103949925462108
543,4054.254322510043,1.035569431037048
544,4023.9100962702996,1.027818670822554
545,3776.9659631033646,0.9647422638833626
546,3909.3922361515524,0.9985676209837937
547,3953.277752189956,1.0097772036245098
548,3808.133502571798,0.9727033212188501
549,3877.163242646213,0.9903354387346649
550,3905.7397823470587,0.9976346825918413
551,3925.562609225153,1.0026979844764121
552,3863.1588392499684,0.9867583242017799
553,3745.860290139091,0.9567970089755021
554,4056.384929123701,1.0361136472857475
555,3849.7988336951353,0.9833458068186808
556,3837.288672866795,0.9801503634397943
557,3910.6534922241813,0.998889780900174
558,3801.93430689441,0.9711198740471034
559,3897.7936790363096,0.99560502657377
560,4058.7211965812126,1.036710395039901
561,3864.7911954074825,0.9871752734118729
562,3948.487296574475,1.0085535878862004
563,4157.483410285766,1.0619370141215239
564,4005.0349078605027,1.0229974221865907
565,3821.5402589967434,0.9761277800757965
566,4073.399202509451,1.040459566413653
567,3787.616938461186,0.9674628195303157
568,3903.8463151140404,0.9971510383433053
569,3831.852721003742,0.9787618699881844
570,3888.9799281627234,0.9933537492114236
571,3773.497896419612,0.9638564230956863
572,4040.0095245665684,1.0319309130438235
573,4118.60661258566,1.0520067975953153
574,3860.3478433691002,0.9860403175910857
575,4087.7044357706172,1.044113521269634
576,3769.6211366790412,0.9628661907226159
577,3957.060556741623,1.010743437226468
578,3907.0477485402243,0.9979687735734928
579,3969.404726297621,1.01389648181293
580,3949.354515267716,1.0087750996852405
581,3830.827944473016,0.9785001135307831
582,3852.809372318649,0.9841147822014429
583,3949.8817041678667,1.0089097584081397
584,4084.0478804429376,1.0431795352344668
585,3881.6003093594627,0.9914687891084196
586,3807.1155204484403,0.972443300242258
587,3844.9324415886376,0.9821027947863697
588,4068.9389988854837,1.0393203062287315
589,3777.4955098097953,0.9648775248556309
590,3882.243681738347,0.9916331243265254
591,3816.175518683438,0.9747574760366381
592,3938.2744808253174,1.0059449504023799
593,3892.2357461006072,0.994185375760053
594,3920.1265478778796,1.0013094630594839
595,3849.6770204722243,0.9833146923300701
596,3892.659273218169,0.9942935563775654
597,3878.22362318881,0.9906062894479719
598,3975.072207219465,1.0153441142323028
599,3974.8567448627814,1.0152890791475815
600,3899.046277887208,0.9959249751946891
601,3749.5946480091898,0.9577508679461532
602,3779.29448601937,0.965337033465995
603,3838.2961396974333,0.9804076985178629
604,3877.89411977649,0.9905221251025517
605,3948.5108322880315,1.0085595995627155
606,3906.0205175827996,0.9977063901871774
607,3952.3232493409746,1.0095333970219602
608,3834.7454976072895,0.97950076567236
609,3911.4612349467843,0.9990961008804047
610,3884.9344365926704,0.9923204180313334
611,3857.137589683334,0.9852203294210304
612,3998.4098581516487,1.0213052000387353
613,3828.90287316928,0.9780083967226769
614,3745.956545780668,0.9568215953462753
615,3847.4534104439863,0.9827467204199198
616,3786.0375356213212,0.9670593960718573
617,3840.1672868626742,0.9808856415996614
618,3718.952633220475,0.949924044245332
