y,pressure,home,season,division,history_matches,pressure_z
0,0.5,1,20/21,56,6,-2.717660314373407
0,1.25,0,20/21,56,8,0.0740926745408968
0,1.5555555555555556,1,20/21,56,9,1.211473521876354
0,0.42857142857142855,0,20/21,56,7,-2.9835415514128645
0,1.875,1,20/21,57,8,2.40055349863615
0,0.875,0,20/21,57,8,-1.321783819916255
0,1.1428571428571428,1,20/21,56,7,-0.3247291810182897
0,1.625,0,20/21,56,8,1.4699691689980487
0,1.2222222222222223,1,20/21,56,9,-0.02930558430778076
0,0.8888888888888888,0,20/21,56,9,-1.2700846904919163
0,0.4444444444444444,1,20/21,56,9,-2.924456832070763
1,0.375,0,20/21,56,8,-3.1829524791924575
0,0.8571428571428571,1,20/21,56,7,-1.3882541291761197
0,1.25,0,20/21,56,8,0.0740926745408968
0,0.8,1,20/21,56,10,-1.6009591188076853
0,1.5,0,20/21,56,8,1.004677004178998
0,1.5555555555555556,1,20/21,56,9,1.211473521876354
0,1.4,0,20/21,56,10,0.6324432723237572
0,0.7777777777777778,1,20/21,57,9,-1.6836777258866278
0,0.75,0,20/21,57,8,-1.7870759847353057
0,1.875,1,20/21,57,8,2.40055349863615
0,1.7777777777777777,0,20/21,57,9,2.038659592665777
0,1.375,1,20/21,57,8,0.5393848393599474
0,0.8333333333333334,0,20/21,57,6,-1.476881208189272
0,1.375,1,20/21,57,8,0.5393848393599474
0,0.625,0,20/21,57,8,-2.252368149554356
0,1.8571428571428572,1,20/21,57,7,2.334083189376286
0,2.2222222222222223,0,20/21,57,9,3.693031734244624
0,0.6666666666666666,1,20/21,56,9,-2.0972707612813397
0,1.2,0,20/21,56,10,-0.11202419138672362
0,1.6,1,20/21,57,10,1.376910736034239
0,0.5555555555555556,0,20/21,57,9,-2.510863796676051
0,0.7142857142857143,1,20/21,57,7,-1.9200166032550343
0,2.2,0,20/21,57,10,3.610313127165682
0,1.3333333333333333,1,20/21,56,9,0.3842874510869303
0,0.7,0,20/21,56,10,-1.9731928506629262
0,0.4,1,20/21,56,10,-3.0898940462286473
0,0.8181818181818182,0,20/21,56,11,-1.5332802584703689
0,0.3333333333333333,1,20/21,56,9,-3.338049867465475
0,1.6,0,20/21,56,10,1.376910736034239
0,1.2727272727272727,1,20/21,56,11,0.15869124996254227
0,0.875,0,20/21,56,8,-1.321783819916255
0,1.4444444444444444,1,20/21,56,9,0.7978804864816421
0,1.1818181818181819,0,20/21,56,11,-0.1797030517240397
0,0.75,1,20/21,57,8,-1.7870759847353057
0,0.7,0,20/21,57,10,-1.9731928506629262
0,0.5,1,20/21,57,10,-2.717660314373407
0,1.8888888888888888,0,20/21,57,9,2.4522526280604886
0,0.6666666666666666,1,20/21,57,9,-2.0972707612813397
0,1.6363636363636365,0,20/21,57,11,1.5122684567088718
0,1.75,1,20/21,57,8,1.9352613338170994
0,1.3333333333333333,0,20/21,57,9,0.3842874510869303
0,2.1818181818181817,1,20/21,57,11,3.5426342668283644
0,1.4444444444444444,0,20/21,57,9,0.7978804864816421
0,0.7,1,20/21,57,10,-1.9731928506629262
0,2.25,0,20/21,57,12,3.7964299930933016
0,1.3333333333333333,1,20/21,56,12,0.3842874510869303
0,1.3,0,20/21,56,10,0.2602095404685172
0,0.7777777777777778,1,20/21,57,9,-1.6836777258866278
0,1.9,0,20/21,57,10,2.49361193159996
0,0.45454545454545453,1,20/21,57,11,-2.886857465216698
0,1.6666666666666667,0,20/21,57,9,1.6250665572710659
0,1.6363636363636365,1,20/21,56,11,1.5122684567088718
0,0.36363636363636365,0,20/21,56,11,-3.2252517669032805
0,1.0,1,20/21,56,11,-0.8564916550972045
0,0.3,0,20/21,56,10,-3.4621277780838877
0,1.0833333333333333,1,20/21,56,12,-0.546296878551171
0,1.4,0,20/21,56,10,0.6324432723237572
0,1.3,1,20/21,57,10,0.2602095404685172
0,1.4,0,20/21,57,10,0.6324432723237572
0,0.8333333333333334,1,20/21,56,12,-1.476881208189272
0,1.0,0,20/21,56,9,-0.8564916550972045
0,0.4166666666666667,1,20/21,56,12,-3.0278550909194406
0,1.2727272727272727,0,20/21,56,11,0.15869124996254227
0,1.1818181818181819,1,20/21,56,11,-0.1797030517240397
0,1.1,0,20/21,56,10,-0.48425792324196365
0,0.7272727272727273,1,20/21,57,11,-1.8716745601569513
0,1.6,0,20/21,57,10,1.376910736034239
0,0.7272727272727273,1,20/21,57,11,-1.8716745601569513
0,0.7,0,20/21,57,10,-1.9731928506629262
1,2.0,1,20/21,57,11,2.8658456634552008
0,1.2727272727272727,0,20/21,57,11,0.15869124996254227
0,0.38461538461538464,1,20/21,56,13,-3.1471607742063767
0,1.4615384615384615,0,20/21,56,13,0.8615101842346745
0,1.25,1,20/21,56,12,0.0740926745408968
0,1.5833333333333333,0,20/21,56,12,1.3148717807250316
0,1.0,1,20/21,56,11,-0.8564916550972045
0,1.1538461538461537,0,20/21,56,13,-0.2838243753199118
0,1.1666666666666667,1,20/21,56,12,-0.23610210200513668
0,1.0833333333333333,0,20/21,56,12,-0.546296878551171
0,0.45454545454545453,1,20/21,56,11,-2.886857465216698
0,0.7692307692307693,0,20/21,56,13,-1.715492574763144
0,2.3076923076923075,1,20/21,57,13,4.011180223009786
0,0.6666666666666666,0,20/21,57,12,-2.0972707612813397
0,0.5,1,20/21,57,12,-2.717660314373407
0,1.2727272727272727,0,20/21,57,11,0.15869124996254227
0,1.8333333333333333,1,20/21,57,12,2.2454561103631328
0,0.6666666666666666,0,20/21,57,12,-2.0972707612813397
0,1.1666666666666667,1,20/21,57,12,-0.23610210200513668
0,0.6363636363636364,0,20/21,57,11,-2.2100688618435336
0,1.7272727272727273,1,20/21,57,11,1.8506627583954538
0,1.5833333333333333,0,20/21,57,12,1.3148717807250316
0,1.25,1,20/21,57,12,0.0740926745408968
0,0.6153846153846154,0,20/21,57,13,-2.288159854540437
0,1.0,1,20/21,56,12,-0.8564916550972045
0,0.5,0,20/21,56,12,-2.717660314373407
0,0.35714285714285715,1,20/21,56,14,-3.2494227884523217
0,1.1538461538461537,0,20/21,56,13,-0.2838243753199118
0,0.7857142857142857,1,20/21,56,14,-1.654135366215577
0,1.1538461538461537,0,20/21,56,13,-0.2838243753199118
0,1.1428571428571428,1,20/21,56,14,-0.3247291810182897
0,0.4666666666666667,0,20/21,56,15,-2.8417382249918206
1,1.3571428571428572,1,20/21,56,14,0.4729145301000833
2,1.2307692307692308,0,20/21,56,13,0.0025092645687354127
0,0.46153846153846156,1,20/21,56,13,-2.8608271343177303
0,1.1428571428571428,0,20/21,56,14,-0.3247291810182897
0,1.5384615384615385,1,20/21,56,13,1.1478438241233215
0,1.1538461538461537,0,20/21,56,13,-0.2838243753199118
0,1.4615384615384615,1,20/21,57,13,0.8615101842346745
0,2.2142857142857144,0,20/21,57,14,3.6634893745735737
0,1.2307692307692308,1,20/21,57,13,0.0025092645687354127
0,1.9230769230769231,0,20/21,57,13,2.5795120235665543
0,0.5714285714285714,1,20/21,57,14,-2.4517790773339496
0,1.75,0,20/21,57,12,1.9352613338170994
0,0.5384615384615384,1,20/21,57,13,-2.574493494429084
0,0.6666666666666666,0,20/21,57,12,-2.0972707612813397
0,1.2857142857142858,1,20/21,56,14,0.2070332930606259
0,1.1428571428571428,0,20/21,56,14,-0.3247291810182897
1,1.1428571428571428,1,20/21,56,14,-0.3247291810182897
0,0.5,0,20/21,56,14,-2.717660314373407
0,0.9230769230769231,1,20/21,57,13,-1.1428252949858508
0,0.6,0,20/21,57,15,-2.3454265825181664
0,1.1428571428571428,1,20/21,57,14,-0.3247291810182897
0,1.6153846153846154,0,20/21,57,13,1.434177464011968
0,1.0769230769230769,1,20/21,57,13,-0.5701580152085581
0,1.3571428571428572,0,20/21,57,14,0.4729145301000833
0,2.1333333333333333,1,20/21,57,15,3.3621573059288545
0,0.6428571428571429,0,20/21,57,14,-2.185897840294492
0,2.0,1,20/21,57,14,2.8658456634552008
0,0.6153846153846154,0,20/21,57,13,-2.288159854540437
0,1.3333333333333333,1,20/21,56,15,0.3842874510869303
0,1.3333333333333333,0,20/21,56,15,0.3842874510869303
0,1.0666666666666667,1,20/21,56,15,-0.6083358338603775
0,0.4375,0,20/21,56,16,-2.950306396782932
0,1.3333333333333333,1,20/21,57,15,0.3842874510869303
0,1.2,0,20/21,57,15,-0.11202419138672362
0,1.1333333333333333,1,20/21,56,15,-0.3601800126235506
0,1.5714285714285714,0,20/21,56,14,1.2705582412184555
0,1.2,1,20/21,56,15,-0.11202419138672362
0,0.7333333333333333,0,20/21,56,15,-1.8491149400445126
0,1.5,1,20/21,57,14,1.004677004178998
1,0.8571428571428571,0,20/21,57,14,-1.3882541291761197
0,2.125,1,20/21,57,16,3.3311378282742514
0,1.9333333333333333,0,20/21,57,15,2.6176898422183736
0,0.5625,1,20/21,57,16,-2.4850142319638815
0,1.0,0,20/21,57,14,-0.8564916550972045
0,0.5714285714285714,1,20/21,57,14,-2.4517790773339496
0,0.6666666666666666,0,20/21,57,15,-2.0972707612813397
0,1.2,1,20/21,56,15,-0.11202419138672362
0,1.25,0,20/21,56,16,0.0740926745408968
1,1.25,1,20/21,56,16,0.0740926745408968
0,1.1875,0,20/21,56,16,-0.1585534078686285
0,0.5333333333333333,1,20/21,56,15,-2.5935824037549935
0,1.0,0,20/21,56,16,-0.8564916550972045
0,0.75,1,20/21,56,16,-1.7870759847353057
0,1.4666666666666666,0,20/21,56,15,0.8805990935605842
0,0.47058823529411764,1,20/21,56,17,-2.8271408237425955
0,1.5625,0,20/21,56,16,1.2373230865885234
0,0.7333333333333333,1,20/21,57,15,-1.8491149400445126
0,1.125,0,20/21,57,16,-0.3911994902781538
0,2.0,1,20/21,57,16,2.8658456634552008
0,1.5333333333333334,0,20/21,57,15,1.1287549147974119
0,0.625,1,20/21,57,16,-2.252368149554356
0,0.5882352941176471,0,20/21,57,17,-2.389218786265842
0,1.2,1,20/21,57,15,-0.11202419138672362
0,2.1176470588235294,0,20/21,57,17,3.3037677009319544
0,1.0666666666666667,1,20/21,57,15,-0.6083358338603775
0,1.5,0,20/21,57,16,1.004677004178998
0,1.1176470588235294,1,21/22,56,17,-0.41856961762045086
