match_id,tournament_id,season,match_date,home_team,away_team,overall_home,overall_away,non_penalty_non_own_goal_home,non_penalty_non_own_goal_away,penalty_goal_home,penalty_goal_away,penalty_awarded_home,penalty_awarded_away,penalty_missed_home,penalty_missed_away,own_goal_home,own_goal_away,usable_for_components,quarantine_reason,referee,referee_name,referee_id,referee_present,sofascore_referee_present
8824085,57,20/21,2020-11-28T15:00:00+00:00,elgin-city,cowdenbeath,5,2,5,2,0,0,0,0,0,0,0,0,true,,Gavin Ross,Gavin Ross,ep76888edvvweefbdirvpfmj9,true,false
8824086,57,20/21,2020-11-28T15:00:00+00:00,brechin-city,stranraer,1,4,1,4,0,0,0,0,0,0,0,0,true,,Steven Reid,Steven Reid,3zu5nxywlbxjpwazsvktn6tat,true,false
8824095,56,20/21,2020-11-28T15:00:00+00:00,peterhead,forfar-athletic,0,1,0,1,0,0,0,0,0,0,0,0,true,,Chris Graham,Chris Graham,j8g304sx1bb6gdsqflnnx711,true,false
8824097,56,20/21,2020-11-28T15:00:00+00:00,montrose,partick-thistle,0,1,0,1,0,0,0,0,0,0,0,0,true,,Kevin Graham,Kevin Graham,6sdr8stbqiaqo6uahg2yd5cr9,true,false
8824107,56,20/21,2020-11-28T15:00:00+00:00,airdrieonians,cove-rangers,1,1,1,1,0,0,0,0,0,0,0,0,true,,Graham Grainger,Graham Grainger,9k3hqjvkmo76ie1hf24h5tnf9,true,false
8824204,57,20/21,2020-11-28T15:00:00+00:00,queens-park-fc,stenhousemuir,3,1,3,1,0,0,0,0,0,0,0,0,true,,David Lowe,David Lowe,8j68r4kmdypfbbdem779m7kl,true,false
8824079,56,20/21,2020-12-05T15:00:00+00:00,partick-thistle,dumbarton,0,0,0,0,0,0,1,0,1,0,0,0,true,,David Lowe,David Lowe,8j68r4kmdypfbbdem779m7kl,true,false
8824082,56,20/21,2020-12-05T15:00:00+00:00,falkirk-fc,peterhead,2,1,0,1,0,0,0,0,0,0,0,0,false,component_total_mismatch;unclassified_goal,Peter Stuart,Peter Stuart,9dgds61vqncdtk8t34o2xzmc5,true,false
8824087,56,20/21,2020-12-05T15:00:00+00:00,east-fife,airdrieonians,2,0,2,0,0,0,0,0,0,0,0,0,true,,Scott Lambie,Scott Lambie,dzranvufdfmhfamhzvzt6aok5,true,false
8824089,56,20/21,2020-12-05T15:00:00+00:00,cove-rangers,montrose,1,2,1,1,0,1,0,1,0,0,0,0,true,,Lloyd Wilson,Lloyd Wilson,mb39kmc5hg5dahpssor662mt,true,false
