match_id,referee,referee_name,referee_id,overall_home,overall_away,flat_non_penalty_non_own_goal_home,flat_non_penalty_non_own_goal_away,flat_penalty_goals_home,flat_penalty_goals_away,flat_penalty_awarded_home,flat_penalty_awarded_away,flat_own_goals_credited_home,flat_own_goals_credited_away,component_usable_mask,component_quarantine_reason,home_pressure,away_pressure,home_history_matches,away_history_matches
8824160,Graham Grainger,Graham Grainger,9k3hqjvkmo76ie1hf24h5tnf9,1,1,0,0,1,1,1,1,0,0,true,,1.0,1.75,8,8
9242606,Matthew McDermid,Matthew McDermid,ef201gyzs03xy93ixiul2ums5,0,0,0,0,0,0,0,0,0,0,true,,0.7142857142857143,1.0,7,7
8824194,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,0,0,0,0,0,0,0,0,0,0,true,,1.8571428571428572,0.75,7,8
8824154,Grant Irvine,Grant Irvine,jpxnj3ldprjwce3a2be0yqxh,2,4,2,4,0,0,0,0,0,0,true,,0.6666666666666666,1.1428571428571428,6,7
8824183,David Lowe,David Lowe,8j68r4kmdypfbbdem779m7kl,0,1,0,1,0,0,0,0,0,0,true,,0.5,1.25,6,8
8824178,Scott Lambie,Scott Lambie,dzranvufdfmhfamhzvzt6aok5,0,0,0,0,0,0,0,0,0,0,true,,1.5555555555555556,0.42857142857142855,9,7
8824191,Kevin Graham,Kevin Graham,6sdr8stbqiaqo6uahg2yd5cr9,2,0,1,0,1,0,1,0,0,0,true,,1.875,0.875,8,8
8824192,Graham Beaton,Graham Beaton,bxvet3x1qjc6n0o20o7h28uz9,2,1,2,1,0,0,0,0,0,0,true,,1.1428571428571428,1.625,7,8
8824212,Peter Stuart,Peter Stuart,9dgds61vqncdtk8t34o2xzmc5,1,0,1,0,0,0,0,0,0,0,true,,1.2222222222222223,0.8888888888888888,9,9
9398797,Kevin Graham,Kevin Graham,6sdr8stbqiaqo6uahg2yd5cr9,0,1,0,0,0,0,0,0,0,1,true,,0.4444444444444444,0.375,9,8
9398799,Chris Graham,Chris Graham,j8g304sx1bb6gdsqflnnx711,1,3,1,3,0,0,0,0,0,0,true,,0.8571428571428571,1.25,7,8
9398848,Steven Kirkland,Steven Kirkland,8eqxby1ierpiog6g3sh955iad,1,0,1,0,0,0,0,0,0,0,true,,0.8,1.5,10,8
9398852,Gavin Duncan,Gavin Duncan,a5gognfw3xn5vhcko162iq7yt,2,0,2,0,0,0,0,0,0,0,true,,1.5555555555555556,1.4,9,10
9398868,Gavin Ross,Gavin Ross,ep76888edvvweefbdirvpfmj9,0,0,0,0,0,0,0,0,0,0,true,,0.7777777777777778,0.75,9,8
9398869,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,3,0,2,0,1,0,1,0,0,0,true,,1.875,1.7777777777777777,8,9
9398874,Lloyd Wilson,Lloyd Wilson,mb39kmc5hg5dahpssor662mt,2,0,2,0,0,0,0,0,0,0,true,,1.375,0.8333333333333334,8,6
9398879,Barry Cook,Barry Cook,jk80yb2y248j814k94zqvrv9,1,0,1,0,0,0,0,0,0,0,true,,1.375,0.625,8,8
9400336,David Lowe,David Lowe,8j68r4kmdypfbbdem779m7kl,1,2,1,2,0,0,0,0,0,0,true,,1.8571428571428572,2.2222222222222223,7,9
9400352,Steven Reid,Steven Reid,3zu5nxywlbxjpwazsvktn6tat,1,1,1,1,0,0,0,0,0,0,true,,0.6666666666666666,1.2,9,10
9398878,Kevin Graham,Kevin Graham,6sdr8stbqiaqo6uahg2yd5cr9,2,0,2,0,0,0,0,0,0,0,true,,1.6,0.5555555555555556,10,9
9398877,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,1,2,1,2,0,0,0,0,0,0,true,,0.7142857142857143,2.2,7,10
9398850,Craig Napier,Craig Napier,21moh7ea3ftia3jkdb6pvimdx,2,4,2,4,0,0,0,0,0,0,true,,1.3333333333333333,0.7,9,10
9398851,Chris Graham,Chris Graham,j8g304sx1bb6gdsqflnnx711,0,1,0,1,0,0,0,0,0,0,true,,0.4,0.8181818181818182,10,11
9398853,Steven Reid,Steven Reid,3zu5nxywlbxjpwazsvktn6tat,0,2,0,2,0,0,0,0,0,0,true,,0.3333333333333333,1.6,9,10
9398854,Alan Newlands,Alan Newlands,8dzc0favgeocs0qf3qjvxkhxx,2,2,2,2,0,0,0,0,0,0,true,,1.2727272727272727,0.875,11,8
9398855,Mike Roncone,Mike Roncone,4oyle92nqzmfq1vj2ff0rh68l,0,0,0,0,0,0,0,1,0,0,true,,1.4444444444444444,1.1818181818181819,9,11
9398900,Matthew McDermid,Matthew McDermid,ef201gyzs03xy93ixiul2ums5,1,1,1,1,0,0,0,0,0,0,true,,0.75,0.7,8,10
9398901,Peter Stuart,Peter Stuart,9dgds61vqncdtk8t34o2xzmc5,0,2,0,2,0,0,0,0,0,0,true,,0.5,1.8888888888888888,10,9
9398908,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,1,1,1,1,0,0,0,0,0,0,true,,0.6666666666666666,1.6363636363636365,9,11
9398946,Grant Irvine,Grant Irvine,jpxnj3ldprjwce3a2be0yqxh,1,1,1,1,0,0,0,0,0,0,true,,1.75,1.3333333333333333,8,9
9412789,Graham Grainger,Graham Grainger,9k3hqjvkmo76ie1hf24h5tnf9,3,1,3,1,0,0,0,0,0,0,true,,2.1818181818181817,1.4444444444444444,11,9
9422569,Matthew McDermid,Matthew McDermid,ef201gyzs03xy93ixiul2ums5,1,3,1,3,0,0,0,0,0,0,true,,0.7,2.25,10,12
9422570,Scott Lambie,Scott Lambie,dzranvufdfmhfamhzvzt6aok5,3,0,3,0,0,0,0,0,0,0,true,,1.3333333333333333,1.3,12,10
9422571,David Dickinson,David Dickinson,bsgoa7pyamnu6flsgyt6eut3p,0,3,0,3,0,0,0,0,0,0,true,,0.7777777777777778,1.9,9,10
9422572,Calum Scott,Calum Scott,4pd0cg3g2g69d4rk8cpecp0wl,1,2,1,1,0,1,0,1,0,0,true,,0.45454545454545453,1.6666666666666667,11,9
9422573,Steven Kirkland,Steven Kirkland,8eqxby1ierpiog6g3sh955iad,1,1,1,1,0,0,0,0,0,0,true,,1.6363636363636365,0.36363636363636365,11,11
9422574,David Lowe,David Lowe,8j68r4kmdypfbbdem779m7kl,2,2,2,2,0,0,0,0,0,0,true,,1.0,0.3,11,10
9422575,Peter Stuart,Peter Stuart,9dgds61vqncdtk8t34o2xzmc5,2,0,2,0,0,0,0,0,0,0,true,,1.0833333333333333,1.4,12,10
9422584,Graham Grainger,Graham Grainger,9k3hqjvkmo76ie1hf24h5tnf9,1,0,1,0,0,0,0,0,0,0,true,,1.3,1.4,10,10
9422585,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,0,2,0,2,0,0,0,0,0,0,true,,0.8333333333333334,1.0,12,9
9424877,Gavin Ross,Gavin Ross,ep76888edvvweefbdirvpfmj9,0,1,0,1,0,0,0,0,0,0,true,,0.4166666666666667,1.2727272727272727,12,11
9424878,Barry Cook,Barry Cook,jk80yb2y248j814k94zqvrv9,1,0,1,0,0,0,0,0,0,0,true,,1.1818181818181819,1.1,11,10
9424884,Steven Reid,Steven Reid,3zu5nxywlbxjpwazsvktn6tat,0,3,0,3,0,0,0,0,0,0,true,,0.7272727272727273,1.6,11,10
9424885,Kevin Graham,Kevin Graham,6sdr8stbqiaqo6uahg2yd5cr9,0,1,0,0,0,1,0,1,0,0,true,,0.7272727272727273,0.7,11,10
9424886,Dan McFarlane,Dan McFarlane,ce99qkhcskrwsmvjxire8u1d6,1,0,0,0,0,0,0,0,1,0,true,,2.0,1.2727272727272727,11,11
9424879,Calum Scott,Calum Scott,4pd0cg3g2g69d4rk8cpecp0wl,0,0,0,0,0,0,0,0,0,0,true,,0.38461538461538464,1.4615384615384615,13,13
9424880,Colin Steven,Colin Steven,byb55tj0n1soxr5kb1eyi3qvp,2,1,1,1,1,0,1,1,0,0,true,,1.25,1.5833333333333333,12,12
9424881,Matthew McDermid,Matthew McDermid,ef201gyzs03xy93ixiul2ums5,1,1,1,1,0,0,0,0,0,0,true,,1.0,1.1538461538461537,11,13
9424882,David Dickinson,David Dickinson,bsgoa7pyamnu6flsgyt6eut3p,2,2,1,2,1,0,1,0,0,0,true,,1.1666666666666667,1.0833333333333333,12,12
9424883,Alan Newlands,Alan Newlands,8dzc0favgeocs0qf3qjvxkhxx,1,1,1,1,0,0,0,1,0,0,true,,0.45454545454545453,0.7692307692307693,11,13
9424888,Gavin Ross,Gavin Ross,ep76888edvvweefbdirvpfmj9,1,1,1,0,0,1,0,1,0,0,true,,2.3076923076923075,0.6666666666666666,13,12
9424896,Scott Lambie,Scott Lambie,dzranvufdfmhfamhzvzt6aok5,1,1,1,1,0,0,0,1,0,0,true,,0.5,1.2727272727272727,12,11
9424898,Stewart Luke,Stewart Luke,ebe4evu4jimqxiodq4bwudjah,3,0,3,0,0,0,0,0,0,0,true,,1.8333333333333333,0.6666666666666666,12,12
9424907,Chris Graham,Chris Graham,j8g304sx1bb6gdsqflnnx711,1,1,0,1,1,0,1,1,0,0,true,,1.1666666666666667,0.6363636363636364,12,11
9424887,Peter Stuart,Peter Stuart,9dgds61vqncdtk8t34o2xzmc5,2,1,2,0,0,1,0,2,0,0,true,,1.7272727272727273,1.5833333333333333,11,12
9431750,Lorraine Watson,Lorraine Watson,35t8tzl9dfc9dsno4y3ezmc8a,1,0,1,0,0,0,0,0,0,0,true,,1.25,0.6153846153846154,12,13
9434155,Graham Grainger,Graham Grainger,9k3hqjvkmo76ie1hf24h5tnf9,3,0,3,0,0,0,0,0,0,0,true,,1.0,0.5,12,12
9434156,Barry Cook,Barry Cook,jk80yb2y248j814k94zqvrv9,2,1,2,1,0,0,1,0,0,0,true,,0.35714285714285715,1.1538461538461537,14,13
9431707,Kevin Graham,Kevin Graham,6sdr8stbqiaqo6uahg2yd5cr9,0,3,0,3,0,0,0,0,0,0,true,,0.7857142857142857,1.1538461538461537,14,13
9431708,David Lowe,David Lowe,8j68r4kmdypfbbdem779m7kl,1,0,1,0,0,0,0,0,0,0,true,,1.1428571428571428,0.4666666666666667,14,15
9431709,Peter Stuart,Peter Stuart,9dgds61vqncdtk8t34o2xzmc5,2,2,1,0,0,0,0,0,1,2,true,,1.3571428571428572,1.2307692307692308,14,13
9431710,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,1,2,1,2,0,0,0,0,0,0,true,,0.46153846153846156,1.1428571428571428,13,14
9431711,Craig Napier,Craig Napier,21moh7ea3ftia3jkdb6pvimdx,2,1,2,1,0,0,0,0,0,0,true,,1.5384615384615385,1.1538461538461537,13,13
9431737,Mike Roncone,Mike Roncone,4oyle92nqzmfq1vj2ff0rh68l,0,1,0,1,0,0,0,0,0,0,true,,1.4615384615384615,2.2142857142857144,13,14
9431742,Chris Graham,Chris Graham,j8g304sx1bb6gdsqflnnx711,1,3,0,3,1,0,1,0,0,0,true,,1.2307692307692308,1.9230769230769231,13,13
9431743,David Dickinson,David Dickinson,bsgoa7pyamnu6flsgyt6eut3p,1,0,1,0,0,0,0,0,0,0,true,,0.5714285714285714,1.75,14,12
9431751,Gavin Ross,Gavin Ross,ep76888edvvweefbdirvpfmj9,2,4,2,4,0,0,0,0,0,0,true,,0.5384615384615384,0.6666666666666666,13,12
9431712,Lloyd Wilson,Lloyd Wilson,mb39kmc5hg5dahpssor662mt,2,0,2,0,0,0,0,0,0,0,true,,1.2857142857142858,1.1428571428571428,14,14
9431720,Barry Cook,Barry Cook,jk80yb2y248j814k94zqvrv9,3,1,2,1,0,0,0,0,1,0,true,,1.1428571428571428,0.5,14,14
9431736,Scott Lambie,Scott Lambie,dzranvufdfmhfamhzvzt6aok5,0,0,0,0,0,0,0,0,0,0,true,,0.9230769230769231,0.6,13,15
9431740,Calum Scott,Calum Scott,4pd0cg3g2g69d4rk8cpecp0wl,2,0,2,0,0,0,0,0,0,0,true,,1.1428571428571428,1.6153846153846154,14,13
9431741,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,0,1,0,1,0,0,0,0,0,0,true,,1.0769230769230769,1.3571428571428572,13,14
9431747,Kevin Graham,Kevin Graham,6sdr8stbqiaqo6uahg2yd5cr9,2,1,2,1,0,0,0,0,0,0,true,,2.1333333333333333,0.6428571428571429,15,14
9431749,Matthew McDermid,Matthew McDermid,ef201gyzs03xy93ixiul2ums5,1,0,1,0,0,0,0,0,0,0,true,,2.0,0.6153846153846154,14,13
9431718,Alan James Muir,Alan James Muir,66pzin51pbju8o233xuj53g0l,5,0,5,0,0,0,0,0,0,0,true,,1.3333333333333333,1.3333333333333333,15,15
9431721,Grant Irvine,Grant Irvine,jpxnj3ldprjwce3a2be0yqxh,0,1,0,1,0,0,0,0,0,0,true,,1.0666666666666667,0.4375,15,16
9431735,Peter Stuart,Peter Stuart,9dgds61vqncdtk8t34o2xzmc5,4,0,4,0,0,0,0,0,0,0,true,,1.3333333333333333,1.2,15,15
9431717,David Dickinson,David Dickinson,bsgoa7pyamnu6flsgyt6eut3p,2,0,2,0,0,0,0,0,0,0,true,,1.1333333333333333,1.5714285714285714,15,14
9431719,Lloyd Wilson,Lloyd Wilson,mb39kmc5hg5dahpssor662mt,2,1,2,1,0,0,0,0,0,0,true,,1.2,0.7333333333333333,15,15
9431731,Matthew McDermid,Matthew McDermid,ef201gyzs03xy93ixiul2ums5,2,5,2,4,0,0,0,0,0,1,true,,1.5,0.8571428571428571,14,14
9431732,Graham Grainger,Graham Grainger,9k3hqjvkmo76ie1hf24h5tnf9,2,3,2,3,0,0,0,0,0,0,true,,2.125,1.9333333333333333,16,15
9431738,Calum Scott,Calum Scott,4pd0cg3g2g69d4rk8cpecp0wl,1,5,1,4,0,1,0,1,0,0,true,,0.5625,1.0,16,14
9431739,Chris Graham,Chris Graham,j8g304sx1bb6gdsqflnnx711,3,0,3,0,0,0,0,0,0,0,true,,0.5714285714285714,0.6666666666666666,14,15
9431722,Alan Newlands,Alan Newlands,8dzc0favgeocs0qf3qjvxkhxx,2,0,2,0,0,0,1,0,0,0,true,,1.2,1.25,15,16
9431723,Scott Lambie,Scott Lambie,dzranvufdfmhfamhzvzt6aok5,1,0,0,0,0,0,0,0,1,0,true,,1.25,1.1875,16,16
9431724,Kevin Graham,Kevin Graham,6sdr8stbqiaqo6uahg2yd5cr9,1,3,1,3,0,0,0,0,0,0,true,,0.5333333333333333,1.0,15,16
9431725,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,1,0,1,0,0,0,0,0,0,0,true,,0.75,1.4666666666666666,16,15
9431729,Barry Cook,Barry Cook,jk80yb2y248j814k94zqvrv9,0,2,0,2,0,0,0,0,0,0,true,,0.47058823529411764,1.5625,17,16
