t_s,rss_bytes
360.0,2611011584
362.0,2611011584
364.0,2611011584
366.0,2611011584
368.0,2611011584
370.0,2611011584
372.0,2611011584
374.0,2611011584
376.0,2611011584
378.0,2611011584
380.0,2611011584
382.0,2611023872
384.0,2611023872
386.0,2611048448
388.0,2611048448
390.0,2611048448
392.0,2611048448
394.0,2611048448
396.0,2611048448
398.0,2611048448
400.0,2611048448
402.0,2611048448
404.0,2611048448
406.0,2611048448
408.0,2611048448
410.0,2611048448
412.0,2611048448
414.0,2611048448
416.0,2611187712
418.0,2611187712
420.0,2611187712
422.0,2611187712
424.0,2611187712
426.0,2611187712
428.0,2611187712
430.0,2611187712
432.0,2611187712
434.0,2611187712
436.0,2611187712
438.0,2611187712
440.0,2611187712
442.0,2611187712
444.0,2611204096
446.0,2611204096
448.0,2611204096
450.0,2611212288
452.0,2611212288
454.0,2611216384
456.0,2611216384
458.0,2611216384
460.0,2611216384
462.0,2611220480
464.0,2611220480
466.0,2611220480
468.0,2611220480
470.0,2611220480
472.0,2611220480
474.0,2611220480
476.0,2611220480
478.0,2611220480
480.0,2611224576
482.0,2611224576
484.0,2611359744
486.0,2611691520
488.0,2611691520
490.0,2611691520
492.0,2611691520
494.0,2611691520
496.0,2611691520
498.0,2611728384
500.0,2611728384
502.0,2611728384
504.0,2611728384
506.0,2611728384
508.0,2611736576
510.0,2611736576
512.0,2611736576
514.0,2611744768
516.0,2611744768
518.0,2611744768
520.0,2611744768
522.0,2611744768
524.0,2611744768
526.0,2611744768
528.0,2611744768
530.0,2611744768
532.0,2611777536
534.0,2611777536
536.0,2611777536
538.0,2611777536
540.0,2611777536
542.0,2611777536
544.0,2611777536
546.0,2611777536
548.0,2611777536
550.0,2611785728
552.0,2611785728
554.0,2611785728
556.0,2611785728
558.0,2611785728
560.0,2611785728
562.0,2611785728
564.0,2611785728
566.0,2611785728
568.0,2611785728
570.0,2611785728
572.0,2611855360
574.0,2611859456
576.0,2611859456
578.0,2611859456
580.0,2611859456
582.0,2611859456
584.0,2611863552
586.0,2611863552
588.0,2611863552
590.0,2611863552
592.0,2611863552
594.0,2611863552
596.0,2611863552
598.0,2611863552
600.0,2611867648
602.0,2611867648
604.0,2611867648
606.0,2611920896
608.0,2611937280
610.0,2611937280
612.0,2611937280
614.0,2611945472
616.0,2612011008
618.0,2612011008
620.0,2612043776
622.0,2612043776
624.0,2612043776
626.0,2612043776
628.0,2612047872
630.0,2612047872
632.0,2612047872
634.0,2612047872
636.0,2612047872
638.0,2612047872
640.0,2612047872
642.0,2612047872
644.0,2612047872
646.0,2612047872
648.0,2612047872
650.0,2612326400
652.0,2612326400
654.0,2612326400
656.0,2612359168
658.0,2612359168
660.0,2612359168
662.0,2612359168
664.0,2612359168
666.0,2612359168
668.0,2612359168
670.0,2612359168
672.0,2612359168
674.0,2612363264
676.0,2612379648
678.0,2612383744
680.0,2612387840
682.0,2612387840
684.0,2612396032
686.0,2612396032
688.0,2612396032
690.0,2612396032
692.0,2612396032
694.0,2612396032
696.0,2612396032
698.0,2612396032
700.0,2612396032
702.0,2612457472
704.0,2612527104
706.0,2612527104
708.0,2612527104
710.0,2612527104
712.0,2612527104
714.0,2612527104
716.0,2612539392
718.0,2612539392
720.0,2612539392
722.0,2612609024
724.0,2612609024
726.0,2612609024
728.0,2612609024
730.0,2612609024
732.0,2612609024
734.0,2612633600
736.0,2612633600
738.0,2612633600
740.0,2612633600
742.0,2612633600
744.0,2612633600
746.0,2612633600
748.0,2612633600
750.0,2612670464
752.0,2612670464
754.0,2612670464
756.0,2612670464
758.0,2612670464
760.0,2612670464
762.0,2612670464
764.0,2612740096
766.0,2612740096
768.0,2612740096
770.0,2612744192
772.0,2612744192
774.0,2612748288
776.0,2612748288
778.0,2612748288
780.0,2612748288
782.0,2612748288
784.0,2612748288
786.0,2612756480
788.0,2612756480
790.0,2612756480
792.0,2612756480
794.0,2612760576
796.0,2612760576
798.0,2612760576
800.0,2612760576
802.0,2612760576
804.0,2612760576
806.0,2612760576
808.0,2612760576
810.0,2612760576
812.0,2612760576
814.0,2612830208
816.0,2612830208
818.0,2612830208
820.0,2612830208
822.0,2612830208
824.0,2612830208
826.0,2612830208
828.0,2612830208
830.0,2612830208
832.0,2612830208
834.0,2612830208
836.0,2612830208
838.0,2612830208
840.0,2612830208
842.0,2612965376
844.0,2612965376
846.0,2612965376
848.0,2612977664
850.0,2613063680
852.0,2613063680
854.0,2613063680
856.0,2613063680
858.0,2613063680
860.0,2613293056
862.0,2613293056
864.0,2613293056
866.0,2613293056
868.0,2613293056
870.0,2613362688
872.0,2613575680
874.0,2613575680
876.0,2613575680
878.0,2613575680
880.0,2613575680
882.0,2613575680
884.0,2613575680
886.0,2613657600
888.0,2613657600
890.0,2613657600
892.0,2613657600
894.0,2613657600
896.0,2613657600
898.0,2613657600
900.0,2613710848
902.0,2613710848
904.0,2613710848
906.0,2613710848
908.0,2613710848
910.0,2613710848
912.0,2613710848
914.0,2613710848
916.0,2613710848
918.0,2613710848
920.0,2613710848
922.0,2613780480
924.0,2613780480
926.0,2613780480
928.0,2613780480
930.0,2613829632
932.0,2613841920
934.0,2613841920
936.0,2613841920
938.0,2613841920
940.0,2613866496
942.0,2614280192
944.0,2614280192
946.0,2614280192
948.0,2614280192
950.0,2614280192
952.0,2614489088
954.0,2614489088
956.0,2614489088
958.0,2614505472
960.0,2614575104
962.0,2614697984
964.0,2614697984
966.0,2614697984
968.0,2614697984
970.0,2614697984
972.0,2614697984
974.0,2614697984
976.0,2614697984
978.0,2614697984
980.0,2614697984
982.0,2614697984
984.0,2614697984
986.0,2614697984
988.0,2614751232
990.0,2614751232
992.0,2614751232
994.0,2614751232
996.0,2614751232
998.0,2614751232
1000.0,2614751232
1002.0,2614751232
1004.0,2614751232
1006.0,2614751232
1008.0,2614751232
1010.0,2614820864
1012.0,2614820864
1014.0,2614820864
1016.0,2614820864
1018.0,2614820864
1020.0,2614820864
1022.0,2614820864
1024.0,2614874112
1026.0,2614874112
1028.0,2614874112
1030.0,2614874112
1032.0,2614874112
1034.0,2614874112
1036.0,2614874112
1038.0,2614874112
1040.0,2614874112
1042.0,2614874112
1044.0,2614874112
1046.0,2614874112
1048.0,2614874112
1050.0,2614874112
1052.0,2614874112
1054.0,2614874112
1056.0,2614874112
1058.0,2614874112
1060.0,2614874112
1062.0,2614874112
1064.0,2614874112
1066.0,2614874112
1068.0,2614874112
1070.0,2614874112
1072.0,2614902784
1074.0,2614902784
1076.0,2614902784
1078.0,2614956032
1080.0,2614956032
1082.0,2614972416
1084.0,2614976512
1086.0,2614976512
1088.0,2615005184
1090.0,2615074816
1092.0,2615074816
1094.0,2615074816
1096.0,2615119872
1098.0,2615119872
1100.0,2615152640
1102.0,2615152640
1104.0,2615152640
1106.0,2615197696
1108.0,2615197696
1110.0,2615197696
1112.0,2615197696
