fold,site,mean,sd,q05,q50,q95,p_positive,prior_mean,prior_sd,prior_p_positive,contraction,p_below_0p02,prior_p_below_0p02
5,turf_pace.w,0.001343033313832541,0.03891006815642058,-0.06260786280848067,0.001012520790838587,0.06484272798487867,0.5095,0.0,0.05,0.5,0.22179863687158852,NaN,NaN
5,ha.γ_base,0.15342315436771128,0.03690598933183889,0.09253912766114128,0.15321372313759135,0.21521572310311082,1.0,0.15,0.05,0.9986501019683699,0.2618802133632222,NaN,NaN
5,ha.σ_γ,0.03354742000181756,0.024915571755767266,0.002466753604532261,0.028666306929493852,0.0810726258475784,1.0,0.03989422804014327,0.030140513749454357,1.0,0.17335278479722926,0.3565,0.31084348322064836
6,turf_asym.w,0.05504113099206346,0.04412527134472258,-0.015366027691663214,0.054369940399087685,0.12592929184807602,0.90125,0.05,0.05,0.841344746068543,0.11749457310554845,NaN,NaN
6,turf_gen.w,-0.02258752943973559,0.040508014321974574,-0.09010987673254857,-0.023105760729578047,0.04572599625925973,0.2845,0.0,0.05,0.5,0.18983971356050855,NaN,NaN
6,turf_pace.w,0.0008625741714219202,0.03856920660918986,-0.06329989978882174,0.0013714590321543471,0.06509108768653263,0.51475,0.0,0.05,0.5,0.2286158678162028,NaN,NaN
6,ha.γ_base,0.13612885850856674,0.03645477499991614,0.07749631165112345,0.1355214331497842,0.19659414025256716,1.0,0.15,0.05,0.9986501019683699,0.2709045000016773,NaN,NaN
6,ha.σ_γ,0.036781437542818284,0.02672032957441141,0.003212726850267437,0.03202925210473473,0.08619772810433618,1.0,0.03989422804014327,0.030140513749454357,1.0,0.11347464756153547,0.323,0.31084348322064836
7,turf_asym.w,0.06095975698621764,0.04390560946672877,-0.012170702129252533,0.060766642160240886,0.1328296371850598,0.9215,0.05,0.05,0.841344746068543,0.12188781066542465,NaN,NaN
7,turf_gen.w,-0.01582054724934923,0.041005350938080935,-0.08197265450759916,-0.016757738504772256,0.05307673454711434,0.34675,0.0,0.05,0.5,0.17989298123838138,NaN,NaN
7,turf_pace.w,0.006084619092904082,0.037860055803680466,-0.05489555994668478,0.006067882302336814,0.0687262606083656,0.55725,0.0,0.05,0.5,0.2427988839263907,NaN,NaN
7,ha.γ_base,0.1360498975042173,0.0361545397048632,0.07730817748961434,0.13642092974116943,0.19572714390290516,1.0,0.15,0.05,0.9986501019683699,0.27690920590273604,NaN,NaN
7,ha.σ_γ,0.03743273118535438,0.02723036933312104,0.003268200322551272,0.032708927179123486,0.0901284102452052,1.0,0.03989422804014327,0.030140513749454357,1.0,0.09655258170196257,0.313,0.31084348322064836
