fold,site,mean,sd,q05,q50,q95,p_positive,prior_mean,prior_sd,prior_p_positive,contraction,p_below_0p02,prior_p_below_0p02
15,ha.σ_γ,0.0320056475416724,0.023870306636852686,0.0021098410517513882,0.027886015599688355,0.07797028985685454,1.0,0.03989422804014327,0.030140513749454357,1.0,0.20803252276067064,0.378,0.31084348322064836
16,turf_asym.w,0.055600104674509314,0.04153688756525835,-0.012990397522459817,0.056271480727474434,0.12309319936139951,0.906,0.05,0.05,0.841344746068543,0.16926224869483308,NaN,NaN
16,turf_gen.w,-0.033671354970723454,0.038603881977237756,-0.0960368824604147,-0.0335262690563464,0.028404798575258586,0.1985,0.0,0.05,0.5,0.22792236045524494,NaN,NaN
16,turf_pace.w,0.006557003554116426,0.0357809234167741,-0.053450478223694725,0.006398936366780452,0.06542081405105786,0.56975,0.0,0.05,0.5,0.2843815316645181,NaN,NaN
16,midweek.w,0.04281950112902455,0.044765804821338746,-0.031395268867171526,0.042592973246862634,0.11953633751598511,0.831,0.05,0.05,0.841344746068543,0.1046839035732251,NaN,NaN
16,rest_diff.w,0.0003076051308912257,0.008657539930531397,-0.014014993390375746,0.00027729645458612255,0.014408968570815587,0.513,0.02,0.02,0.841344746068543,0.5671230034734301,NaN,NaN
16,ha.γ_base,0.14878505835863515,0.035090576470535616,0.08810248389733381,0.14937959971691728,0.20557288702890483,0.99975,0.15,0.05,0.9986501019683699,0.29818847058928777,NaN,NaN
16,ha.σ_γ,0.029603355850161103,0.022114056228253992,0.002575681706537167,0.025001470795230477,0.07123815555325266,1.0,0.03989422804014327,0.030140513749454357,1.0,0.26630128430858846,0.403,0.31084348322064836
17,turf_asym.w,0.056831808222052756,0.04245718264210162,-0.013912960712125453,0.05677787467898082,0.12690414100669203,0.90775,0.05,0.05,0.841344746068543,0.1508563471579677,NaN,NaN
17,turf_gen.w,-0.0350413050834699,0.03911466192586847,-0.10000846947467565,-0.03513069783806582,0.028542427574290118,0.18925,0.0,0.05,0.5,0.21770676148263068,NaN,NaN
17,turf_pace.w,0.005252362769966693,0.03627797401012076,-0.055032625227628064,0.005293763159526522,0.06407334879497603,0.55925,0.0,0.05,0.5,0.27444051979758477,NaN,NaN
17,midweek.w,0.035022288800802825,0.04506225783276434,-0.03902189216102342,0.035142389266737684,0.10775532986545386,0.781,0.05,0.05,0.841344746068543,0.0987548433447133,NaN,NaN
