fold,site,mean,sd,q05,q50,q95,p_positive,prior_mean,prior_sd,prior_p_positive,contraction,p_below_0p02,prior_p_below_0p02
24,turf_asym.w,0.07060865937319548,0.041227172215010696,0.0016366394481670532,0.07077270751635438,0.1382807027671563,0.952,0.05,0.05,0.841344746068543,0.17545655569978613,NaN,NaN
24,ha.γ_base,0.13898841491700376,0.03362980436943734,0.08245090062043728,0.13882613296122226,0.19546474422399585,1.0,0.15,0.05,0.9986501019683699,0.32740391261125323,NaN,NaN
24,ha.σ_γ,0.038242089352645774,0.02793069976125922,0.003042707682298547,0.03266465335030661,0.0914111283182683,1.0,0.03989422804014327,0.030140513749454357,1.0,0.07331706441915387,0.315,0.31084348322064836
25,turf_asym.w,0.06418544498055671,0.041421735158000524,-0.0051533282100622016,0.06479883239916895,0.13041894108386493,0.93525,0.05,0.05,0.841344746068543,0.17156529683998956,NaN,NaN
25,ha.γ_base,0.1254111304146029,0.03365111095751095,0.0704790027185546,0.12522844707920042,0.17970917146778922,0.99975,0.15,0.05,0.9986501019683699,0.326977780849781,NaN,NaN
25,ha.σ_γ,0.04007429026672521,0.028723988292458917,0.0031847895448970567,0.03557054690872587,0.09512628202592091,1.0,0.03989422804014327,0.030140513749454357,1.0,0.04699738925389363,0.29125,0.31084348322064836
26,turf_asym.w,0.05617346758434599,0.043020240806867435,-0.01365127978954458,0.056127291976365845,0.1274070100833553,0.906,0.05,0.05,0.841344746068543,0.13959518386265135,NaN,NaN
26,ha.γ_base,0.13465220223494026,0.033156947504620525,0.08106707364888936,0.13465419995639247,0.18955742188158042,1.0,0.15,0.05,0.9986501019683699,0.3368610499075896,NaN,NaN
26,ha.σ_γ,0.04768846997143961,0.03206203615014501,0.005031978826486562,0.043014343235414684,0.10783551330629172,1.0,0.03989422804014327,0.030140513749454357,1.0,-0.0637521449257128,0.2355,0.31084348322064836
27,turf_asym.w,0.05464634124790216,0.04190889077689544,-0.012903851658475213,0.054479218311065364,0.12440848393111346,0.90675,0.05,0.05,0.841344746068543,0.16182218446209118,NaN,NaN
27,ha.γ_base,0.12834978572537983,0.03261920309189664,0.07560124878153957,0.12811670341058606,0.1823699416778992,1.0,0.15,0.05,0.9986501019683699,0.34761593816206715,NaN,NaN
27,ha.σ_γ,0.04970871790412183,0.032884254244788275,0.004017878596011839,0.046093030722039526,0.11031168783537564,1.0,0.03989422804014327,0.030140513749454357,1.0,-0.09103164326067903,0.21875,0.31084348322064836
28,turf_asym.w,0.05617691050098093,0.04132506089280445,-0.010677230892989454,0.05646653743518718,0.12325902265220287,0.919,0.05,0.05,0.841344746068543,0.173498782143911,NaN,NaN
28,ha.γ_base,0.13040929585324965,0.03274959042415331,0.07695684976900133,0.1306338693286969,0.1850718801107172,0.99975,0.15,0.05,0.9986501019683699,0.34500819151693385,NaN,NaN
28,ha.σ_γ,0.04197933628667859,0.0290586229836709,0.003928260412371392,0.037682355341045776,0.09570300146724817,1.0,0.03989422804014327,0.030140513749454357,1.0,0.03589490128724304,0.274,0.31084348322064836
29,turf_asym.w,0.05557044478988953,0.04119779965224941,-0.013032883007449146,0.0561096918379238,0.12367055419424833,0.91125,0.05,0.05,0.841344746068543,0.17604400695501188,NaN,NaN
29,ha.γ_base,0.12489600802794523,0.03287664252288884,0.07176056751592107,0.12534256198928348,0.17829822642969995,1.0,0.15,0.05,0.9986501019683699,0.34246714954222324,NaN,NaN
29,ha.σ_γ,0.041377653716322835,0.028716619955634456,0.0035387105989755033,0.03718017640711565,0.09519352135493458,1.0,0.03989422804014327,0.030140513749454357,1.0,0.047241855452635706,0.27325,0.31084348322064836
30,turf_asym.w,0.04929545087294876,0.04031983257432465,-0.01742367931758604,0.04928589649858295,0.11488684360019791,0.89075,0.05,0.05,0.841344746068543,0.19360334851350702,NaN,NaN
30,ha.γ_base,0.11999086381634433,0.0325878224367731,0.06814186079709778,0.11981761068114624,0.17267543095576784,1.0,0.15,0.05,0.9986501019683699,0.3482435512645381,NaN,NaN
