fold,match_id,home_team,away_team,match_date,turf_home,turf_away,turf_asym,midweek,rest_diff,unmapped
18,12476650,kelty-hearts-fc,dumbarton,2025-04-05,1.0,0.0,1.0,0.0,0.0,
18,12476646,stenhousemuir,alloa-athletic,2025-04-05,1.0,1.0,0.0,0.0,0.0,
18,12476477,stirling-albion,edinburgh-city-fc,2025-03-29,0.0,1.0,0.0,0.0,0.0,
18,12476474,east-fife,the-spartans-fc,2025-03-29,1.0,1.0,0.0,0.0,0.0,
18,12476479,bonnyrigg-rose,elgin-city,2025-03-29,0.0,0.0,0.0,0.0,0.0,
18,12476480,forfar-athletic,peterhead,2025-03-29,1.0,0.0,1.0,0.0,0.0,
18,12476476,stranraer,clyde-fc,2025-03-29,0.0,1.0,0.0,0.0,0.0,
18,12476469,peterhead,bonnyrigg-rose,2025-04-05,0.0,0.0,0.0,0.0,0.0,
18,12476475,edinburgh-city-fc,clyde-fc,2025-04-05,1.0,1.0,0.0,0.0,0.0,
18,12476471,elgin-city,stirling-albion,2025-04-05,0.0,0.0,0.0,0.0,0.0,
18,12476470,the-spartans-fc,stranraer,2025-04-05,1.0,0.0,1.0,0.0,0.0,
18,12476473,forfar-athletic,east-fife,2025-04-05,1.0,1.0,0.0,0.0,0.0,
19,12476645,dumbarton,cove-rangers,2025-04-12,0.0,1.0,0.0,0.0,0.0,
19,12476642,inverness-caledonian-thistle,kelty-hearts-fc,2025-04-12,0.0,1.0,0.0,0.0,0.0,
19,12476647,alloa-athletic,annan-athletic,2025-04-12,1.0,1.0,0.0,0.0,0.0,
19,12476643,arbroath,stenhousemuir,2025-04-12,0.0,1.0,0.0,0.0,0.0,
19,12476644,queen-of-the-south,montrose,2025-04-12,1.0,1.0,0.0,0.0,0.0,
19,12476640,cove-rangers,alloa-athletic,2025-04-19,1.0,1.0,0.0,0.0,0.0,
19,12476641,annan-athletic,arbroath,2025-04-19,1.0,0.0,1.0,0.0,0.0,
