window,spec,team,fs,season,cat,n,a,d,theta,old_firm
primary,main σc=1.0 σs=0.20,brechin-city,2024,24/25,T5,5,0.09668139685305602,-0.04352018532441133,0.14020158217746734,false
primary,main σc=1.0 σs=0.20,brechin-city,2025,25/26,T5,3,0.013337320214850845,-0.07302911323526354,0.08636643345011438,false
primary,main σc=1.0 σs=0.20,broomhill-fc,2021,21/22,T5,4,0.023447470586276442,-0.15241724909348586,0.1758647196797623,false
primary,main σc=1.0 σs=0.20,broomhill-fc,2022,22/23,T5,3,0.18009352403746104,-0.092273128733701,0.272366652771162,false
primary,main σc=1.0 σs=0.20,broomhill-fc,2023,23/24,T5,4,0.16136783985871345,-0.10306557568660418,0.26443341554531763,false
primary,main σc=1.0 σs=0.20,broomhill-fc,2024,24/25,T5,1,0.025297373360478145,-0.10907454825117492,0.13437192161165307,false
primary,main σc=1.0 σs=0.20,brora-rangers-fc,2021,21/22,T5,4,-0.16260802721642803,-0.6783447390218142,0.5157367118053862,false
primary,main σc=1.0 σs=0.20,brora-rangers-fc,2022,22/23,T5,3,-0.05921881438273302,-0.6376923146817202,0.5784735002989871,false
primary,main σc=1.0 σs=0.20,brora-rangers-fc,2023,23/24,T5,6,0.035334792972310375,-0.670136158780691,0.7054709517530013,false
primary,main σc=1.0 σs=0.20,brora-rangers-fc,2024,24/25,T5,3,-0.0902519712670784,-0.6074760243562964,0.517224053089218,false
primary,main σc=1.0 σs=0.20,brora-rangers-fc,2025,25/26,T5,1,-0.14736235714446472,-0.6210127885015967,0.473650431357132,false
primary,main σc=1.0 σs=0.20,broxburn-athletic,2022,22/23,T5,1,-0.25811063845737864,-0.1125664201533654,-0.14554421830401323,false
primary,main σc=1.0 σs=0.20,broxburn-athletic,2023,23/24,T5,3,-0.25466583543446364,-0.15063218778015194,-0.1040336476543117,false
primary,main σc=1.0 σs=0.20,broxburn-athletic,2024,24/25,T5,4,-0.1789160789433077,-0.034220939022892596,-0.1446951399204151,false
primary,main σc=1.0 σs=0.20,broxburn-athletic,2025,25/26,T5,1,-0.22353481006850898,-0.07202183650107016,-0.1515129735674388,false
primary,main σc=1.0 σs=0.20,buckie-thistle-fc,2021,21/22,T5,5,0.03467677947101663,0.09041136144579477,-0.05573458197477814,false
primary,main σc=1.0 σs=0.20,buckie-thistle-fc,2022,22/23,T5,5,-0.027326479534186817,0.057917245936239786,-0.0852437254704266,false
primary,main σc=1.0 σs=0.20,buckie-thistle-fc,2023,23/24,T5,5,-0.06961112471466399,0.001848632925633989,-0.07145975764029798,false
primary,main σc=1.0 σs=0.20,buckie-thistle-fc,2024,24/25,T5,4,-0.09589252814175236,0.05859753923948882,-0.1544900673812412,false
primary,main σc=1.0 σs=0.20,buckie-thistle-fc,2025,25/26,T5,3,-0.02323747790479089,0.03850235386188259,-0.061739831766673484,false
primary,main σc=1.0 σs=0.20,burntisland-shipyard,2021,21/22,T5,1,-0.3274394829944114,1.1082880456101314,-1.4357275286045428,false
primary,main σc=1.0 σs=0.20,burntisland-shipyard,2024,24/25,T5,1,-0.3306624095907838,1.1093067613491912,-1.439969170939975,false
primary,main σc=1.0 σs=0.20,burntisland-shipyard,2025,25/26,T5,1,-0.2615792368746014,1.1451965498736034,-1.406775786748205,false
primary,main σc=1.0 σs=0.20,caernarfon-town,2022,22/23,GUEST,1,-0.6926879716324674,-0.34266375335787913,-0.3500242182745883,false
primary,main σc=1.0 σs=0.20,caledonian-braves-fc,2021,21/22,T5,1,-0.081014809346943,0.18108449225515572,-0.2620993016020987,false
primary,main σc=1.0 σs=0.20,caledonian-braves-fc,2022,22/23,T5,2,-0.025227963329991075,0.2514343014662347,-0.27666226479622574,false
primary,main σc=1.0 σs=0.20,caledonian-braves-fc,2023,23/24,T5,1,-0.048220842774603326,0.22694601655614333,-0.27516685933074664,false
primary,main σc=1.0 σs=0.20,caledonian-braves-fc,2024,24/25,T5,2,-0.002932745619639014,0.14565359796563448,-0.1485863435852735,false
primary,main σc=1.0 σs=0.20,caledonian-braves-fc,2025,25/26,T5,2,0.034933480785625706,0.218890257485795,-0.1839567767001693,false
primary,main σc=1.0 σs=0.20,camelon-juniors,2021,21/22,T5,1,-0.3986675729179837,0.21286103526480996,-0.6115286081827936,false
primary,main σc=1.0 σs=0.20,camelon-juniors,2022,22/23,T5,2,-0.34499010741989256,0.23003239483082077,-0.5750225022507134,false
primary,main σc=1.0 σs=0.20,camelon-juniors,2023,23/24,T5,1,-0.37634164828715855,0.21497034279326682,-0.5913119910804254,false
primary,main σc=1.0 σs=0.20,camelon-juniors,2024,24/25,T5,1,-0.3714010428271736,0.18880962452734787,-0.5602106673545215,false
primary,main σc=1.0 σs=0.20,camelon-juniors,2025,25/26,T5,4,-0.2681180832613518,0.13329541748520157,-0.40141350074655335,false
primary,main σc=1.0 σs=0.20,carluke-rovers-fc,2024,24/25,T5,1,-0.6497248276603106,0.6006458028114148,-1.2503706304717253,false
primary,main σc=1.0 σs=0.20,carluke-rovers-fc,2025,25/26,T5,1,-0.6952749313455235,0.6797393989928231,-1.3750143303383466,false
primary,main σc=1.0 σs=0.20,carnoustie-panmure,2022,22/23,T5,2,-0.3465636848942023,0.3637533332459115,-0.7103170181401138,false
primary,main σc=1.0 σs=0.20,celtic,2021,21/22,T1,41,1.510972156648621,-1.693152976084122,3.204125132732743,true
primary,main σc=1.0 σs=0.20,celtic,2022,22/23,T1,42,1.7039490184011141,-1.6322429845817796,3.3361920029828935,true
primary,main σc=1.0 σs=0.20,celtic,2023,23/24,T1,39,1.4708358384956917,-1.5370593062546698,3.0078951447503615,true
primary,main σc=1.0 σs=0.20,celtic,2024,24/25,T1,42,1.689409080466339,-1.621839914256274,3.311248994722613,true
primary,main σc=1.0 σs=0.20,celtic,2025,25/26,T1,42,1.2972440952242152,-1.4008012875019413,2.6980453827261566,true
primary,main σc=1.0 σs=0.20,celtic,2026,26/27,T1,9,1.4459484371404228,-1.5827743233343667,3.0287227604747895,true
primary,main σc=1.0 σs=0.20,celtic-b-u21,2021,21/22,B,2,0.47516936964110335,-0.14915270331434846,0.6243220729554518,false
primary,main σc=1.0 σs=0.20,celtic-b-u21,2022,22/23,B,3,0.5431451358232131,-0.1463647530414831,0.6895098888646962,false
primary,main σc=1.0 σs=0.20,celtic-b-u21,2023,23/24,B,1,0.4431185735697839,-0.10140854636537645,0.5445271199351603,false
primary,main σc=1.0 σs=0.20,celtic-b-u21,2024,24/25,B,1,0.4369471583845625,-0.11376849636282019,0.5507156547473827,false
primary,main σc=1.0 σs=0.20,celtic-b-u21,2025,25/26,B,6,0.5184225119038245,-0.05827713841560418,0.5766996503194287,false
primary,main σc=1.0 σs=0.20,celtic-b-u21,2026,26/27,B,4,0.6450992549943887,-0.12904857600282071,0.7741478309972094,false
primary,main σc=1.0 σs=0.20,civil-service-strollers-fc,2021,21/22,T5,3,-0.017211749271652324,0.4015331775777513,-0.4187449268494036,false
primary,main σc=1.0 σs=0.20,civil-service-strollers-fc,2022,22/23,T5,1,-0.13321155563007742,0.41594319011763387,-0.5491547457477113,false
primary,main σc=1.0 σs=0.20,civil-service-strollers-fc,2023,23/24,T5,2,-0.135472261402339,0.4164542258711453,-0.5519264872734843,false
primary,main σc=1.0 σs=0.20,civil-service-strollers-fc,2024,24/25,T5,2,-0.12863702088452642,0.3955283725832254,-0.5241653934677518,false
primary,main σc=1.0 σs=0.20,civil-service-strollers-fc,2025,25/26,T5,1,-0.14119029343666817,0.41195123200770756,-0.5531415254443757,false
primary,main σc=1.0 σs=0.20,clachnacuddin-fc,2021,21/22,T5,1,-0.09479181697641881,0.15478084545929707,-0.24957266243571588,false
primary,main σc=1.0 σs=0.20,clachnacuddin-fc,2022,22/23,T5,1,-0.046061263257108354,0.15872485930111904,-0.2047861225582274,false
primary,main σc=1.0 σs=0.20,clachnacuddin-fc,2023,23/24,T5,2,-0.08163334194875599,0.138227711563395,-0.219861053512151,false
primary,main σc=1.0 σs=0.20,clachnacuddin-fc,2024,24/25,T5,2,-0.06848319999548977,0.17032125814550894,-0.2388044581409987,false
