fs,team_id,team,tier,league_fixtures
2011,2380,elgin-city,4,42
2011,2386,montrose,4,37
2011,2385,peterhead,4,40
2011,2379,queens-park-fc,4,38
2011,2371,stranraer,4,36
2012,2355,aberdeen,1,38
2012,2352,celtic,1,39
2012,2357,dundee-fc,1,38
2012,2349,dundee-united,1,41
2012,2353,heart-of-midlothian,1,39
2012,2354,hibernian,1,39
2012,2362,inverness-caledonian-thistle,1,39
2012,2347,kilmarnock,1,39
2012,2346,motherwell,1,40
2012,2365,ross-county,1,40
2012,2348,st-johnstone,1,38
2012,2359,st-mirren,1,38
2012,2367,airdrieonians,2,37
2012,2372,cowdenbeath,2,41
2012,2377,dumbarton,2,41
2012,2350,dunfermline-athletic,2,37
2012,2363,falkirk-fc,2,39
2012,2374,greenock-morton,2,36
2012,2376,hamilton-academical,2,42
2012,2356,livingston,2,42
2012,2358,partick-thistle,2,43
2012,2361,raith-rovers,2,40
2012,2383,albion-rovers,3,44
2012,2369,alloa-athletic,3,38
2012,2366,arbroath,3,39
2012,2364,ayr-united,3,40
2012,2378,brechin-city,3,48
2012,2382,east-fife,3,40
2012,2375,forfar-athletic,3,39
2012,2368,queen-of-the-south,3,39
2012,2370,stenhousemuir,3,40
2012,2371,stranraer,3,41
2012,23955,annan-athletic,4,39
2012,2373,berwick-rangers,4,39
2012,2360,clyde-fc,4,40
2012,2381,east-stirlingshire,4,41
2012,2380,elgin-city,4,40
2012,2386,montrose,4,37
2012,2385,peterhead,4,37
2012,2379,queens-park-fc,4,41
2012,2351,rangers,4,37
2012,2384,stirling-albion,4,41
2013,2355,aberdeen,1,39
2013,2352,celtic,1,39
2013,2349,dundee-united,1,40
2013,2353,heart-of-midlothian,1,39
2013,2354,hibernian,1,40
2013,2362,inverness-caledonian-thistle,1,42
2013,2347,kilmarnock,1,38
2013,2346,motherwell,1,41
2013,2358,partick-thistle,1,39
2013,2365,ross-county,1,40
2013,2348,st-johnstone,1,41
2013,2359,st-mirren,1,40
2013,2369,alloa-athletic,2,38
2013,2372,cowdenbeath,2,36
2013,2377,dumbarton,2,38
2013,2357,dundee-fc,2,37
2013,2363,falkirk-fc,2,37
2013,2374,greenock-morton,2,37
2013,2376,hamilton-academical,2,37
2013,2356,livingston,2,38
2013,2368,queen-of-the-south,2,38
2013,2361,raith-rovers,2,38
2013,2367,airdrieonians,3,38
2013,2366,arbroath,3,37
2013,2364,ayr-united,3,38
2013,2378,brechin-city,3,37
2013,2350,dunfermline-athletic,3,37
2013,2382,east-fife,3,37
2013,2375,forfar-athletic,3,38
2013,2351,rangers,3,38
2013,2370,stenhousemuir,3,38
2013,2371,stranraer,3,40
2013,2383,albion-rovers,4,39
2013,23955,annan-athletic,4,41
2013,2373,berwick-rangers,4,39
2013,2360,clyde-fc,4,38
2013,2381,east-stirlingshire,4,38
2013,2380,elgin-city,4,37
2013,2386,montrose,4,39
2013,2385,peterhead,4,38
2013,2379,queens-park-fc,4,38
2013,2384,stirling-albion,4,39
2014,2355,aberdeen,1,39
2014,2352,celtic,1,42
2014,2357,dundee-fc,1,39
2014,2349,dundee-united,1,40
2014,2376,hamilton-academical,1,38
2014,2362,inverness-caledonian-thistle,1,40
2014,2347,kilmarnock,1,40
2014,2346,motherwell,1,39
2014,2358,partick-thistle,1,40
2014,2365,ross-county,1,39
2014,2348,st-johnstone,1,39
2014,2359,st-mirren,1,39
2014,2369,alloa-athletic,2,37
2014,2372,cowdenbeath,2,40
2014,2377,dumbarton,2,36
2014,2363,falkirk-fc,2,37
2014,2353,heart-of-midlothian,2,38
2014,2354,hibernian,2,37
2014,2356,livingston,2,39
2014,2368,queen-of-the-south,2,38
2014,2361,raith-rovers,2,37
2014,2351,rangers,2,41
2014,2367,airdrieonians,3,37
2014,2364,ayr-united,3,38
2014,2378,brechin-city,3,39
2014,2350,dunfermline-athletic,3,38
2014,2375,forfar-athletic,3,37
2014,2374,greenock-morton,3,37
2014,2385,peterhead,3,39
2014,2370,stenhousemuir,3,37
2014,2384,stirling-albion,3,38
2014,2371,stranraer,3,38
2014,2383,albion-rovers,4,38
2014,23955,annan-athletic,4,37
2014,2366,arbroath,4,38
2014,2373,berwick-rangers,4,38
2014,2360,clyde-fc,4,39
2014,2382,east-fife,4,40
2014,2381,east-stirlingshire,4,39
2014,2380,elgin-city,4,40
2014,2386,montrose,4,37
2014,2379,queens-park-fc,4,36
2015,2355,aberdeen,1,41
2015,2352,celtic,1,41
2015,2357,dundee-fc,1,40
2015,2349,dundee-united,1,40
2015,2376,hamilton-academical,1,40
2015,2353,heart-of-midlothian,1,43
2015,2362,inverness-caledonian-thistle,1,42
2015,2347,kilmarnock,1,38
2015,2346,motherwell,1,40
2015,2358,partick-thistle,1,43
2015,2365,ross-county,1,39
2015,2348,st-johnstone,1,41
2015,2369,alloa-athletic,2,39
2015,2377,dumbarton,2,39
2015,2363,falkirk-fc,2,37
2015,2374,greenock-morton,2,39
2015,2354,hibernian,2,40
2015,2356,livingston,2,38
2015,2368,queen-of-the-south,2,40
2015,2361,raith-rovers,2,40
2015,2351,rangers,2,38
2015,2359,st-mirren,2,38
2015,2367,airdrieonians,3,38
2015,2383,albion-rovers,3,44
2015,2364,ayr-united,3,39
2015,2378,brechin-city,3,39
2015,2372,cowdenbeath,3,43
2015,2350,dunfermline-athletic,3,37
2015,2375,forfar-athletic,3,40
2015,2385,peterhead,3,37
2015,2370,stenhousemuir,3,40
2015,2371,stranraer,3,37
2015,23955,annan-athletic,4,40
2015,2366,arbroath,4,40
2015,2373,berwick-rangers,4,40
2015,2360,clyde-fc,4,40
2015,2382,east-fife,4,37
2015,2381,east-stirlingshire,4,40
2015,2380,elgin-city,4,37
2015,2386,montrose,4,38
2015,2379,queens-park-fc,4,39
2015,2384,stirling-albion,4,39
2016,2355,aberdeen,1,40
2016,2352,celtic,1,40
2016,2357,dundee-fc,1,38
2016,2376,hamilton-academical,1,39
2016,2353,heart-of-midlothian,1,39
2016,2362,inverness-caledonian-thistle,1,38
2016,2347,kilmarnock,1,38
2016,2346,motherwell,1,40
2016,2358,partick-thistle,1,39
2016,2351,rangers,1,39
2016,2365,ross-county,1,38
2016,2348,st-johnstone,1,38
2016,2364,ayr-united,2,36
2016,2377,dumbarton,2,36
2016,2349,dundee-united,2,36
2016,2350,dunfermline-athletic,2,37
2016,2363,falkirk-fc,2,36
2016,2374,greenock-morton,2,38
2016,2354,hibernian,2,36
2016,2368,queen-of-the-south,2,37
2016,2361,raith-rovers,2,37
2016,2359,st-mirren,2,37
2016,2367,airdrieonians,3,37
2016,2383,albion-rovers,3,42
2016,2369,alloa-athletic,3,38
2016,2378,brechin-city,3,40
2016,2382,east-fife,3,40
2016,2356,livingston,3,40
2016,2385,peterhead,3,36
2016,2379,queens-park-fc,3,38
2016,2370,stenhousemuir,3,39
2016,2371,stranraer,3,36
2016,23955,annan-athletic,4,37
2016,2366,arbroath,4,36
2016,2373,berwick-rangers,4,38
2016,2360,clyde-fc,4,39
2016,2372,cowdenbeath,4,39
2016,26252,edinburgh-city-fc,4,38
2016,2380,elgin-city,4,38
2016,2375,forfar-athletic,4,36
2016,2386,montrose,4,38
2016,2384,stirling-albion,4,37
2017,2355,aberdeen,1,39
2017,2352,celtic,1,40
2017,2357,dundee-fc,1,40
2017,2376,hamilton-academical,1,42
2017,2353,heart-of-midlothian,1,38
2017,2354,hibernian,1,39
2017,2347,kilmarnock,1,41
2017,2346,motherwell,1,40
2017,2358,partick-thistle,1,40
2017,2351,rangers,1,39
2017,2365,ross-county,1,39
2017,2348,st-johnstone,1,41
2017,2378,brechin-city,2,42
2017,2377,dumbarton,2,43
2017,2349,dundee-united,2,42
2017,2350,dunfermline-athletic,2,40
2017,2363,falkirk-fc,2,41
2017,2374,greenock-morton,2,39
2017,2362,inverness-caledonian-thistle,2,44
2017,2356,livingston,2,43
2017,2368,queen-of-the-south,2,41
2017,2359,st-mirren,2,39
2017,2367,airdrieonians,3,39
2017,2383,albion-rovers,3,42
2017,2369,alloa-athletic,3,40
2017,2366,arbroath,3,41
2017,2364,ayr-united,3,38
2017,2382,east-fife,3,38
2017,2375,forfar-athletic,3,38
2017,2379,queens-park-fc,3,37
2017,2361,raith-rovers,3,41
2017,2371,stranraer,3,40
2017,23955,annan-athletic,4,38
2017,2373,berwick-rangers,4,44
2017,2360,clyde-fc,4,41
2017,2372,cowdenbeath,4,45
2017,26252,edinburgh-city-fc,4,40
2017,2380,elgin-city,4,40
2017,2386,montrose,4,39
2017,2385,peterhead,4,41
2017,2370,stenhousemuir,4,45
2017,2384,stirling-albion,4,43
2018,2355,aberdeen,1,38
2018,2352,celtic,1,38
2018,2357,dundee-fc,1,38
2018,2376,hamilton-academical,1,38
2018,2353,heart-of-midlothian,1,38
2018,2354,hibernian,1,38
2018,2347,kilmarnock,1,39
2018,2356,livingston,1,38
2018,2346,motherwell,1,39
2018,2351,rangers,1,38
2018,2348,st-johnstone,1,39
2018,2359,st-mirren,1,39
2018,2369,alloa-athletic,2,37
2018,2364,ayr-united,2,39
2018,2349,dundee-united,2,37
2018,2350,dunfermline-athletic,2,39
2018,2363,falkirk-fc,2,38
2018,2374,greenock-morton,2,38
2018,2362,inverness-caledonian-thistle,2,38
2018,2358,partick-thistle,2,36
2018,2368,queen-of-the-south,2,38
2018,2365,ross-county,2,40
2018,2383,albion-rovers,4,39
2018,23955,annan-athletic,4,37
2018,2373,berwick-rangers,4,39
2018,2360,clyde-fc,4,37
2018,2372,cowdenbeath,4,41
2018,26252,edinburgh-city-fc,4,36
2018,2380,elgin-city,4,38
2018,2385,peterhead,4,39
2018,2379,queens-park-fc,4,38
2018,2384,stirling-albion,4,38
2019,2355,aberdeen,1,33
2019,2352,celtic,1,33
2019,2376,hamilton-academical,1,33
2019,2353,heart-of-midlothian,1,34
2019,2354,hibernian,1,33
2019,2347,kilmarnock,1,33
2019,2356,livingston,1,33
2019,2346,motherwell,1,34
2019,2351,rangers,1,33
2019,2365,ross-county,1,33
2019,2348,st-johnstone,1,33
2019,2359,st-mirren,1,35
2019,2369,alloa-athletic,2,37
2019,2366,arbroath,2,40
2019,2364,ayr-united,2,40
2019,2357,dundee-fc,2,38
2019,2349,dundee-united,2,37
2019,2350,dunfermline-athletic,2,37
2019,2374,greenock-morton,2,39
2019,2362,inverness-caledonian-thistle,2,38
2019,2358,partick-thistle,2,38
2019,2368,queen-of-the-south,2,38
2019,2367,airdrieonians,3,36
2019,2360,clyde-fc,3,38
2019,2377,dumbarton,3,38
2019,2382,east-fife,3,36
2019,2363,falkirk-fc,3,36
2019,2375,forfar-athletic,3,39
2019,2386,montrose,3,39
2019,2385,peterhead,3,38
2019,2361,raith-rovers,3,37
2019,2371,stranraer,3,39
2019,2383,albion-rovers,4,41
2019,23955,annan-athletic,4,38
2019,2378,brechin-city,4,39
2019,8062,cove-rangers,4,38
2019,2372,cowdenbeath,4,41
2019,26252,edinburgh-city-fc,4,37
2019,2380,elgin-city,4,37
2019,2379,queens-park-fc,4,37
2019,2370,stenhousemuir,4,37
2019,2384,stirling-albion,4,39
2020,2355,aberdeen,1,38
2020,2352,celtic,1,37
2020,2349,dundee-united,1,34
2020,2376,hamilton-academical,1,36
2020,2354,hibernian,1,34
2020,2347,kilmarnock,1,34
2020,2356,livingston,1,37
2020,2346,motherwell,1,35
2020,2351,rangers,1,33
2020,2365,ross-county,1,34
2020,2348,st-johnstone,1,35
2020,2359,st-mirren,1,37
2020,2369,alloa-athletic,2,30
2020,2366,arbroath,2,29
2020,2364,ayr-united,2,33
2020,2357,dundee-fc,2,35
2020,2350,dunfermline-athletic,2,32
2020,2374,greenock-morton,2,30
2020,2353,heart-of-midlothian,2,28
2020,2362,inverness-caledonian-thistle,2,36
2020,2368,queen-of-the-south,2,29
2020,2361,raith-rovers,2,32
2020,2367,airdrieonians,3,36
2020,2360,clyde-fc,3,38
2020,8062,cove-rangers,3,34
2020,2377,dumbarton,3,38
2020,2382,east-fife,3,36
2020,2363,falkirk-fc,3,34
2020,2375,forfar-athletic,3,35
2020,2386,montrose,3,34
2020,2358,partick-thistle,3,34
2020,2385,peterhead,3,33
2020,2383,albion-rovers,4,37
2020,23955,annan-athletic,4,36
2020,2378,brechin-city,4,37
2020,2372,cowdenbeath,4,37
2020,26252,edinburgh-city-fc,4,35
2020,2380,elgin-city,4,35
2020,2379,queens-park-fc,4,36
2020,2370,stenhousemuir,4,36
2020,2384,stirling-albion,4,36
2020,2371,stranraer,4,35
2021,2355,aberdeen,1,36
2021,2352,celtic,1,35
2021,2357,dundee-fc,1,37
2021,2349,dundee-united,1,35
2021,2353,heart-of-midlothian,1,35
2021,2354,hibernian,1,38
2021,2356,livingston,1,36
2021,2346,motherwell,1,35
2021,2351,rangers,1,35
2021,2365,ross-county,1,38
2021,2348,st-johnstone,1,37
2021,2359,st-mirren,1,37
2021,2366,arbroath,2,38
2021,2364,ayr-united,2,38
2021,2350,dunfermline-athletic,2,40
2021,2374,greenock-morton,2,38
2021,2376,hamilton-academical,2,37
2021,2362,inverness-caledonian-thistle,2,38
2021,2347,kilmarnock,2,37
2021,2358,partick-thistle,2,42
2021,2368,queen-of-the-south,2,39
2021,2361,raith-rovers,2,39
2021,2367,airdrieonians,3,39
2021,2369,alloa-athletic,3,38
2021,2360,clyde-fc,3,38
2021,8062,cove-rangers,3,36
2021,2377,dumbarton,3,37
2021,2382,east-fife,3,37
