team,mean,sd,q05,q50,q95,p_above_base,fold
dumbarton,0.1639042556759296,0.06576245296298404,0.06284305559482962,0.16189573476324737,0.2752448903808327,0.56425,5
airdrieonians,0.1611867978689973,0.07370433120567015,0.04392663370084431,0.15827120848384824,0.2804289416653866,0.55575,5
bonnyrigg-rose,0.15951662300711592,0.06613368385697797,0.053265151451801086,0.15966514841635449,0.26816365020257515,0.53725,5
montrose,0.15869305215761928,0.0654081768326115,0.054534535867839386,0.15814772512865122,0.266562323657042,0.53175,5
stenhousemuir,0.15801374550361436,0.06447319967780567,0.05483771616546101,0.1574565513801971,0.26436071425145935,0.52475,5
peterhead,0.1567043689359075,0.06587597812926115,0.05230290298492502,0.1554598057829274,0.2630468159097351,0.51925,5
hamilton-academical,0.156070400522492,0.07052774250392123,0.044230305784191445,0.15361540138837718,0.2754211130326002,0.517,5
forfar-athletic,0.1550020506191816,0.06644167213982015,0.04898157864226285,0.15482007030509531,0.26265948800864064,0.51,5
dunfermline-athletic,0.15398359839416298,0.07250981477156108,0.04153679394540029,0.1533238317529957,0.2755747341471442,0.4985,5
albion-rovers,0.15254775837657703,0.07305135095203234,0.035647472385108195,0.15246146248982512,0.268887356201093,0.49225,5
inverness-caledonian-thistle,0.14894810013325963,0.07038927612173082,0.03000006224495364,0.15153917981479675,0.2593859632046884,0.48725,5
cove-rangers,0.14768269206530937,0.06559633109267354,0.037707633666653376,0.15062108990813095,0.24993844828037123,0.4735,5
edinburgh-city-fc,0.1471103829418792,0.0657764146162117,0.03846195320002813,0.14879532567739157,0.25091653432562494,0.4575,5
stirling-albion,0.14395533703175917,0.06773007647467034,0.03323761054535579,0.14710553329991932,0.24888628230667242,0.44825,5
east-fife,0.1417770712866282,0.06769080767056072,0.028524557411409128,0.14429307067543964,0.24565161154348997,0.42775,5
arbroath,0.1413731810144942,0.0706713089761441,0.02021318761507623,0.14587030580801663,0.24619183128696365,0.4255,5
clyde-fc,0.1397017415951487,0.06643923934146782,0.027284657658905014,0.14450897861359074,0.23950574324501672,0.42525,5
alloa-athletic,0.13264636110263522,0.06894921166984368,0.010528633693099762,0.13921826454331504,0.23308813956973587,0.35775,5
the-spartans-fc,0.12745933980566077,0.07423745027168756,-0.01018273260283802,0.13587497065559104,0.23069706695890957,0.351,5
kelty-hearts-fc,0.12288950418891514,0.07139101864054975,-0.008047275440408971,0.13025383332302165,0.225407113085718,0.31975,5
annan-athletic,0.1592654523103102,0.07821282920995032,0.049088992254973964,0.14965208809267594,0.30305357347536915,0.67075,6
falkirk-fc,0.15279030535209484,0.07926795130513142,0.03841249549073639,0.14487474320581384,0.2970529931468351,0.64375,6
elgin-city,0.15278078731312916,0.0736789465327365,0.04406669526794475,0.14707666254023502,0.2831609648215159,0.64025,6
queen-of-the-south,0.1440438318689143,0.07390519924731748,0.03359776507843269,0.1390254922550799,0.2741341210623869,0.6045,6
montrose,0.1419121501294624,0.07221862823061433,0.030936154309147496,0.13842406278602526,0.26347436085377207,0.586,6
