fold,gamma_base_mean,gamma_base_sd,gamma_base_q05,gamma_base_q95,sigma_mean,sigma_sd,sigma_q05,sigma_q50,sigma_q95,p_sigma_below_0p02,prior_p_sigma_below_0p02
21,0.15037208417425607,0.0393836803265526,0.08620725952072131,0.21479665456292268,0.04678092384747971,0.03172446688244118,0.0044140768553951985,0.042683452649151174,0.10687756007471363,0.2375,0.15851941887820598
22,0.13824420141936347,0.04380250766648094,0.06496353860325997,0.20838517391351763,0.042136303773955046,0.030980457903981126,0.003497320057559673,0.03645947415454699,0.10171834516957129,0.28775,0.15851941887820598
23,0.1490238960333545,0.04278956358496141,0.07813151177513063,0.21965617541556734,0.04541744556313065,0.032905234487781536,0.0038684024952484676,0.039368842742795826,0.1084881340150839,0.2585,0.15851941887820598
24,0.15005711949975895,0.04388605684754668,0.07869719512344209,0.22252201960999798,0.05429131330580836,0.03723871004729594,0.004898938776242706,0.049428872541238705,0.12499370269479262,0.20425,0.15851941887820598
25,0.12650634591834659,0.04279940021785335,0.05638738435188192,0.1951295991628129,0.0528515879780285,0.03707941320007846,0.004135187454318545,0.046016416924165214,0.1224988152641768,0.2115,0.15851941887820598
26,0.13842016606311974,0.042571038001323794,0.06811389160644302,0.20748169415886283,0.06168173802360309,0.04042841847505492,0.005599530513347301,0.0568905605214428,0.13313730394137158,0.17975,0.15851941887820598
27,0.1283915598556306,0.04305626444200222,0.05819507999643214,0.19878901980819055,0.06537914803242798,0.04219096914894382,0.005181702634670138,0.06228284190041056,0.13998788589954062,0.16375,0.15851941887820598
28,0.13137021111896918,0.04197441682598223,0.06306200187724213,0.19846390146155019,0.05212581403119174,0.03606994968939043,0.004712633440397616,0.04633038393559187,0.11950766963670396,0.213,0.15851941887820598
29,0.12416562163202513,0.0407242568005366,0.05552351917222221,0.18984491206063725,0.04738884151423886,0.033911695266709015,0.0038494372358391987,0.0412179868363548,0.11069303589704414,0.25075,0.15851941887820598
30,0.11206261059892833,0.04191487553671003,0.04263427190185925,0.18215465948590465,0.05256722386793644,0.03548513033387899,0.004919049579401455,0.048143926537791884,0.11863747879962651,0.2085,0.15851941887820598
31,0.11457188711335649,0.041090543761111986,0.04621433766227174,0.18152219418907714,0.052275068929555295,0.035821824588075195,0.004240274407670457,0.047527963321471044,0.11844983741338454,0.2215,0.15851941887820598
32,0.09962566592916643,0.039390682926578664,0.0352948313902475,0.16365609866993688,0.05021669481216837,0.034307040509564,0.004698685301327748,0.04562048800599634,0.11449807706828415,0.2245,0.15851941887820598
33,0.10233270290114112,0.04003201646434111,0.03563724460415454,0.1686715131491009,0.04709680080424606,0.033507868870570105,0.004208720629425809,0.04257979965549048,0.11148813728756171,0.2545,0.15851941887820598
34,0.09625391733054076,0.0407422143267533,0.029472937884861522,0.16375596377057652,0.054932245283926456,0.03699890348453305,0.004973950444600266,0.04989319398449687,0.12300764980321467,0.199,0.15851941887820598
35,0.09087555747618657,0.04243121232756402,0.02193578062015062,0.16187296326780468,0.06023789065018795,0.03727652061920766,0.006231175451840201,0.05788605028615004,0.1263028659538685,0.162,0.15851941887820598
36,0.08559973946407148,0.04037594834961788,0.018949346457867878,0.15127454858977593,0.052831343425108694,0.03637971656945145,0.004076737265377374,0.048346471216660525,0.11892112887723012,0.221,0.15851941887820598
37,0.09209305440118297,0.03997179687611421,0.026987848857329286,0.15783561558265002,0.062050359456573806,0.037669698612735135,0.007502681938486652,0.059741267484155126,0.1285502558886444,0.1585,0.15851941887820598
38,0.1080250080179016,0.03817843826330912,0.04665719908605236,0.17199235521427828,0.057597417807686034,0.03661150296796621,0.0053652280606155695,0.055099574700731783,0.12327535780981173,0.1795,0.15851941887820598
39,0.1154489499833893,0.03809611320677985,0.053528829450448165,0.17866662948265372,0.05050334311496082,0.034978114979757384,0.004130125306390139,0.04524114239421284,0.11520212287140097,0.22025,0.15851941887820598
40,0.12109758155680558,0.03527969421664495,0.06329123859094281,0.17909329263933785,0.04026523673656082,0.02900710738919593,0.0035182434408122546,0.03502970816761619,0.09442487929434666,0.2965,0.15851941887820598
