team,mean,sd,q05,q50,q95,p_above_base,fold
dunfermline-athletic,0.12151007205049681,0.06593725735400378,0.018376886508556532,0.12077797717451497,0.22927349752566722,0.50225,3
forfar-athletic,0.11862429151230097,0.06122417109691072,0.01899613389420539,0.11895649273722164,0.21760806471037264,0.49075,3
falkirk-fc,0.11860838025555495,0.06432292719485266,0.015514603623696418,0.11890455057839486,0.21992930112678233,0.4825,3
stirling-albion,0.11496015622792984,0.06226024654588438,0.009390581463860598,0.1175602140736466,0.21106636040633173,0.45475,3
arbroath,0.11461267160843146,0.06623818949187965,0.0059356820896801265,0.11735633371982512,0.2158946309026079,0.46275,3
stenhousemuir,0.11005316415794161,0.06224221245719707,0.0011357206637919162,0.11246938688799357,0.20593619034307506,0.41875,3
clyde-fc,0.10933476654305758,0.06246642682166273,0.007092826232881796,0.11197314416098322,0.20426752590569797,0.41925,3
alloa-athletic,0.10760070326383561,0.06503582318008298,-0.0029318664427468626,0.11150675602190627,0.20415315299916217,0.406,3
kelty-hearts-fc,0.10422988824627535,0.06429480316660689,-0.009250452858840505,0.10929676326612311,0.19805992447884485,0.389,3
east-fife,0.10199764439934807,0.06554669147384873,-0.014228801714453452,0.10693061696579184,0.199726280934508,0.3695,3
the-spartans-fc,0.09612163923973799,0.06882296588569764,-0.028380583570185365,0.10217885777982683,0.1971654429970345,0.34325,3
annan-athletic,0.1475018282329825,0.06171866731287839,0.05518205149142343,0.14386114452824422,0.2518199510210197,0.60525,4
dumbarton,0.14686743182191275,0.059974385819050485,0.056613693787375546,0.14323567552727778,0.2507364099969162,0.6095,4
elgin-city,0.14580434908419712,0.06317570760350563,0.048543012644966,0.1428626339509375,0.2521429318696318,0.60475,4
peterhead,0.14126629666891477,0.060353137390975,0.048795848446747093,0.13896714497867524,0.2409777963431548,0.55925,4
stranraer,0.13903585637198046,0.061130387107886125,0.04563048349739237,0.13691809891904036,0.24161783349854254,0.55,4
bonnyrigg-rose,0.13889750355207284,0.06017573030491045,0.04653051164439959,0.1380197747492354,0.23808054401364906,0.5495,4
montrose,0.13878491426122264,0.061691200147592946,0.0427070822863121,0.1375356148824705,0.24065793530477672,0.54575,4
cove-rangers,0.1370642522126214,0.05950802406259624,0.04504422787154091,0.13450450099290234,0.23615179175376577,0.53475,4
airdrieonians,0.1368994243247766,0.06317361629541128,0.04129324680545979,0.1354123574905038,0.23740610907147933,0.528,4
queen-of-the-south,0.13605190287540386,0.05856790151533442,0.043498946606177064,0.1340947627554535,0.23355735714313058,0.52775,4
dunfermline-athletic,0.1338055563199671,0.06473484483450205,0.031239311305653248,0.1335341913303209,0.23848556993352973,0.50825,4
edinburgh-city-fc,0.1330281283042242,0.058244124638498145,0.038114032987044924,0.132840122144349,0.227701643553096,0.50375,4
stenhousemuir,0.13281366151245577,0.05910865146894064,0.039078066835371836,0.13209398757019916,0.23038767264476,0.51,4
hamilton-academical,0.13219995149476904,0.06212452895048455,0.03248396338011981,0.13249328714206646,0.23354356586293873,0.50675,4
albion-rovers,0.13176003944561276,0.0641362965552734,0.027617558556176494,0.13174662939695383,0.23258257657101927,0.495,4
inverness-caledonian-thistle,0.13157684477677895,0.06445870467069784,0.03226448740784376,0.13192718458055508,0.23546448510466422,0.478,4
falkirk-fc,0.12990625774401715,0.060057761718048185,0.03595593291159891,0.13039651810714714,0.22420806899535317,0.48625,4
forfar-athletic,0.127948821610237,0.058046553814773624,0.03384181305512604,0.12818124162928551,0.2207917007441721,0.44875,4
east-fife,0.1264432661517832,0.060051492553296,0.027264687773643707,0.12787406826422876,0.22054047433113608,0.45475,4
stirling-albion,0.12335474063254076,0.05983645325420358,0.02420800164191354,0.1253489775898824,0.2161354177366748,0.434,4
arbroath,0.12306638464568233,0.0666308742633287,0.011050151253860269,0.12642092760225118,0.2211844526665769,0.44775,4
clyde-fc,0.12161927247209352,0.05978172523640061,0.022627269513673432,0.12371320814099585,0.21292062723497288,0.42125,4
alloa-athletic,0.12016559993209555,0.061688970028149256,0.014816416271513371,0.12331164992773064,0.21388760486727576,0.417,4
kelty-hearts-fc,0.11881991488201657,0.06227990451767801,0.01588886196160056,0.12193837210078304,0.21259146630034906,0.41025,4
the-spartans-fc,0.11230367289594097,0.06395739559755498,-0.0008561774549102797,0.11798125760869194,0.2057412612620757,0.36875,4
annan-athletic,0.17230686244023996,0.06635834111427999,0.07734791572466451,0.1664918023821576,0.2958441198165274,0.6775,5
elgin-city,0.16458762600538285,0.0640554602265093,0.06911266292864857,0.1604773908256284,0.27357780275119753,0.62325,5
dumbarton,0.15900595085977282,0.061283131240016046,0.06354804649844277,0.15664392459414558,0.2601599972771141,0.61275,5
peterhead,0.1558609373170924,0.06103722679451879,0.05757216342750367,0.153886994505252,0.2574273118678475,0.56875,5
stranraer,0.15512732699205348,0.06100392015835253,0.061260988955400844,0.15282862769721578,0.2573357519584359,0.574,5
montrose,0.15472512421050055,0.06176745193282468,0.05990627010917213,0.1526491395389156,0.2562595637714593,0.57425,5
bonnyrigg-rose,0.15275528588273346,0.06273347698946452,0.05502872123731998,0.15113144664098638,0.2568495234719646,0.55525,5
airdrieonians,0.1505391434588247,0.06710547539356611,0.0479264812119258,0.1480982297494948,0.2600506121013966,0.538,5
queen-of-the-south,0.14970346699742726,0.06291485272800011,0.05100741762447952,0.14759400188812594,0.25027005089917753,0.52775,5
cove-rangers,0.14902192020855268,0.06141635478327179,0.048759685982697046,0.1482712537213523,0.24744644793406986,0.524,5
edinburgh-city-fc,0.1469708685566812,0.06157981455764421,0.0468171396235931,0.14713685024058842,0.24866773335406187,0.49625,5
dunfermline-athletic,0.14671409541061348,0.0663174014880151,0.04088691801585612,0.14616038195412354,0.2523787763388684,0.51175,5
hamilton-academical,0.14471702421034838,0.06282721454523656,0.041808080466337084,0.14450272592755647,0.2458075469911435,0.4985,5
forfar-athletic,0.1444354293370111,0.0616432388531568,0.04524649465004514,0.14466471792572846,0.24213429579006818,0.4945,5
albion-rovers,0.14322780948968636,0.06633611342715265,0.03549840104022631,0.14547037142940517,0.24617911725443978,0.49125,5
falkirk-fc,0.14148437847475948,0.06338970028304707,0.040394339889727654,0.14218115579900714,0.24124090302917006,0.47275,5
inverness-caledonian-thistle,0.13964231163436092,0.06677756849839787,0.028274922222045137,0.14163094061036274,0.24156359627963828,0.4625,5
stenhousemuir,0.13786088603805485,0.06232999181777491,0.031001344113820984,0.14039425208630135,0.23563018219064194,0.453,5
east-fife,0.13559932769541586,0.0617888287778819,0.03052095701214073,0.13738322861988045,0.23198989153798752,0.43475,5
arbroath,0.135040379083747,0.06722856983438888,0.019868900000092983,0.1385607754333855,0.23589305171789332,0.43775,5
clyde-fc,0.13263319632343598,0.06149171478637066,0.02773404996369377,0.13557482525131087,0.22657909578175306,0.407,5
alloa-athletic,0.13076090751269323,0.06326047130053973,0.016420705944655042,0.1347533767949632,0.22659808476396975,0.40075,5
stirling-albion,0.12902360275002323,0.06288852738535543,0.023376743257435047,0.13313836289566683,0.22339842964314205,0.384,5
kelty-hearts-fc,0.1283181171869055,0.06469687087275217,0.014404550619815137,0.13306451047655704,0.2226194046021031,0.3865,5
the-spartans-fc,0.12452348844750957,0.0670867719848041,0.004689962324928831,0.13073016686036765,0.22040871825137764,0.366,5
annan-athletic,0.15061351721060354,0.07087452338360965,0.049983613470944974,0.14461209477596138,0.2829069127131539,0.685,6
