fold,gamma_base_mean,gamma_base_sd,gamma_base_q05,gamma_base_q95,sigma_mean,sigma_sd,sigma_q05,sigma_q50,sigma_q95,p_sigma_below_0p02,prior_p_sigma_below_0p02
12,0.11976777686035264,0.031927912636077325,0.06770918158445054,0.17214161588704666,0.09595189875610644,0.037998953327983746,0.02930602071791487,0.09725615164242815,0.15656514135600336,0.02925,0.15851941887820598
13,0.12383888229208669,0.03189816795765385,0.07204074635089514,0.17502258807372797,0.09240064372276158,0.03939456452857665,0.024059158490755433,0.09313397881281307,0.15437806162486686,0.04225,0.15851941887820598
14,0.1242880763235165,0.033877533730763534,0.06904480746512764,0.17985367771350913,0.11203003360361231,0.0376592866614111,0.04912040131418696,0.11187571668176029,0.17559556245466562,0.0085,0.15851941887820598
15,0.1278541696641607,0.03234726129929701,0.07584501825887312,0.18081852011856858,0.1110102165997488,0.03610518573654158,0.05328003024358681,0.10983096246829271,0.17206808066154433,0.0065,0.15851941887820598
16,0.12872529569340121,0.03183764141586648,0.0781110619315923,0.18071344732950517,0.10647964763912111,0.03397240285816304,0.05036399085254029,0.10556334792344255,0.1640958237696527,0.004,0.15851941887820598
17,0.12845850137401216,0.030674592667787163,0.07709289248765631,0.17958995625547944,0.0973131915865764,0.03623669601878054,0.03540624164477776,0.09756294576277133,0.1557726874061608,0.021,0.15851941887820598
18,0.1269412677679638,0.03089663522376378,0.07666082705390781,0.17917932071518106,0.09709109964932278,0.034502391099654826,0.03777546582114685,0.09688660419606121,0.153876836091563,0.02,0.15851941887820598
19,0.1226909053201083,0.03051654761397345,0.07287590106896255,0.1728346004510738,0.09398760770885513,0.0330758474896441,0.039322288602911246,0.09407476362047491,0.14834516457498928,0.0125,0.15851941887820598
20,0.1301335459821318,0.02978734988192373,0.0820580704256363,0.17943823676402404,0.09883367634878118,0.03244822911618543,0.046998857310488855,0.0981671395390258,0.15336690530747207,0.008,0.15851941887820598
21,0.12302297587310895,0.030232830755721397,0.07214608778154649,0.17340734890412743,0.08256543202325344,0.032253836712072215,0.029169214608242473,0.08298598466386972,0.13599546845323934,0.0315,0.15851941887820598
22,0.12038754673395942,0.03023901928244226,0.0708709865840167,0.1698604976624185,0.08705939187737792,0.03288316165592884,0.0324668037152034,0.08638912007600194,0.14222824198283873,0.025,0.15851941887820598
23,0.1260157611717427,0.029933005812813652,0.07576333697091817,0.17535418561507543,0.08883971020208772,0.03163401959880122,0.03741428763431266,0.08872877638725471,0.1426782383920499,0.01675,0.15851941887820598
