model,fixture,n_identity,max_draw_cdf_gap,max_mean_cdf_gap,max_mass_gap,min_cell,max_diag_spread,Δp_home,Δp_draw,Δp_away,Δp_under25
m05_joint_grw_smile_spine_w020,12477126,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,4.843513761927526e-15,3.3610533399148645e-16,-0.004115659228458024,0.008580394895201848,-0.004464704488260196,0.0
m05_joint_grw_smile_spine_w020,12477130,0,3.3306690738754696e-16,1.1102230246251565e-16,6.661338147750939e-16,2.851217433484881e-15,3.3523213735234514e-16,-0.004512939558685869,0.009374454528958631,-0.004861492502947151,0.0
m05_joint_grw_smile_spine_w020,12477123,0,3.3306690738754696e-16,1.1102230246251565e-16,6.661338147750939e-16,4.00223583406631e-15,3.3798204623901403e-16,-0.004517858625181892,0.008510934786591706,-0.003993035205268003,1.1102230246251565e-16
m05_joint_grw_smile_spine_w020,12477133,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,6.871436941254565e-15,3.375010402806738e-16,-0.003869507293288943,0.007765419004776564,-0.0038958791592585973,0.0
m05_joint_grw_smile_spine_w020,12476632,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,2.2622345194473865e-14,3.4782788453172424e-16,-0.0017250747074505357,0.004206866796489794,-0.0024809629221874963,0.0
m05_joint_grw_smile_spine_w020,12476633,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,4.581625026316025e-15,3.389065577377769e-16,-0.004492472197502706,0.007850423390327044,-0.003357729673289067,1.1102230246251565e-16
m05_joint_grw_smile_spine_w020,12476630,0,4.440892098500626e-16,5.551115123125783e-17,6.661338147750939e-16,3.7501569585455645e-15,3.3638361677751035e-16,-0.004788215094920334,0.008808657611533155,-0.004020394864689691,-1.1102230246251565e-16
m05_joint_grw_smile_spine_w020,12476635,0,3.3306690738754696e-16,2.220446049250313e-16,5.551115123125783e-16,3.8625458641702615e-15,3.378010815039565e-16,-0.0048706642515524146,0.008690005886487273,-0.0038192632629002188,-1.1102230246251565e-16
m05_joint_grw_smile_spine_w020,12476636,0,4.440892098500626e-16,0.0,6.661338147750939e-16,5.749478940076146e-15,3.382470407831582e-16,-0.0040595665106964995,0.007891686299849265,-0.0038320817701614773,0.0
m05_joint_grw_smile_spine_w020,12476793,0,3.3306690738754696e-16,5.551115123125783e-17,4.440892098500626e-16,7.768825036035664e-16,3.4295774911141403e-16,-0.003616709591475309,0.006974900360922021,-0.0033580662641787273,-5.551115123125783e-17
m05_joint_grw_smile_spine_w020,12476795,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,1.8522295851185574e-14,3.442843957127819e-16,-0.0022436632660449707,0.004519542310825658,-0.0022757763316772484,0.0
m05_joint_grw_smile_spine_w020,12476796,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,3.205055985622383e-15,3.475255102236703e-16,-0.0024496121482970867,0.00510415310729298,-0.0026543211366346076,0.0
m05_joint_grw_smile_spine_w020,12476792,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,1.7658101663230564e-14,3.45785562740833e-16,-0.0013180311149348367,0.003466895421862043,-0.0021485842316176784,-1.1102230246251565e-16
m05_joint_grw_smile_spine_w020,12476790,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,5.607206298397678e-15,3.415618332041149e-16,-0.003302319995496128,0.0065538160068541185,-0.003251430634615471,0.0
m05_joint_grw_smile_spine_w020,12476788,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,1.1664431590660984e-15,3.469250984239738e-16,-0.0033104218371642347,0.006591014069605605,-0.0032805034324545623,5.551115123125783e-17
m05_joint_grw_smile_spine_w020,12476786,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,1.0925602880593616e-14,3.41913395922245e-16,-0.0027006064408263697,0.0055340415973206825,-0.002833295641126221,0.0
m05_joint_grw_smile_spine_w020,12476787,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,2.6913073955940662e-14,3.4635514302420893e-16,-0.001911347631795901,0.0036544695668483673,-0.0017430009683795378,0.0
m05_joint_grw_smile_spine_w020,12476791,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,1.5518292278430848e-15,3.4702159404759627e-16,-0.0026898832690223085,0.005498329797090251,-0.00280828229147706,0.0
m05_joint_grw_smile_spine_w020,12476789,0,3.3306690738754696e-16,5.551115123125783e-17,4.440892098500626e-16,5.387103396352992e-15,3.4130566025743244e-16,-0.0027693638083848837,0.005522843787576781,-0.00275341330963208,5.551115123125783e-17
m05_joint_grw_smile_spine_w020,12476629,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,1.1011029686783864e-15,3.352616629197158e-16,-0.005119366135360182,0.0095995800113986,-0.004480186356963567,0.0
m05_joint_grw_smile_spine_w020,12476634,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,2.944497112478295e-15,3.414467401975916e-16,-0.0034097265300567225,0.006865971790088521,-0.0034561946400241683,0.0
m05_joint_grw_smile_spine_w020,12476623,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,2.339832236291999e-15,3.4092605694025366e-16,-0.0044608240375794694,0.00801110063359467,-0.0035501554222583387,1.1102230246251565e-16
m05_joint_grw_smile_spine_w020,12476631,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,7.364392847990198e-15,3.453976206498202e-16,-0.002538605206466482,0.004577751680411829,-0.0020388506087314906,0.0
m05_joint_grw_smile_spine_w020,12476624,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,2.5248750941852075e-15,3.390782005217219e-16,-0.004317733735671403,0.008294175682375393,-0.003976403662525829,0.0
m05_joint_grw_smile_spine_w020,12476627,0,3.3306690738754696e-16,5.551115123125783e-17,5.551115123125783e-16,3.2625068223266206e-15,3.4408770420062817e-16,-0.0028218773735092517,0.005586032050328649,-0.0027635635136450676,5.551115123125783e-17
m05_joint_grw_smile_spine_w020,12476625,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,5.035307100768079e-15,3.394258139173337e-16,-0.003703019540586272,0.007154088229967492,-0.0034510013317661237,0.0
m05_joint_grw_smile_spine_w020,12476621,0,3.3306690738754696e-16,1.1102230246251565e-16,6.661338147750939e-16,2.3122106913900617e-15,3.3808367311389426e-16,-0.0046267550642271615,0.008528760311741768,-0.0039019477482778453,0.0
m05_joint_grw_smile_spine_w020,12476622,0,4.440892098500626e-16,0.0,5.551115123125783e-16,1.6288271480336622e-15,3.412128495648748e-16,-0.004188712105326342,0.007871602845514414,-0.0036828195871453917,0.0
m05_joint_grw_smile_spine_w040,12477128,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,1.2593306010012183e-14,3.3570645529925037e-16,-0.003761476826300514,0.007187721451069218,-0.003426167682671566,1.1102230246251565e-16
m05_joint_grw_smile_spine_w040,12477134,0,3.3306690738754696e-16,5.551115123125783e-17,5.551115123125783e-16,3.752815015370051e-14,3.3876803412335277e-16,-0.002565430128114332,0.005217392837273183,-0.0026518902438071867,5.551115123125783e-17
m05_joint_grw_smile_spine_w040,12477131,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,1.3873887789443167e-13,3.4367642444377876e-16,-0.0008395207418172013,0.002727925770399653,-0.0018880932312318466,0.0
m05_joint_grw_smile_spine_w040,12477135,0,3.3306690738754696e-16,5.551115123125783e-17,4.440892098500626e-16,4.083784397719339e-14,3.383986503324318e-16,-0.002490629347555562,0.0051398277837922945,-0.002649112036678891,0.0
m05_joint_grw_smile_spine_w040,12477132,0,3.3306690738754696e-16,5.551115123125783e-17,6.661338147750939e-16,2.603423282006855e-14,3.3697096366598306e-16,-0.0031222426326078523,0.006241018751797278,-0.0031187211619715383,0.0
m05_joint_grw_smile_spine_w040,12476800,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,7.617989835252353e-14,3.410653853700292e-16,-0.0020886402458595854,0.004182305506249595,-0.0020935731756095977,0.0
m05_joint_grw_smile_spine_w040,12476794,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,6.006959549677303e-14,3.398101822564642e-16,-0.0020313367226890144,0.004410467480508495,-0.0023790060918413847,5.551115123125783e-17
m05_joint_grw_smile_spine_w040,12476797,0,3.3306690738754696e-16,5.551115123125783e-17,4.440892098500626e-16,1.9351676553950193e-14,3.3677983686970024e-16,-0.0032265739323415477,0.006428015876337789,-0.0032013815896340114,0.0
m05_joint_grw_smile_spine_w040,12476799,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,2.5198789985289678e-14,3.3796184033672295e-16,-0.0030098992133931746,0.006033992636165886,-0.003024024414685189,0.0
m05_joint_grw_smile_spine_w040,12476798,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,2.9829580598929444e-14,3.396537108027915e-16,-0.0027298506546981627,0.005556544291289434,-0.002826596216662758,5.551115123125783e-17
m05_joint_grw_smile_spine_w040,12477129,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,2.930323179973089e-14,3.41301075904249e-16,-0.0025486876651888424,0.004460097380753536,-0.0019109021297584183,0.0
m05_joint_grw_smile_spine_w040,12477126,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,5.850657642661016e-15,3.338163909247813e-16,-0.00407710810625822,0.008595298385931427,-0.004518156940913454,0.0
m05_joint_grw_smile_spine_w040,12477130,0,3.3306690738754696e-16,1.1102230246251565e-16,6.661338147750939e-16,3.3869208801170844e-15,3.314865200705464e-16,-0.004498420162822481,0.00933059700732436,-0.004832155067945876,2.220446049250313e-16
m05_joint_grw_smile_spine_w040,12477123,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,6.286462119525886e-15,3.3283906995320948e-16,-0.0045145764635968755,0.008502076288901539,-0.003987459956663442,1.1102230246251565e-16
m05_joint_grw_smile_spine_w040,12477133,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,9.518781187597518e-15,3.3396304483070153e-16,-0.0038962529336850626,0.00784708152502167,-0.003950797840421627,0.0
m05_joint_grw_smile_spine_w040,12476632,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,1.9226739062834148e-14,3.4295879054642455e-16,-0.0020199497898666374,0.004567437836306754,-0.0025465936122568977,0.0
m05_joint_grw_smile_spine_w040,12476633,0,3.3306690738754696e-16,5.551115123125783e-17,5.551115123125783e-16,5.851789877066756e-15,3.366185221404993e-16,-0.0045583392202454,0.007819116508254564,-0.0032604872195627355,0.0
