team,mean,sd,q05,q50,q95,p_above_base,model,fold
elgin-city,0.14866104278110678,0.06741075292235532,0.04921134216902795,0.14314293713194415,0.2671732413521172,0.586,m05_joint_production_wealth_hier_ha,2
queen-of-the-south,0.1424002501818356,0.06564271077307432,0.04033183563425675,0.14022982477830265,0.2523099839581207,0.56425,m05_joint_production_wealth_hier_ha,2
airdrieonians,0.14073141627101873,0.0718770247032195,0.03241977172847491,0.13784266913206852,0.26027091086130744,0.544,m05_joint_production_wealth_hier_ha,2
forfar-athletic,0.14031252029001595,0.06648278187720387,0.03683419899008625,0.1390778747047164,0.24968825066358208,0.54175,m05_joint_production_wealth_hier_ha,2
peterhead,0.1390253049140552,0.06733303206130599,0.034484642193031836,0.13778546118790208,0.25452344117896675,0.5255,m05_joint_production_wealth_hier_ha,2
dumbarton,0.13867423245050586,0.06571299595841074,0.03433169801665875,0.1375734155744967,0.244761729455481,0.53475,m05_joint_production_wealth_hier_ha,2
bonnyrigg-rose,0.13708820918462983,0.0655524956259052,0.029298889874621443,0.13682575674885608,0.24366707279824035,0.5295,m05_joint_production_wealth_hier_ha,2
inverness-caledonian-thistle,0.136912690476504,0.0709235455333473,0.0273192768225478,0.1341778643901382,0.25585507995106466,0.523,m05_joint_production_wealth_hier_ha,2
dunfermline-athletic,0.1358928934337187,0.07231160114368156,0.025406657917330044,0.13440583502134631,0.25248117758763144,0.5085,m05_joint_production_wealth_hier_ha,2
stirling-albion,0.13499907422105534,0.06503193647280224,0.03320597011255362,0.1340676622249489,0.23655736571638664,0.51775,m05_joint_production_wealth_hier_ha,2
hamilton-academical,0.13472775507129542,0.06750874249202904,0.028565921620344558,0.1338071733623365,0.24372813956027742,0.5085,m05_joint_production_wealth_hier_ha,2
stenhousemuir,0.1325663640492426,0.0627812107305123,0.030475246576347183,0.13247008427730095,0.23280534390055682,0.49,m05_joint_production_wealth_hier_ha,2
albion-rovers,0.13185085869774127,0.07270051380070992,0.01347835620210419,0.1329927500715612,0.24608473559659247,0.48975,m05_joint_production_wealth_hier_ha,2
montrose,0.13176528247390912,0.06658846403681126,0.02414821551573752,0.13163184535490224,0.23479974181855653,0.492,m05_joint_production_wealth_hier_ha,2
arbroath,0.1303733661886954,0.07458416545384657,0.014563239835775385,0.1305883340661806,0.2458818441708258,0.4715,m05_joint_production_wealth_hier_ha,2
edinburgh-city-fc,0.1301379609402495,0.0678963767442973,0.017790883667588898,0.1309983047090452,0.23564705790152868,0.484,m05_joint_production_wealth_hier_ha,2
cove-rangers,0.12513817435228464,0.06780527073875323,0.012454440571968223,0.12903836477579972,0.2290986976761689,0.44525,m05_joint_production_wealth_hier_ha,2
clyde-fc,0.12488271155333056,0.06774640147231015,0.010743876669945715,0.1270853026597125,0.23156644132407292,0.4485,m05_joint_production_wealth_hier_ha,2
east-fife,0.11587059157953707,0.07045422175233296,-0.0012486706126919424,0.1203004324519123,0.22128555610259118,0.39025,m05_joint_production_wealth_hier_ha,2
kelty-hearts-fc,0.11335183218692396,0.07090099547272315,-0.013944142282377088,0.1207624303998951,0.2148788953457798,0.3805,m05_joint_production_wealth_hier_ha,2
alloa-athletic,0.1109826120677051,0.06920220489105322,-0.016781814473863114,0.11722832385319439,0.2099913407379975,0.36375,m05_joint_production_wealth_hier_ha,2
the-spartans-fc,0.10964676048529257,0.07237730655051512,-0.021131442364342817,0.11760422193885293,0.21129739507536338,0.35075,m05_joint_production_wealth_hier_ha,2
annan-athletic,0.14628029404132267,0.0714530950567813,0.04902019650375515,0.13712420385217677,0.2786893575100046,0.6865,m12_joint_hybrid_synergy_hier_ha,1
stranraer,0.13607472659832434,0.06635991432927116,0.03891959083167614,0.12971241226665953,0.2542164842292717,0.62775,m12_joint_hybrid_synergy_hier_ha,1
peterhead,0.1295611958609594,0.06565911667102403,0.03298057205809976,0.12606344393813962,0.24343732055061065,0.60175,m12_joint_hybrid_synergy_hier_ha,1
bonnyrigg-rose,0.12724652227193411,0.06424045626291788,0.029335264067038062,0.12426354558760913,0.23598713703542154,0.58275,m12_joint_hybrid_synergy_hier_ha,1
