site,max_rhat,min_ess_bulk,min_ess_tail,worst_rhat_fold,model
ha.γ_team_raw[22],1.0012253224444503,4937.95627156721,2946.4161954014567,1,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[23],1.0031318074193063,4459.747442925193,2694.474059559972,1,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[24],0.9997091959252238,5950.512673675275,2666.771142498935,2,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[25],1.0002505547233755,6573.894181888112,2751.774958624562,2,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[2],1.0011050986610572,5957.889015317852,2844.9242142067137,2,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[3],1.001832745377733,5522.715741704342,2672.622284640827,2,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[4],1.0017413251570055,4141.80860300701,2329.1024396595717,2,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[5],1.0007199467121073,4211.414946102897,2633.671459214931,1,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[6],1.0004814789954364,4697.772417348142,2948.107114230172,2,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[7],1.0004945099428966,6090.831229119132,3043.929567665001,1,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[8],1.0043386373421568,6384.888705140846,2554.357907771648,2,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[9],1.0019854269119328,6604.767699567889,2868.199059480878,2,m12_joint_hybrid_synergy_hier_ha
ha.σ_γ,1.0012287730726857,1638.957572565817,1630.00179814926,2,m12_joint_hybrid_synergy_hier_ha
ha.γ_base,1.0007368789422442,4280.069635994298,3022.12320063894,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[10],1.0041805150809997,6431.565027696125,2843.2353182165702,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[11],1.00161849374809,6050.771470959092,2394.361687327909,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[12],1.0006359643535658,6040.99188788863,2976.792184566682,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[13],1.001222707640835,6935.349393448223,2600.4040535220415,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[14],1.001901252368604,5994.915387978639,2875.2683287676255,1,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[15],1.000842514092093,6256.1413212264815,2763.87341768126,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[16],1.0032938008911652,4449.561764763487,2274.836299035192,1,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[17],1.0023218773850395,7690.958644381805,2685.281481469271,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[18],1.0029699568648611,6502.481348501539,2728.8522491569333,1,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[19],1.0026163764408265,6402.338001555167,2921.7539669250878,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[1],1.0003145990343008,3092.046917349161,1928.4730626873074,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[20],1.0016964895099616,5456.503467655794,2606.777753695523,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[21],1.0011137141928528,4172.634604479622,2739.232954519756,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[22],1.0006970676066131,3562.3540640566966,2043.5945126635816,1,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[23],1.000702676797031,4752.557457550874,2357.648206301578,1,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[24],1.001654089904355,4538.4380783164925,2442.149789271182,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[25],1.0001333474861078,6263.978608513835,2882.9045339497056,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[2],1.0018906786712563,7346.870694518553,2974.1147634897693,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[3],1.00212427900107,6725.644650182921,2680.0654054916395,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[4],1.0005098432658146,4991.979416950844,2809.0332086354506,1,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[5],1.0012344141405976,6098.542381124026,2641.628209590287,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[6],1.001082316388949,4687.730427378039,3008.5489103280206,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[7],1.0008002345684446,6036.9356205367885,2728.3181908906254,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[8],1.000975295532668,6752.751105687085,2740.420912541293,2,m12_joint_hybrid_synergy_grw_hier_ha
ha.γ_team_raw[9],1.0010319680491628,6947.7170711660065,2660.171056824596,1,m12_joint_hybrid_synergy_grw_hier_ha
ha.σ_γ,1.0031209224443665,878.2798842493097,609.5752339702433,1,m12_joint_hybrid_synergy_grw_hier_ha
