window,spec,team,season,move,from,to,d_theta_vs_new_tier,d_a_vs_new_tier,d_d_vs_new_tier,d_theta_vs_old_tier,own_theta_change,own_a_change,own_d_change
long,main σc=1.0 σs=0.20,arbroath,14/15,relegated,T3,T4,0.33221098750799993,0.19682676187903017,-0.1353842256289698,-0.3485401223807121,0.07545250100262046,-0.0028800688612992675,-0.07833256986391973
long,main σc=1.0 σs=0.20,arbroath,17/18,promoted,T4,T3,0.40203770041022885,0.23189775726942638,-0.17013994314080247,0.38811992469345225,0.11628365376439853,0.16226092899497002,0.04597727523057149
long,main σc=1.0 σs=0.20,arbroath,24/25,relegated,T2,T3,0.2529865470487541,0.10673214434736078,-0.1462544027013934,-0.7160579773370307,0.44227023369759355,0.054246743488918114,-0.3880234902086755
long,main σc=1.0 σs=0.20,arbroath,25/26,promoted,T3,T2,-0.028534226660168915,0.0057714898955124605,0.03430571655568149,0.19712827116703657,0.111708600971268,0.03461016024050806,-0.07709844073075989
long,main σc=1.0 σs=0.20,ayr-united,09/10,promoted,T3,T2,-0.6015763326943364,-0.3923530446498774,0.20922328804445933,0.432331916514782,-0.29279317724519727,-0.2952512849238247,-0.002458107678627308
long,main σc=1.0 σs=0.20,ayr-united,10/11,relegated,T2,T3,0.3473927864297284,0.11516525078439221,-0.23222753564533624,-0.575531820913745,0.17073282166625792,0.24009699481357186,0.06936417314731397
long,main σc=1.0 σs=0.20,ayr-united,11/12,promoted,T3,T2,-0.34784505409650923,-0.16298516307538996,0.18485989102111933,0.22736155043586936,0.09827331226307712,-0.004893125108254126,-0.10316643737133119
long,main σc=1.0 σs=0.20,ayr-united,12/13,relegated,T2,T3,0.056256390292228065,0.035328988952250784,-0.020927401339977364,-0.31819567867744203,-0.476520179028313,-0.1298165179362884,0.34670366109202455
long,main σc=1.0 σs=0.20,ayr-united,16/17,promoted,T3,T2,-0.527517858077933,-0.3170859415107822,0.21043191656715077,0.3394787935493958,-0.14681710437061368,-0.171431568347022,-0.02461446397640832
long,main σc=1.0 σs=0.20,ayr-united,17/18,relegated,T2,T3,0.7740562740031558,0.5238225399604854,-0.25023373404267024,-0.4944524786940835,0.3889109567963486,0.46321398627730537,0.0743030294809569
long,main σc=1.0 σs=0.20,ayr-united,18/19,promoted,T3,T2,0.09358945210208103,0.042596780611263374,-0.050992671490817654,0.5954321668857795,0.1546959682129505,-0.19099191248393976,-0.34568788069689027
long,main σc=1.0 σs=0.20,brechin-city,17/18,promoted,T3,T2,-1.1473318066959155,-0.5515281437805273,0.5958036629153881,-0.17361897783447033,-0.3755095436233177,-0.17949382264728161,0.196015720976036
long,main σc=1.0 σs=0.20,clyde-fc,09/10,relegated,T2,T3,-0.4122066648715526,-0.21439616981513676,0.19781049505641576,-0.46513421834347946,-0.7130654581942043,-0.37150279365223077,0.3415626645419736
long,main σc=1.0 σs=0.20,clyde-fc,10/11,relegated,T3,T4,-0.33125404542444814,-0.21015941354535234,0.1210946318790958,-0.3591933387033542,-0.03834917011700548,-0.01955779464438212,0.018791375472623356
long,main σc=1.0 σs=0.20,clyde-fc,23/24,relegated,T3,T4,-0.1447672663296843,0.018284491633980104,0.1630517579636644,-0.5556020200425363,0.04257568634002462,0.10522822713706738,0.06265254079704276
long,main σc=1.0 σs=0.20,cove-rangers,20/21,promoted,T4,T3,0.31671387443168886,0.1041509729247648,-0.21256290150692414,0.6450241080389656,-0.07109388621218304,-0.2829691980433103,-0.2118753118311274
long,main σc=1.0 σs=0.20,cove-rangers,22/23,promoted,T3,T2,-0.5588975230256894,-0.15420968286332554,0.4046878401623638,0.5642390054653987,-0.6243265419439166,-0.2418777361768107,0.3824488057671057
long,main σc=1.0 σs=0.20,cove-rangers,23/24,relegated,T2,T3,-0.05329732383261687,0.00938951199077892,0.06268683582339574,-0.5442649947225608,-0.014935155632697983,-0.017260578537635518,-0.0023254229049375352
long,main σc=1.0 σs=0.20,cowdenbeath,09/10,promoted,T4,T3,0.1212362073091598,0.04755498512145526,-0.07368122218770456,0.21401705144150884,0.10220028992369123,0.15384979961725398,0.0516495096935628
long,main σc=1.0 σs=0.20,cowdenbeath,10/11,promoted,T3,T2,-0.8076549271250612,-0.30928249697163795,0.4983724301534235,0.17424953347735822,-0.16327080174730535,-0.03643308233488579,0.12683771941241953
long,main σc=1.0 σs=0.20,cowdenbeath,11/12,relegated,T2,T3,0.44747446218474,0.05507995704978125,-0.39239450513495877,-0.639987496601799,0.49949519326166814,0.14116821838638022,-0.358326974875288
long,main σc=1.0 σs=0.20,cowdenbeath,12/13,promoted,T3,T2,-0.5995624215989979,-0.22684952740611158,0.3727128941928862,0.44797708383819723,-0.23950842885954193,0.00410809227798975,0.24361652113753163
long,main σc=1.0 σs=0.20,cowdenbeath,15/16,relegated,T2,T3,-0.4377020561521052,-0.1528840964999736,0.28481795965213164,-0.9051835049879785,-0.1670803689002981,0.026142179610694316,0.19322254851099244
long,main σc=1.0 σs=0.20,cowdenbeath,16/17,relegated,T3,T4,-0.20958830007783907,-0.26995842795694397,-0.060370127879104785,-0.3623647581641656,-0.137749126785929,-0.25941596999327715,-0.12166684320734819
long,main σc=1.0 σs=0.20,dumbarton,09/10,promoted,T4,T3,-0.1594315928864668,-0.035638142142720125,0.12379345074374659,0.36199443330130565,-0.32644489213173217,-0.1648847697874704,0.16156012234426181
long,main σc=1.0 σs=0.20,dumbarton,12/13,promoted,T3,T2,-0.6210319847970245,-0.07142765391210981,0.5496043308849147,-0.07776646841592016,0.26476556019654884,0.22521453915480022,-0.039551021041748624
long,main σc=1.0 σs=0.20,dumbarton,22/23,relegated,T3,T4,0.13995910316770072,0.01438423234941888,-0.12557487081828186,-0.2920634309632114,0.1276979305254301,-0.1104378184861976,-0.23813574901162773
long,main σc=1.0 σs=0.20,dumbarton,24/25,promoted,T4,T3,-0.16904525194122932,0.0725467701475308,0.2415920220887601,0.19418805827993985,-0.10988392869986108,0.03468037265657653,0.14456430135643752
long,main σc=1.0 σs=0.20,dumbarton,25/26,relegated,T3,T4,-0.09251217956149976,-0.0338546257919371,0.05865755376956275,-0.22490352782294687,-0.1336252506981902,-0.20161477962186186,-0.0679895289236716
long,main σc=1.0 σs=0.20,dundee-fc,12/13,promoted,T2,T1,-0.6410510694458016,-0.41299057250175664,0.22806049694404462,0.14528148437871446,-0.2762144279987555,-0.17652311213989147,0.09969131585886415
long,main σc=1.0 σs=0.20,dundee-fc,13/14,relegated,T1,T2,0.4614083124021968,-0.022752696212544943,-0.484161008614742,-0.56927549949975,0.32122586196550484,0.044351568868195135,-0.2768742930973097
long,main σc=1.0 σs=0.20,dundee-fc,14/15,promoted,T2,T1,-0.16998672582281582,-0.010460673291472378,0.15952605253134344,0.4174252986820379,0.049429698523248744,0.24001264804131417,0.19058294951806543
long,main σc=1.0 σs=0.20,dundee-fc,19/20,relegated,T1,T2,0.033194584674222094,-0.10339911553300368,-0.13659370020722594,-0.8186391266272692,0.24517136061132305,0.019900620628033827,-0.22527073998328928
long,main σc=1.0 σs=0.20,dundee-fc,21/22,promoted,T2,T1,-0.59015055584713,-0.2830890874093055,0.3070614684378242,0.18026706155251127,-0.07413494197275972,-0.17487916403612302,-0.10074422206336331
long,main σc=1.0 σs=0.20,dundee-fc,22/23,relegated,T1,T2,0.4820923322675845,0.3052775539069045,-0.17681477836068005,-0.5653019378350639,0.35964957459882063,0.27002071235320413,-0.08962886224561661
long,main σc=1.0 σs=0.20,dundee-fc,23/24,promoted,T2,T1,-0.29536340268097416,-0.03811636112527872,0.2572470415556952,0.4967248605707131,-0.1264649566735503,-0.033870016058415886,0.0925949406151344
long,main σc=1.0 σs=0.20,dundee-united,16/17,relegated,T1,T2,0.17778318264395998,0.10663143546129605,-0.07115174718266415,-0.29610725055743514,0.1068807125013187,0.018827076102683526,-0.08805363639863528
long,main σc=1.0 σs=0.20,dundee-united,20/21,promoted,T2,T1,-0.2330410688804052,-0.1330697412724321,0.09997132760797289,0.6253933540079879,-0.18796777367269657,-0.16821389304899104,0.01975388062370531
long,main σc=1.0 σs=0.20,dundee-united,23/24,relegated,T1,T2,0.8813290354373979,0.37049014567051874,-0.5108388897668792,-0.31717126288653374,0.4545377506640893,0.17489049909307164,-0.27964725157101744
long,main σc=1.0 σs=0.20,dundee-united,24/25,promoted,T2,T1,-0.04642027101944235,-0.13251691198290705,-0.08609664096346514,0.7952702637867903,-0.1302275274032123,-0.11688266670773373,0.013344860695478467
long,main σc=1.0 σs=0.20,dunfermline-athletic,11/12,promoted,T2,T1,-0.7882163586657824,-0.2693104416081493,0.518905917057633,0.3914341575991831,-0.29296996670009845,-0.10525098487645757,0.18771898182364088
long,main σc=1.0 σs=0.20,dunfermline-athletic,12/13,relegated,T1,T2,-0.16512940783163166,0.01990251706016466,0.18503192489179632,-0.7225316621103006,-0.04403190933139123,-0.012746399216712612,0.031285510114678616
long,main σc=1.0 σs=0.20,dunfermline-athletic,13/14,relegated,T2,T3,0.47704828346344796,0.22097656598423737,-0.25607171747921054,0.05543376223496277,-0.028172812715840267,-0.020683239174753454,0.007489573541086814
long,main σc=1.0 σs=0.20,dunfermline-athletic,16/17,promoted,T3,T2,0.01908088159547683,0.005993124990165799,-0.01308775660531114,0.8623498119191519,-0.12308938306695993,-0.08423098897695891,0.038858394090000914
long,main σc=1.0 σs=0.20,dunfermline-athletic,22/23,relegated,T2,T3,0.8872148915955202,0.26976042230320924,-0.6174544692923112,-0.23456391253886322,0.5176098665651896,0.15781392623003399,-0.3597959403351556
long,main σc=1.0 σs=0.20,dunfermline-athletic,23/24,promoted,T3,T2,-0.020778432200092567,-0.08977883298902684,-0.06900040078893444,0.7895540476356798,-0.44734707944526075,-0.1425628517197038,0.304784227725557
long,main σc=1.0 σs=0.20,east-fife,14/15,relegated,T3,T4,0.23994939939091975,0.11035239617994999,-0.12959700321096979,-0.5918359930823591,0.22648678358718732,0.19396679695484884,-0.03251998663233846
long,main σc=1.0 σs=0.20,east-fife,16/17,promoted,T4,T3,0.06617980294136638,-0.10044380557489024,-0.16662360851625674,0.29997666661614464,-0.03293757210728543,-0.08721452263926949,-0.054276950531984
long,main σc=1.0 σs=0.20,east-fife,22/23,relegated,T3,T4,0.10429802394322446,0.08445965319202214,-0.01983837075120229,-0.5391036472564186,0.339077067594161,0.2430750200255527,-0.09600204756860825
long,main σc=1.0 σs=0.20,east-fife,25/26,promoted,T4,T3,-0.4782520020481371,-0.1833003379483985,0.2949516640997386,0.36107644402468364,-0.2649501270080271,-0.13231955330701817,0.13263057370100895
long,main σc=1.0 σs=0.20,east-kilbride,26/27,promoted,T4,T3,0.029444649371997866,0.2721375514347998,0.24269290206280184,0.2964775296558426,0.028488181926529133,0.06695298134209227,0.03846479941556316
long,main σc=1.0 σs=0.20,edinburgh-city-fc,22/23,promoted,T4,T3,-0.0034361075020128418,0.0675444726363672,0.07098058013837999,-0.1190007001097863,0.3586250673979024,0.31479029118615043,-0.04383477621175205
long,main σc=1.0 σs=0.20,edinburgh-city-fc,24/25,relegated,T3,T4,0.08272848084551171,0.08846755086059674,0.005739070015085002,-0.7799863545851061,0.5092193504841238,0.11463689587959314,-0.3945824546045307
long,main σc=1.0 σs=0.20,falkirk-fc,10/11,relegated,T1,T2,0.13347685202024717,0.11431770229068605,-0.01915914972956101,-0.5592101241590111,0.050579286028099135,0.13396504170936535,0.08338575568126605
long,main σc=1.0 σs=0.20,falkirk-fc,24/25,promoted,T3,T2,0.6839008992565165,0.4291213647139381,-0.2547795345425784,0.9909369264416813,0.13359704118933013,0.10539755529758221,-0.028199485891747922
long,main σc=1.0 σs=0.20,falkirk-fc,25/26,promoted,T2,T1,-0.273601298439484,-0.11829966436665607,0.1553016340728277,0.5689530801583551,-0.13868991818433773,-0.1155609859023573,0.02312893228198043
long,main σc=1.0 σs=0.20,forfar-athletic,10/11,promoted,T4,T3,0.009106684490970296,-0.14172734185063698,-0.1508340263416074,0.18327631947872336,0.026001672129656983,-0.1057973743369248,-0.1317990464665818
long,main σc=1.0 σs=0.20,forfar-athletic,16/17,relegated,T3,T4,0.25717109692591694,0.1441625162571006,-0.1130085806688162,-0.16544124173047514,0.1320867537841366,0.14171083965922943,0.009624085875092891
long,main σc=1.0 σs=0.20,forfar-athletic,17/18,promoted,T4,T3,-0.21437413683596648,-0.21145025947824164,0.002923877357724841,0.2614950181293084,-0.37350327691765295,-0.3136171350893636,0.05988614182828933
long,main σc=1.0 σs=0.20,forfar-athletic,21/22,relegated,T3,T4,0.3862971064956412,0.14719254593510836,-0.2391045605605328,-0.5356610835190678,0.46753965164400096,0.25362873191172375,-0.21391091973227716
